Visual Mean,Visual SEM,Auditory Mean,Auditory SEM
[528.5451991997876],[12.922207596187482],[618.9629629629629],[27.247522286224573]
[393.91925455729165],[12.617070143028112],[353.0143763950893],[10.353863376139977]
[364.33102780963304],[8.35031244907253],[366.99265818552925],[14.535218565745769]
[415.1031268962379],[9.264964278235846],[434.1267605913364],[10.344340028503309]
[430.2394711392597],[12.680477971239801],[357.8932826450893],[9.173107718196064]
[485.61875],[18.536038771511574],[355.6767207278481],[19.456698929231152]
[431.5603188568691],[9.968654530249317],[325.70130803034857],[9.136731462209971]
[386.1669161814564],[11.923548063272424],[368.7849495002815],[13.882718392332714]
[531.5895690917969],[11.575467578616786],[505.625],[15.504793026705253]
[492.41051817776867],[9.930804218958386],[391.82936507936506],[11.149982436740974]
[426.93482375372025],[12.328736832753613],[392.91151258680554],[12.218868424313767]
[382.803140470297],[8.896940588332354],[403.5048076923077],[10.473142139443121]
