trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725398172253.890,1725398172658.780,2,2,1
2,1725398173740.12,1725398173975.2800,2,2,1
3,1725398175315.790,1725398175717.810,1,1,1
4,1725398177158.310,1725398177406.410,1,1,1
5,1725398178634.910,1725398178944.670,1,1,1
6,1725398179765.170,1725398179992.1800,1,1,1
7,1725398180817.6,1725398181202.120,2,2,1
8,1725398182191.550,1725398182393.280,2,2,1
9,1725398183462.790,1725398183747.210,1,1,1
10,1725398184843.7,1725398185137.900,1,1,1
11,1725398186518.360,1725398186749.5,2,2,1
12,1725398187746.9900,1725398187968.86,2,2,1
13,1725398189179.350,1725398189465.580,2,2,1
14,1725398190439.070,1725398190639.670,2,2,1
15,1725398192079.16,1725398192402.370,2,2,1
16,1725398193705.94,1725398193995.2400,1,1,1
17,1725398195351.7900,1725398195626.0800,1,1,1
18,1725398196661.540,1725398196954.48,2,2,1
19,1725398197763.0400,1725398198129.66,1,1,1
20,1725398198648.130,1725398199012.7700,2,2,1
21,1725398199957.260,1725398200247.100,2,2,1
22,1725398201393.600,1725398201708.4400,2,2,1
23,1725398202423.000,1725398202807.950,1,1,1
24,1725398203338.490,1725398203697.080,1,1,1
25,1725398204653.550,1725398205026.0,2,2,1
26,1725398206503.560,1725398206849.210,1,1,1
27,1725398207584.6800,1725398207836.800,2,2,1
28,1725398208658.280,1725398208956.8500,2,2,1
29,1725398210399.4200,1725398210752.0700,1,1,1
30,1725398211514.5400,1725398211870.2000,2,2,1
31,1725398213195.76,1725398213583.060,1,1,1
32,1725398214611.520,1725398214892.98,2,2,1
33,1725398216346.5400,1725398216654.5200,1,2,0
34,1725398217466.990,1725398218248.8500,2,2,1
35,1725398219357.350,1725398219741.190,2,2,1
36,1725398220347.670,1725398220559.12,2,2,1
37,1725398221353.620,1725398221548.690,2,2,1
38,1725398222694.250,1725398223067.260,1,1,1
39,1725398223678.8000,1725398223933.510,1,1,1
40,1725398225085.060,1725398225342.200,1,1,1
41,1725398226371.670,1725398226571.510,2,1,0
42,1725398227909.0000,1725398228258.580,2,2,1
43,1725398229573.1400,1725398229931.3900,1,1,1
44,1725398231040.930,1725398231342.66,1,1,1
45,1725398232598.130,1725398232937.340,2,2,1
46,1725398233688.92,1725398234066.5,1,1,1
47,1725398235221.9700,1725398235533.490,2,2,1
48,1725398236158.980,1725398236458.5,2,2,1
49,1725398237326.990,1725398237586.2900,2,2,1
50,1725398239065.780,1725398239344.48,2,2,1
51,1725398240688.050,1725398241084.890,1,1,1
52,1725398242143.4400,1725398242395.4700,1,1,1
53,1725398243082.0100,1725398243329.300,1,1,1
54,1725398244749.760,1725398245105.44,2,2,1
55,1725398245826.94,1725398246016.450,2,2,1
56,1725398247412.0200,1725398247685.1200,1,1,1
57,1725398249005.5900,1725398249303.210,2,2,1
58,1725398250586.780,1725398250900.380,1,1,1
59,1725398251826.930,1725398252172.930,1,1,1
60,1725398253483.480,1725398253836.8200,1,1,1
61,1725398254466.2900,1725398254852.1600,2,2,1
62,1725398255724.660,1725398255959.270,2,2,1
63,1725398256630.7700,1725398256950.42,2,2,1
64,1725398257609.9000,1725398257848.5700,2,2,1
65,1725398259138.0600,1725398259436.6800,2,2,1
66,1725398260863.16,1725398261089.9,2,2,1
67,1725398262025.390,1725398262271.250,2,2,1
68,1725398263503.810,1725398263797.910,1,1,1
69,1725398264978.550,1725398265296.740,1,1,1
70,1725398266203.390,1725398266505.8500,1,1,1
71,1725398267919.490,1725398268282.4600,1,1,1
72,1725398269280.0100,1725398269567.850,2,2,1
73,1725398270642.5100,1725398270831.190,1,2,0
74,1725398271557.830,1725398272247.590,1,1,1
75,1725398273423.150,1725398273805.310,2,2,1
76,1725398275189.98,1725398275555.18,1,1,1
77,1725398276320.740,1725398276739.870,2,2,1
78,1725398277419.520,1725398278119.600,1,1,1
79,1725398278985.170,1725398279246.610,2,2,1
80,1725398280347.270,1725398280683.960,1,1,1
81,1725398281906.520,1725398282211.6800,2,2,1
82,1725398282978.340,1725398283239.92,1,1,1
83,1725398284302.5600,1725398284702.770,1,1,1
84,1725398285417.4000,1725398285635.42,1,1,1
85,1725398287046.98,1725398287360.830,2,2,1
86,1725398288528.420,1725398288867.520,2,2,1
87,1725398289505.100,1725398289790.700,2,2,1
88,1725398291223.2900,1725398291537.260,2,2,1
89,1725398292744.840,1725398293014.600,2,2,1
90,1725398294372.170,1725398294718.6800,2,2,1
91,1725398295656.26,1725398295955.820,2,2,1
92,1725398296830.4800,1725398297153.840,1,1,1
93,1725398297678.48,1725398298004.5900,1,1,1
94,1725398299290.22,1725398299559.5600,1,1,1
95,1725398300543.200,1725398300830.3800,1,1,1
96,1725398301581.0200,1725398301833.220,1,1,1
97,1725398302368.780,1725398302715.410,2,2,1
98,1725398304211.980,1725398304469.270,2,2,1
99,1725398305167.8400,1725398305427.2500,2,2,1
100,1725398306274.910,1725398306620.020,1,1,1
101,1725398307427.610,1725398307986.8900,2,2,1
102,1725398308563.5900,1725398308944.260,1,1,1
103,1725398310343.94,1725398310952.2200,1,1,1
1,1725402189253.860,1725402189502.370,2,2,1
2,1725402190618.710,1725402190820.540,2,2,1
3,1725402191835.990,1725402192014.400,2,2,1
4,1725402192747.840,1725402192929.740,2,2,1
5,1725402194231.18,1725402194406.660,2,2,1
6,1725402195362.100,1725402195525.850,2,2,1
7,1725402196900.290,1725402197122.730,2,2,1
8,1725402198473.24,1725402198750.1300,1,1,1
9,1725402200127.62,1725402200438.450,1,1,1
10,1725402201030.860,1725402201242.2600,2,2,1
11,1725402202663.760,1725402202831.330,2,2,1
12,1725402203885.8200,1725402204015.070,2,2,1
13,1725402204759.650,1725402204921.050,1,2,0
14,1725402205875.520,1725402206047.930,2,2,1
15,1725402206807.410,1725402207040.510,2,2,1
16,1725402208385.070,1725402208554.330,1,1,1
17,1725402209088.880,1725402209340.720,1,1,1
18,1725402210137.18,1725402210356.390,2,2,1
19,1725402211180.8700,1725402211387.7,2,2,1
20,1725402212836.180,1725402213082.2600,2,2,1
21,1725402213907.750,1725402214078.350,2,2,1
22,1725402214824.84,1725402214985.190,2,2,1
23,1725402216117.670,1725402216355.350,2,2,1
