ObjShowTime,ReactionTime,StimType,Guess,Correct
29721766381.924,29721766676.82,1,1,1
29721767282.212,29721767767.616,2,2,1
29721768275.056,29721768713.448,1,1,1
29721769372.872,29721769674.54,1,1,1
29721770593.96,29721770921.796,1,1,1
29721771926.224,29721772261.144,1,1,1
29721773568.584,29721773860.472,1,1,1
29721775086.856,29721775322.932,2,2,1
29721776752.368,29721777116.472,1,1,1
29721778368.896,29721778605.46,1,1,1
29721779680.884,29721779948.46,1,1,1
29721780816.896,29721781174.616,1,1,1
29721782111.008,29721782356.024,2,2,1
29721783210.412,29721783600.144,2,2,1
29721784999.536,29721785322.564,2,2,1
29721785904.0,29721786239.644,1,1,1
29721787566.068,29721787807.216,1,1,1
29721788849.608,29721789126.4,2,2,1
29721790458.844,29721790908.236,1,1,1
29721791570.624,29721791828.06,2,2,1
29721792375.452,29721792648.72,2,2,1
29721793237.148,29721793544.852,1,1,1
29721794584.244,29721794931.528,2,2,1
29721795719.956,29721795985.5,1,1,1
29721796987.924,29721797251.464,1,1,1
29721797880.94,29721798174.388,2,2,1
29721798894.872,29721799123.52,2,2,1
29721799661.0,29721799907.784,2,2,1
29721800410.264,29721800627.608,2,2,1
29721801570.092,29721801961.08,2,2,1
29721802969.596,29721803285.388,1,1,1
29721804223.904,29721804536.668,1,1,1
29721805477.176,29721805688.444,1,1,1
29721806410.924,29721806649.624,2,2,1
29721807461.104,29721807755.016,2,2,1
29721809147.504,29721809363.444,2,2,1
29721810630.928,29721810880.76,2,2,1
29721811437.244,29721811717.872,2,2,1
29721812836.368,29721813044.748,2,2,1
29721813918.272,29721814183.624,1,1,1
29721815170.112,29721815425.36,2,2,1
29721816393.876,29721816750.452,1,1,1
29721817253.968,29721817581.98,1,1,1
29721818956.452,29721819186.164,2,2,1
29721819755.644,29721819999.548,2,2,1
29721820988.068,29721821240.52,1,1,1
29721821950.008,29721822198.712,2,2,1
29721823521.192,29721823726.932,2,1,0
29721824864.416,29721825273.084,2,2,1
29721826283.568,29721826555.56,2,2,1
29721827839.052,29721828090.608,2,2,1
29721828699.096,29721828973.476,2,2,1
29721829713.996,29721829989.736,1,1,1
29721830882.22,29721831112.656,2,2,1
29721832128.132,29721832465.048,2,2,1
29721833687.584,29721834022.736,1,1,1
29721834835.248,29721835173.46,1,1,1
29721836139.98,29721836440.388,1,1,1
29721837025.868,29721837336.692,2,2,1
29721838487.212,29721838836.876,1,1,1
29721840207.396,29721840556.284,1,1,1
29721841317.764,29721841568.823997,2,2,1
29721842482.34,29721842836.328,1,1,1
29721843854.808,29721844134.212,2,2,1
29721845025.7,29721845409.552,2,2,1
29721846659.044,29721847131.912,2,2,1
29721848428.44,29721848726.776,1,1,1
29721849360.304,29721849656.312,1,1,1
29721850540.792,29721850799.34,2,2,1
29721852116.868,29721852439.18,1,1,1
29721853131.668,29721853404.24,2,2,1
29721854104.76,29721854576.02,1,1,1
29721855902.508,29721856202.96,2,2,1
29721857104.484,29721857594.88,1,1,1
29721858953.404,29721859279.564,1,1,1
29721859905.084,29721860139.288,1,1,1
29721860885.768,29721861107.14,2,2,1
29721861616.664,29721862026.376,1,1,1
29721863277.852,29721863583.664,2,2,1
29721864496.152,29721864763.156,2,2,1
29721865599.64,29721865856.44,2,2,1
29721866412.964,29721866758.172,1,1,1
29721868246.684,29721868438.528,1,1,1
29721868976.048,29721869258.464,1,1,1
29721870350.94,29721870577.92,2,2,1
29721871256.444,29721871534.808,1,1,1
29721872412.323997,29721872705.06,1,1,1
29721873375.58,29721873648.444,1,1,1
29721875091.916,29721875325.108,2,2,1
29721875908.604,29721876146.752,2,2,1
29721877196.268,29721877585.388,1,1,1
29721878372.896,29721878623.44,1,1,1
29721879220.96,29721879451.708,1,1,1
29721880675.224,29721880959.764,1,1,1
29721881804.288,29721882053.184,1,1,1
29721882685.7,29721882919.38,1,1,1
29721883504.86,29721883801.112,2,2,1
29721884329.592,29721884683.496,2,2,1
29721885701.984,29721885883.556,2,2,1
29721886432.044,29721886694.216,2,2,1
29721887275.736,29721887723.872,1,1,1
29721888985.388,29721889260.816,1,1,1
