29696520.000,23429860
ObjShowTime,ReactionTime,StimType,Guess,Correct
69811784,70106680,1,1,1
70712072,71197476,2,2,1
71704916,72143308,1,1,1
72802732,73104400,1,1,1
74023820,74351656,1,1,1
75356084,75691004,1,1,1
76998444,77290332,1,1,1
78516716,78752792,2,2,1
80182228,80546332,1,1,1
81798756,82035320,1,1,1
83110744,83378320,1,1,1
84246756,84604476,1,1,1
85540868,85785884,2,2,1
86640272,87030004,2,2,1
88429396,88752424,2,2,1
89333860,89669504,1,1,1
90995928,91237076,1,1,1
92279468,92556260,2,2,1
93888704,94338096,1,1,1
95000484,95257920,2,2,1
95805312,96078580,2,2,1
96667008,96974712,1,1,1
98014104,98361388,2,2,1
99149816,99415360,1,1,1
100417784,100681324,1,1,1
101310800,101604248,2,2,1
102324732,102553380,2,2,1
103090860,103337644,2,2,1
103840124,104057468,2,2,1
104999952,105390940,2,2,1
106399456,106715248,1,1,1
107653764,107966528,1,1,1
108907036,109118304,1,1,1
109840784,110079484,2,2,1
110890964,111184876,2,2,1
112577364,112793304,2,2,1
114060788,114310620,2,2,1
114867104,115147732,2,2,1
116266228,116474608,2,2,1
117348132,117613484,1,1,1
118599972,118855220,2,2,1
119823736,120180312,1,1,1
120683828,121011840,1,1,1
122386312,122616024,2,2,1
123185504,123429408,2,2,1
124417928,124670380,1,1,1
125379868,125628572,2,2,1
126951052,127156792,2,1,0
128294276,128702944,2,2,1
129713428,129985420,2,2,1
131268912,131520468,2,2,1
132128956,132403336,2,2,1
133143856,133419596,1,1,1
134312080,134542516,2,2,1
135557992,135894908,2,2,1
137117444,137452596,1,1,1
138265108,138603320,1,1,1
139569840,139870248,1,1,1
140455728,140766552,2,2,1
141917072,142266736,1,1,1
143637256,143986144,1,1,1
144747624,144998684,2,2,1
145912200,146266188,1,1,1
147284668,147564072,2,2,1
148455560,148839412,2,2,1
150088904,150561772,2,2,1
151858300,152156636,1,1,1
152790164,153086172,1,1,1
153970652,154229200,2,2,1
155546728,155869040,1,1,1
156561528,156834100,2,2,1
157534620,158005880,1,1,1
159332368,159632820,2,2,1
160534344,161024740,1,1,1
162383264,162709424,1,1,1
163334944,163569148,1,1,1
164315628,164537000,2,2,1
165046524,165456236,1,1,1
166707712,167013524,2,2,1
167926012,168193016,2,2,1
169029500,169286300,2,2,1
169842824,170188032,1,1,1
171676544,171868388,1,1,1
172405908,172688324,1,1,1
173780800,174007780,2,2,1
174686304,174964668,1,1,1
175842184,176134920,1,1,1
176805440,177078304,1,1,1
178521776,178754968,2,2,1
179338464,179576612,2,2,1
180626128,181015248,1,1,1
181802756,182053300,1,1,1
182650820,182881568,1,1,1
184105084,184389624,1,1,1
185234148,185483044,1,1,1
186115560,186349240,1,1,1
186934720,187230972,2,2,1
187759452,188113356,2,2,1
189131844,189313416,2,2,1
189861904,190124076,2,2,1
190705596,191153732,1,1,1
192415248,192690676,1,1,1
