1726153904.000,3746808
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,9000768,9281344,1,1,1
2,10113660,10521380,2,2,1
3,11203896,11426844,1,1,1
4,12595340,12860584,1,1,1
5,14210996,14441984,2,2,1
6,15200428,15397156,2,2,1
7,16057604,16236704,2,2,1
8,17184216,17325356,1,1,1
9,18538772,18827948,2,2,1
10,20195392,20483052,2,2,1
11,21251540,21429432,2,2,1
12,22257916,22490524,2,2,1
13,23191012,23362224,2,2,1
14,24402784,24569820,1,1,1
15,25378372,25622168,1,2,0
16,26237704,26633124,1,1,1
17,27810672,28059480,1,1,1
18,29474960,29724976,2,2,1
19,30900540,31103968,1,1,1
20,32120444,32488488,2,2,1
21,33611968,33969404,2,2,1
22,35090964,35309936,1,1,1
23,36335476,36639128,1,1,1
24,37424676,37604788,1,1,1
25,38117256,38455400,2,2,1
26,39575884,39931320,2,2,1
27,40513808,40708156,2,2,1
28,41585724,41823276,1,1,1
29,42775748,43033968,2,2,1
30,44247528,44422516,1,1,1
31,45844980,46033944,2,1,0
32,47396424,47673312,2,2,1
33,48749892,48995148,1,2,0
34,49601628,49946940,2,2,1
35,50647500,50877632,1,1,1
36,51551104,51746756,2,2,1
37,52560248,52794364,2,2,1
38,53573936,53833556,1,2,0
39,54631100,54965288,1,1,1
40,55580836,55798092,1,1,1
41,57158548,57466740,2,2,1
42,58357308,58550604,1,1,1
43,59364152,59578636,1,1,1
44,60493104,60813180,2,2,1
45,62311676,62566764,2,2,1
46,63667336,63893432,1,1,1
47,64925992,65199168,1,1,1
48,66589720,66834144,1,1,1
49,67783688,68020640,1,1,1
50,68810104,69064352,2,2,1
51,70263924,70444756,1,1,1
52,71606228,72006436,2,2,1
53,72865008,73083092,1,1,1
54,73792644,74237780,1,1,1
55,75562252,75899944,2,2,1
56,77391512,77704568,1,1,1
57,78441036,78640336,2,2,1
58,79395916,79594296,1,1,1
59,80869836,81179388,1,1,1
60,81737868,82009652,2,2,1
61,83227140,83410784,2,2,1
62,84726280,84919716,2,2,1
63,86230280,86419348,1,1,1
64,87757820,87948812,2,2,1
65,88708304,89036656,2,2,1
66,90501232,90824124,1,1,1
67,92041588,92362744,2,2,1
68,93390316,93576316,1,1,1
69,94582872,94909400,1,1,1
70,96103956,96369852,1,1,1
71,97529400,97873940,1,1,1
72,98687484,98921256,1,1,1
73,99585724,99849668,2,2,1
74,100786236,101066560,1,1,1
75,102563200,102952352,1,1,1
76,103977992,104216800,1,1,1
77,105531444,105716448,1,1,1
78,107077000,107254888,2,2,1
79,108544544,108722592,1,1,1
80,109710224,109959424,1,1,1
81,110703060,110901160,1,1,1
82,111808800,111998068,1,1,1
83,112937708,113199560,1,1,1
84,114467196,114782596,1,1,1
85,115350236,115545632,1,1,1
86,116826188,116964296,2,2,1
87,117854964,118012600,1,1,1
88,118707160,118893532,2,2,1
89,119511112,119844892,2,2,1
90,121043468,121230136,2,1,0
91,122220720,122645284,2,2,1
92,123949864,124215524,2,2,1
93,125201180,125545988,1,1,1
94,126446536,126700940,2,2,1
95,127446512,127691252,2,2,1
96,128668836,128924876,2,2,1
97,129492444,129713996,2,2,1
98,130295580,130489068,2,2,1
99,131653740,131942900,1,1,1
100,133426452,133700488,2,2,1
101,135003200,135393884,1,1,1
102,136322480,136602296,2,2,1
103,137605920,137885292,2,2,1
104,138732992,138955684,1,2,0
105,140125372,140479304,1,1,1
106,141403912,141616676,2,2,1
