ObjShowTime,ReactionTime,StimType,Guess,Correct
1729713294543.528,1729713295024.628,1,1,1
1729713295783.02,1729713296076.2642,2,2,1
1729713296880.664,1729713297169.128,2,2,1
1729713298318.516,1729713298622.96,2,2,1
1729713300091.352,1729713300373.1602,2,2,1
1729713301280.548,1729713301608.792,2,2,1
1729713302582.188,1729713302872.6082,2,2,1
1729713303475.992,1729713303763.4202,2,2,1
1729713304398.8162,1729713304612.4722,2,2,1
1729713305272.86,1729713305479.692,2,2,1
1729713306488.124,1729713306773.292,1,1,1
1729713307975.692,1729713308223.948,2,2,1
1729713309526.376,1729713309771.988,1,1,1
1729713310440.38,1729713310673.98,2,2,1
1729713311609.3682,1729713311945.58,2,2,1
1729713312549.012,1729713312790.4202,1,1,1
1729713314210.82,1729713314526.036,2,2,1
1729713315422.428,1729713315733.324,2,2,1
1729713316260.76,1729713316517.964,1,1,1
1729713317584.344,1729713317934.276,2,2,1
1729713318779.716,1729713319109.204,2,2,1
1729713319820.684,1729713320079.728,2,2,1
1729713321354.22,1729713321531.876,2,2,1
1729713322239.396,1729713322546.0042,1,1,1
1729713323238.52,1729713323597.444,1,1,1
1729713324370.968,1729713324710.884,1,1,1
1729713325328.412,1729713325573.444,1,1,1
1729713326938.924,1729713327215.552,2,2,1
1729713328076.028,1729713328270.804,2,2,1
1729713329610.324,1729713329832.192,1,1,1
1729713330744.716,1729713330961.888,1,1,1
1729713332131.356,1729713332328.956,2,2,1
1729713333797.476,1729713334112.62,1,1,1
1729713335486.096,1729713335819.176,2,2,1
1729713337029.7122,1729713337263.076,1,1,1
1729713338067.56,1729713338356.124,2,2,1
1729713339533.604,1729713339875.572,2,2,1
1729713340440.048,1729713340738.836,2,2,1
1729713341825.328,1729713342117.768,2,2,1
1729713343521.284,1729713343826.856,1,1,1
1729713344775.372,1729713345024.376,1,1,1
1729713346357.896,1729713346600.164,1,1,1
1729713347955.676,1729713348193.588,1,1,1
1729713348742.072,1729713349069.876,2,2,1
1729713350351.392,1729713350558.52,1,1,1
1729713351801.0042,1729713352064.592,2,2,1
1729713352958.076,1729713353298.692,2,2,1
1729713354678.22,1729713354941.888,1,1,1
1729713355869.372,1729713356146.516,2,2,1
1729713357189.04,1729713357403.324,1,1,1
1729713358692.804,1729713358942.432,2,2,1
1729713360001.956,1729713360206.6082,1,1,1
1729713361619.136,1729713362016.476,1,1,1
1729713363131.96,1729713363396.184,2,2,1
1729713364524.708,1729713364892.304,1,1,1
1729713365593.8162,1729713365847.176,1,1,1
1729713366518.656,1729713366848.528,2,2,1
1729713367585.044,1729713367877.296,1,1,1
1729713368909.828,1729713369134.596,1,1,1
1729713370129.076,1729713370425.676,2,2,1
1729713371330.196,1729713371510.024,1,1,1
1729713372018.508,1729713372349.6082,2,2,1
1729713373001.088,1729713373347.252,2,2,1
1729713374308.732,1729713374642.372,2,2,1
1729713375692.86,1729713375948.068,2,1,0
1729713376497.5562,1729713376815.24,2,2,1
1729713377328.72,1729713377709.644,2,2,1
1729713378235.164,1729713378565.992,1,1,1
1729713379188.508,1729713379447.544,1,1,1
1729713380003.024,1729713380276.744,2,2,1
1729713381742.228,1729713381950.384,2,2,1
1729713382618.856,1729713382874.848,2,2,1
1729713384116.38,1729713384424.176,1,1,1
1729713385859.664,1729713386355.692,2,2,1
1729713387725.168,1729713388007.34,2,2,1
1729713389137.8682,1729713389442.9,1,1,1
1729713390484.416,1729713390722.808,1,1,1
1729713391981.288,1729713392203.796,2,1,0
1729713393270.312,1729713393796.1082,1,1,1
1729713395094.624,1729713395390.596,1,1,1
1729713396624.076,1729713396834.38,2,2,1
1729713398290.908,1729713398500.98,1,1,1
1729713399552.492,1729713399788.732,1,1,1
1729713400537.208,1729713400779.844,2,2,1
1729713401602.332,1729713401978.012,2,2,1
1729713403281.536,1729713403567.776,1,1,1
1729713404666.288,1729713404961.928,1,1,1
1729713406408.444,1729713406719.392,1,1,1
1729713407601.864,1729713407838.06,2,2,1
1729713409105.544,1729713409404.852,2,1,0
1729713410108.34,1729713410510.1,2,2,1
1729713411210.58,1729713411475.072,2,2,1
1729713412056.552,1729713412266.4722,2,2,1
1729713413631.96,1729713413863.3162,2,2,1
1729713415075.808,1729713415288.2,2,2,1
1729713416042.68,1729713416321.1082,2,2,1
1729713417714.632,1729713418059.076,1,1,1
1729713419446.5562,1729713419848.488,2,2,1
1729713420722.02,1729713421123.484,1,1,1
1729713422132.964,1729713422365.836,2,2,1
1729713423631.364,1729713423909.64,1,1,1
1729713424809.1602,1729713425065.228,1,1,1
1729713426437.708,1729713426699.192,2,2,1
1729713428130.716,1729713428404.3682,1,1,1
