ObjShowTime,ReactionTime,StimType,Guess,Correct
1728946029067.3042,1728946029426.8242,2,2,1
1728946030829.256,1728946031151.9602,1,1,1
1728946031694.392,1728946031959.104,1,1,1
1728946032733.5322,1728946033015.896,1,1,1
1728946034274.3242,1728946034555.3162,1,1,1
1728946035868.7122,1728946036100.676,2,2,1
1728946037434.068,1728946037690.216,2,2,1
1728946038852.612,1728946039126.796,2,2,1
1728946039637.228,1728946039887.8242,1,1,1
1728946040447.224,1728946040798.164,2,2,1
1728946041488.568,1728946041803.036,2,2,1
1728946042806.432,1728946043090.82,2,2,1
1728946043716.208,1728946044209.508,2,2,1
1728946045492.896,1728946045769.7322,2,2,1
1728946046959.164,1728946047236.756,1,2,0
1728946047832.152,1728946048112.4922,2,2,1
1728946049550.88,1728946049839.652,2,2,1
1728946050761.088,1728946051065.5562,1,1,1
1728946052084.996,1728946052333.8162,1,1,1
1728946052923.3,1728946053165.5562,2,2,1
1728946054418.0762,1728946054718.152,1,1,1
1728946056100.6682,1728946056373.7522,1,1,1
1728946056945.224,1728946057259.0,2,2,1
1728946058015.476,1728946058288.248,2,2,1
1728946059341.724,1728946059610.844,2,2,1
1728946060873.3242,1728946061146.892,2,2,1
1728946062146.4082,1728946062461.924,1,1,1
1728946063960.444,1728946064203.312,1,1,1
1728946065408.788,1728946065752.6,2,2,1
1728946066660.12,1728946066881.864,1,1,1
1728946068020.348,1728946068287.4722,2,2,1
1728946069047.9922,1728946069282.6362,1,1,1
1728946070085.112,1728946070335.364,2,2,1
1728946071565.86,1728946071765.548,2,2,1
1728946072432.028,1728946072736.34,2,2,1
1728946073764.8162,1728946074048.308,2,2,1
1728946075385.832,1728946075620.548,1,1,1
1728946076339.02,1728946076726.2122,2,2,1
1728946077879.74,1728946078191.796,1,1,1
1728946078940.3242,1728946079198.112,1,1,1
1728946080088.592,1728946080444.124,2,2,1
1728946081003.604,1728946081287.6682,2,2,1
1728946082699.1482,1728946082962.5122,2,2,1
1728946083996.028,1728946084416.1682,1,1,1
1728946085358.692,1728946085588.6682,1,1,1
1728946087052.184,1728946087326.244,1,1,1
1728946088571.76,1728946088849.84,1,1,1
1728946089714.3162,1728946090135.152,2,2,1
1728946091242.6362,1728946091474.372,2,2,1
1728946092959.8562,1728946093298.8882,2,2,1
1728946093907.3682,1728946094185.968,2,2,1
1728946094870.488,1728946095205.6602,1,1,1
1728946095980.172,1728946096238.832,1,1,1
1728946097534.352,1728946097858.924,1,1,1
1728946099040.452,1728946099364.3762,1,1,1
1728946100019.852,1728946100258.2842,2,2,1
1728946101561.8042,1728946101887.948,1,1,1
1728946102492.432,1728946102841.228,2,2,1
1728946104040.7202,1728946104331.9402,2,2,1
1728946105049.4282,1728946105320.256,2,2,1
1728946105893.748,1728946106158.536,2,2,1
1728946107006.02,1728946107303.536,2,2,1
1728946107938.0642,1728946108243.5,1,1,1
1728946108768.9722,1728946109098.0042,2,2,1
1728946109794.4922,1728946110065.468,2,2,1
1728946111020.952,1728946111304.2322,2,2,1
1728946112098.7522,1728946112376.268,1,1,1
1728946113035.744,1728946113333.072,2,2,1
1728946114039.56,1728946114292.2522,2,2,1
1728946115538.74,1728946115880.996,2,2,1
1728946116688.4722,1728946117077.3,2,2,1
1728946118129.8242,1728946118315.2122,1,1,1
1728946119530.728,1728946119851.6,1,1,1
1728946120740.088,1728946120977.604,2,2,1
1728946122113.12,1728946122380.0442,1,1,1
1728946123634.552,1728946123947.4802,1,1,1
1728946125222.9602,1728946125471.968,2,2,1
1728946126357.4922,1728946126587.56,1,1,1
1728946127981.0442,1728946128536.592,2,2,1
1728946129688.112,1728946129934.3882,1,1,1
1728946130932.8682,1728946131135.296,2,2,1
1728946132269.7842,1728946132576.5562,2,2,1
1728946133919.04,1728946134240.0842,2,2,1
1728946135434.568,1728946135722.74,2,2,1
1728946136974.26,1728946137268.568,1,1,1
1728946138200.0962,1728946138472.676,1,1,1
1728946139305.156,1728946139587.9602,2,2,1
1728946140510.484,1728946140836.964,1,1,1
1728946141619.484,1728946141890.572,1,1,1
1728946142565.0442,1728946142771.028,2,2,1
1728946143429.516,1728946143692.516,2,2,1
1728946144299.0042,1728946144591.184,2,2,1
1728946145917.7122,1728946146140.82,1,1,1
1728946146691.3362,1728946146976.396,1,1,1
1728946148060.8762,1728946148336.6362,2,2,1
1728946149111.156,1728946149333.932,1,1,1
1728946149851.448,1728946150134.62,1,1,1
1728946150952.1482,1728946151206.828,1,1,1
1728946152281.32,1728946152527.4282,2,2,1
1728946153925.904,1728946154335.8,2,2,1
1728946155067.28,1728946155325.848,2,2,1
1728946156533.372,1728946156841.58,1,1,1
