ObjShowTime,ReactionTime,StimType,Guess,Correct
1739995764059.0242,1739995764519.1082,2,2,1
1739995765551.496,1739995765928.46,2,2,1
1739995767046.896,1739995767456.668,1,1,1
1739995768534.052,1739995768961.548,2,2,1
1739995770077.936,1739995770436.872,2,2,1
1739995771340.2642,1739995771599.632,2,2,1
1739995772205.0242,1739995772676.62,2,2,1
1739995774014.012,1739995774382.708,2,2,1
1739995775679.136,1739995776017.0562,1,1,1
1739995776914.488,1739995777357.08,1,1,1
1739995778394.4722,1739995778713.6,2,2,1
1739995779970.996,1739995780262.908,2,2,1
1739995781055.312,1739995781401.552,2,2,1
1739995784529.632,1739995784872.768,2,2,1
1739995786039.196,1739995786608.528,1,1,1
1739995787870.912,1739995788054.984,2,2,1
1739995789471.416,1739995789827.012,1,1,1
1739995791174.404,1739995791378.756,2,2,1
1739995792345.148,1739995792638.792,2,2,1
1739995793349.224,1739995793707.396,1,1,1
1739995795054.784,1739995795264.704,2,2,1
1739995796007.14,1739995796475.184,1,1,1
1739995797278.6082,1739995797726.172,1,1,1
1739995798809.5562,1739995799298.196,2,2,1
1739995800387.624,1739995800811.46,1,1,1
1739995802273.9,1739995802631.116,1,1,1
1739995803914.516,1739995804139.476,2,2,1
1739995805304.916,1739995805753.396,1,1,1
1739995807123.844,1739995807518.596,1,1,1
1739995808875.068,1739995809149.08,2,2,1
1739995809797.564,1739995810058.388,2,2,1
1739995811258.916,1739995811547.288,1,1,1
1739995813024.804,1739995813330.648,1,1,1
1739995814242.124,1739995814606.988,2,2,1
1739995815687.4722,1739995815943.752,2,2,1
1739995816802.232,1739995817130.956,2,2,1
1739995817682.476,1739995818057.844,1,1,1
1739995818611.356,1739995818966.4722,1,1,1
1739995819644.952,1739995819950.1282,2,2,1
1739995821339.6082,1739995821829.284,2,2,1
1739995822459.7642,1739995822861.252,2,2,1
1739995823931.744,1739995824288.44,2,2,1
1739995825123.924,1739995825397.248,2,2,1
1739995825934.724,1739995826217.852,2,2,1
1739995826721.336,1739995826984.468,2,2,1
1739995828384.956,1739995828679.9,2,2,1
1739995829493.38,1739995829777.408,2,2,1
1739995831118.9,1739995831385.184,2,2,1
1739995831997.664,1739995832269.088,2,2,1
1739995833190.58,1739995833403.936,2,2,1
1739995834603.456,1739995835026.544,1,1,1
1739995835799.02,1739995836090.8,2,2,1
1739995837542.284,1739995837834.8,2,2,1
1739995838637.284,1739995838879.844,2,2,1
1739995839874.364,1739995840283.644,1,1,1
1739995840963.1282,1739995841159.296,2,2,1
1739995842288.78,1739995842523.64,2,2,1
1739995843264.124,1739995843461.228,2,2,1
1739995844515.748,1739995844802.916,1,1,1
1739995846208.436,1739995846592.768,1,1,1
1739995847301.256,1739995847593.8,2,2,1
1739995848947.32,1739995849399.468,1,1,1
1739995850335.992,1739995850749.684,1,1,1
1739995851571.156,1739995851800.94,2,2,1
1739995852706.424,1739995852881.452,2,2,1
1739995854217.936,1739995854428.492,2,2,1
1739995855581.008,1739995855799.4202,1,1,1
1739995857294.936,1739995857589.54,1,1,1
1739995858161.06,1739995858514.492,1,1,1
1739995859824.98,1739995860065.932,2,2,1
1739995861339.4202,1739995861556.804,2,2,1
1739995862436.284,1739995862703.812,2,2,1
1739995863705.332,1739995864080.188,1,1,1
1739995864814.72,1739995865256.476,1,1,1
1739995866374.988,1739995866680.852,1,1,1
1739995867689.372,1739995867954.544,1,1,1
1739995868925.0242,1739995869172.2642,2,2,1
1739995869899.78,1739995870169.188,1,1,1
1739995871580.708,1739995871980.468,1,1,1
1739995872954.996,1739995873331.5042,1,1,1
1739995873847.02,1739995874322.144,1,1,1
1739995874843.624,1739995875227.904,2,2,1
1739995876519.4202,1739995877094.832,1,1,1
1739995877898.304,1739995878146.484,2,2,1
1739995878934.0,1739995879230.0242,1,1,1
1739995879826.508,1739995880032.396,2,2,1
1739995881185.916,1739995881383.104,1,1,1
1739995882496.584,1739995882881.4,2,2,1
1739995886159.676,1739995886528.72,2,2,1
1739995887696.208,1739995887959.244,2,2,1
1739995889076.724,1739995889266.1282,2,2,1
1739995890758.616,1739995890976.732,2,2,1
1739995895417.924,1739995895872.224,2,2,1
1739995897127.744,1739995897627.24,1,1,1
1739995898413.716,1739995898706.0242,2,2,1
1739995899523.544,1739995899785.936,1,1,1
1739995900613.452,1739995900985.508,1,1,1
1739995902193.988,1739995902425.28,2,2,1
