1739970510.000,3318596
ObjShowTime,ReactionTime,StimType,Guess,Correct
57377620,57837704,2,2,1
58870092,59247056,2,2,1
60365492,60775264,1,1,1
61852648,62280144,2,2,1
63396532,63755468,2,2,1
64658860,64918228,2,2,1
65523620,65995216,2,2,1
67332608,67701304,2,2,1
68997732,69335652,1,1,1
70233084,70675676,1,1,1
71713068,72032196,2,2,1
73289592,73581504,2,2,1
74373908,74720148,2,2,1
76012584,76682844,1,1,1
77848228,78191364,2,2,1
79357792,79927124,1,1,1
81189508,81373580,2,2,1
82790012,83145608,1,1,1
84493000,84697352,2,2,1
85663744,85957388,2,2,1
86667820,87025992,1,1,1
88373380,88583300,2,2,1
89325736,89793780,1,1,1
90597204,91044768,1,1,1
92128152,92616792,2,2,1
93706220,94130056,1,1,1
95592496,95949712,1,1,1
97233112,97458072,2,2,1
98623512,99071992,1,1,1
100442440,100837192,1,1,1
102193664,102467676,2,2,1
103116160,103376984,2,2,1
104577512,104865884,1,1,1
106343400,106649244,1,1,1
107560720,107925584,2,2,1
109006068,109262348,2,2,1
110120828,110449552,2,2,1
111001072,111376440,1,1,1
111929952,112285068,1,1,1
112963548,113268724,2,2,1
114658204,115147880,2,2,1
115778360,116179848,2,2,1
117250340,117607036,2,2,1
118442520,118715844,2,2,1
119253320,119536448,2,2,1
120039932,120303064,2,2,1
121703552,121998496,2,2,1
122811976,123096004,2,2,1
124437496,124703780,2,2,1
125316260,125587684,2,2,1
126509176,126722532,2,2,1
127922052,128345140,1,1,1
129117616,129409396,2,2,1
130860880,131153396,2,2,1
131955880,132198440,2,2,1
133192960,133602240,1,1,1
134281724,134477892,2,2,1
135607376,135842236,2,2,1
136582720,136779824,2,2,1
137834344,138121512,1,1,1
139527032,139911364,1,1,1
140619852,140912396,2,2,1
142265916,142718064,1,1,1
143654588,144068280,1,1,1
144889752,145119536,2,2,1
146025020,146200048,2,2,1
147536532,147747088,2,2,1
148899604,149118016,1,1,1
150613532,150908136,1,1,1
151479656,151833088,1,1,1
153143576,153384528,2,2,1
154658016,154875400,2,2,1
155754880,156022408,2,2,1
157023928,157398784,1,1,1
158133316,158575072,1,1,1
159693584,159999448,1,1,1
161007968,161273140,1,1,1
162243620,162490860,2,2,1
163218376,163487784,1,1,1
164899304,165299064,1,1,1
166273592,166650100,1,1,1
167165616,167640740,1,1,1
168162220,168546500,2,2,1
169838016,170413428,1,1,1
171216900,171465080,2,2,1
172252596,172548620,1,1,1
173145104,173350992,2,2,1
174504512,174701700,1,1,1
175815180,176199996,2,2,1
177539480,178184792,2,2,1
179478272,179847316,2,2,1
181014804,181277840,2,2,1
182395320,182584724,2,2,1
184077212,184295328,2,2,1
185094852,185374512,1,2,0
186688032,187321032,1,1,1
188736520,189190820,2,2,1
190446340,190945836,1,1,1
191732312,192024620,2,2,1
192842140,193104532,1,1,1
193932048,194304104,1,1,1
195512584,195743876,2,2,1
