ObjShowTime,ReactionTime,StimType,Guess,Correct
1746737957929.08,1746737958319.1,1,1,1
1746737959109.496,1746737959337.62,2,2,1
1746737960315.012,1746737960603.516,2,2,1
1746737962082.908,1746737962424.836,2,2,1
1746737963145.268,1746737963433.8,1,1,1
1746737964586.24,1746737964881.492,1,1,1
1746737966309.916,1746737966701.14,1,1,1
1746737967311.568,1746737967558.748,1,1,1
1746737968378.176,1746737968637.264,1,1,1
1746737969186.66,1746737969403.444,2,2,1
1746737970800.872,1746737971057.7,1,1,1
1746737971671.136,1746737971954.472,1,1,1
1746737973131.868,1746737973486.52,2,2,1
1746737974020.952,1746737974308.812,1,1,1
1746737975502.24,1746737975817.308,1,1,1
1746737976757.696,1746737977142.516,2,2,1
1746737977665.944,1746737977989.04,1,1,1
1746737980449.888,1746737980783.668,1,1,1
1746737981606.056,1746737981901.06,2,2,1
1746737983181.488,1746737983495.084,1,1,1
1746737986487.088,1746737986856.0,2,2,1
1746737987467.436,1746737987721.144,1,1,1
1746737988922.568,1746737989233.46,1,1,1
1746737990177.896,1746737990460.2,1,1,1
1746737991570.632,1746737991837.596,1,1,1
1746737992929.02,1746737993183.172,1,1,1
1746737994527.7,1746737994824.128,1,1,1
1746737997266.564,1746737997512.18,2,2,1
1746737998660.696,1746737998950.14,1,1,1
1746737999635.616,1746737999984.924,2,2,1
1746738000958.42,1746738001277.312,2,2,1
1746738002369.788,1746738002665.176,2,2,1
1746738003634.66,1746738003863.056,2,2,1
1746738004981.544,1746738005214.452,2,2,1
1746738006570.976,1746738006844.28,1,1,1
1746738007850.804,1746738008079.192,1,1,1
1746738008955.68,1746738009267.348,2,2,1
1746738010439.868,1746738010774.144,1,1,1
1746738011736.62,1746738012038.556,2,2,1
1746738012830.036,1746738013170.584,2,2,1
1746738014323.064,1746738014613.924,2,2,1
1746738016016.444,1746738016323.748,1,1,1
1746738016830.264,1746738017122.536,1,1,1
1746738017836.064,1746738018111.084,1,1,1
1746738019189.608,1746738019458.416,1,1,1
1746738020243.932,1746738020471.788,1,1,1
1746738021217.272,1746738021461.652,2,2,1
1746738021998.168,1746738022299.524,1,1,1
1746738023748.996,1746738024145.1,2,2,1
1746738024740.616,1746738025051.784,1,1,1
1746738025827.264,1746738026128.06,2,2,1
1746738027033.592,1746738027350.856,1,1,1
1746738028352.388,1746738028613.984,1,1,1
1746738029465.464,1746738029777.312,2,2,1
1746738031058.836,1746738031340.956,1,1,1
1746738032568.472,1746738032854.696,1,1,1
1746738034044.216,1746738034310.104,1,1,1
1746738035712.584,1746738035973.932,2,2,1
1746738036483.416,1746738036810.052,2,2,1
1746738038293.536,1746738038516.04,2,2,1
1746738039743.528,1746738039989.6,2,2,1
1746738040543.124,1746738040802.3,1,1,1
1746738041610.772,1746738041887.628,2,2,1
1746738042517.148,1746738042769.944,1,1,1
1746738043915.468,1746738044246.744,1,1,1
1746738046027.792,1746738046304.224,1,1,1
1746738047147.736,1746738047438.344,1,1,1
1746738048354.828,1746738048608.272,2,2,1
1746738049556.76,1746738049809.908,2,2,1
1746738050708.436,1746738050996.2,1,1,1
1746738052377.724,1746738052726.76,1,1,1
1746738053744.268,1746738054016.892,1,1,1
1746738055266.372,1746738055548.668,2,2,1
1746738056470.196,1746738056852.788,1,1,1
1746738057603.304,1746738057881.152,1,1,1
1746738058644.632,1746738058861.748,2,2,1
1746738060204.264,1746738060496.244,1,1,1
1746738061674.752,1746738061966.436,1,1,1
1746738063241.948,1746738063509.096,1,1,1
1746738064537.576,1746738064871.46,2,2,1
1746738066156.94,1746738066473.288,2,2,1
1746738067668.804,1746738067989.608,1,1,1
1746738068554.092,1746738068924.264,2,2,1
1746738070255.752,1746738070575.396,2,2,1
1746738071983.872,1746738072353.36,2,2,1
1746738073464.888,1746738073735.896,1,1,1
1746738074392.412,1746738074647.352,1,1,1
1746738075241.876,1746738075494.044,1,1,1
1746738076051.576,1746738076283.932,1,1,1
1746738077359.448,1746738077704.088,1,1,1
1746738079179.556,1746738079527.36,2,2,1
1746738080422.844,1746738080689.432,2,2,1
1746738081588.948,1746738081893.144,1,1,1
1746738083186.68,1746738083498.124,1,1,1
1746738084803.652,1746738085069.48,1,1,1
1746738085793.0,1746738086032.668,1,1,1
1746738087475.156,1746738087773.744,2,2,1
1746738088663.224,1746738088969.568,2,2,1
1746738090124.048,1746738090401.268,2,2,1
