1746712700.000,7842720
ObjShowTime,ReactionTime,StimType,Guess,Correct
65771800,66161820,1,1,1
66952216,67180340,2,2,1
68157732,68446236,2,2,1
69925628,70267556,2,2,1
70987988,71276520,1,1,1
72428960,72724212,1,1,1
74152636,74543860,1,1,1
75154288,75401468,1,1,1
76220896,76479984,1,1,1
77029380,77246164,2,2,1
78643592,78900420,1,1,1
79513856,79797192,1,1,1
80974588,81329240,2,2,1
81863672,82151532,1,1,1
83344960,83660028,1,1,1
84600416,84985236,2,2,1
85508664,85831760,1,1,1
87109148,87359172,2,1,0
88292608,88626388,1,1,1
89448776,89743780,2,2,1
91024208,91337804,1,1,1
92488232,92902424,1,1,1
94329808,94698720,2,2,1
95310156,95563864,1,1,1
96765288,97076180,1,1,1
98020616,98302920,1,1,1
99413352,99680316,1,1,1
100771740,101025892,1,1,1
102370420,102666848,1,1,1
104071336,104485796,2,2,1
105109284,105354900,2,2,1
106503416,106792860,1,1,1
107478336,107827644,2,2,1
108801140,109120032,2,2,1
110212508,110507896,2,2,1
111477380,111705776,2,2,1
112824264,113057172,2,2,1
114413696,114687000,1,1,1
115693524,115921912,1,1,1
116798400,117110068,2,2,1
118282588,118616864,1,1,1
119579340,119881276,2,2,1
120672756,121013304,2,2,1
122165784,122456644,2,2,1
123859164,124166468,1,1,1
124672984,124965256,1,1,1
125678784,125953804,1,1,1
127032328,127301136,1,1,1
128086652,128314508,1,1,1
129059992,129304372,2,2,1
129840888,130142244,1,1,1
131591716,131987820,2,2,1
132583336,132894504,1,1,1
133669984,133970780,2,2,1
134876312,135193576,1,1,1
136195108,136456704,1,1,1
137308184,137620032,2,2,1
138901556,139183676,1,1,1
140411192,140697416,1,1,1
141886936,142152824,1,1,1
143555304,143816652,2,2,1
144326136,144652772,2,2,1
146136256,146358760,2,2,1
147586248,147832320,2,2,1
148385844,148645020,1,1,1
149453492,149730348,2,2,1
150359868,150612664,1,1,1
151758188,152089464,1,1,1
152885948,153193984,2,1,0
153870512,154146944,1,1,1
154990456,155281064,1,1,1
156197548,156450992,2,2,1
157399480,157652628,2,2,1
158551156,158838920,1,1,1
160220444,160569480,1,1,1
161586988,161859612,1,1,1
163109092,163391388,2,2,1
164312916,164695508,1,1,1
165446024,165723872,1,1,1
166487352,166704468,2,2,1
168046984,168338964,1,1,1
169517472,169809156,1,1,1
171084668,171351816,1,1,1
172380296,172714180,2,2,1
173999660,174316008,2,2,1
175511524,175832328,1,1,1
176396812,176766984,2,2,1
178098472,178418116,2,2,1
179826592,180196080,2,2,1
181307608,181578616,1,1,1
182235132,182490072,1,1,1
183084596,183336764,1,1,1
183894296,184126652,1,1,1
185202168,185546808,1,1,1
187022276,187370080,2,2,1
188265564,188532152,2,2,1
189431668,189735864,1,1,1
191029400,191340844,1,1,1
192646372,192912200,1,1,1
193635720,193875388,1,1,1
195317876,195616464,2,2,1
196505944,196812288,2,2,1
197966768,198243988,2,2,1
