ObjShowTime,ReactionTime,StimType,Guess,Correct
1740772331480.384,1740772331900.912,1,1,1
1740772333062.344,1740772333366.5,1,1,1
1740772334797.936,1740772335084.368,1,1,1
1740772336004.756,1740772336349.508,2,2,1
1740772337430.896,1740772337722.568,2,2,1
1740772338995.956,1740772339240.568,2,2,1
1740772340294.964,1740772340558.572,2,2,1
1740772342013.964,1740772342312.1,2,2,1
1740772343240.488,1740772343556.26,2,2,1
1740772344185.696,1740772344523.616,1,1,1
1740772345838.048,1740772346098.504,1,1,1
1740772346819.892,1740772347221.532,2,2,1
1740772347975.92,1740772348288.12,2,2,1
1740772349077.512,1740772349334.464,2,2,1
1740772350234.852,1740772350472.848,2,2,1
1740772351368.28,1740772351689.984,1,1,1
1740772353015.412,1740772353265.052,1,1,1
1740772354167.44,1740772354567.032,2,2,1
1740772355236.428,1740772355530.548,2,2,1
1740772356100.996,1740772356408.7,1,1,1
1740772356964.092,1740772357324.968,2,2,1
1740772357906.396,1740772358173.412,1,1,1
1740772359238.836,1740772359543.648,1,1,1
1740772360754.036,1740772361065.98,2,2,1
1740772362078.372,1740772362359.464,2,2,1
1740772363742.856,1740772364142.104,2,2,1
1740772364916.536,1740772365251.256,1,1,1
1740772366672.684,1740772367048.756,1,1,1
1740772367802.144,1740772368155.632,2,2,1
1740772370999.12,1740772371420.356,2,2,1
1740772372180.752,1740772372455.476,2,2,1
1740772373259.908,1740772373538.892,1,1,1
1740772374965.292,1740772375338.092,2,2,1
1740772375897.528,1740772376217.884,2,2,1
1740772377232.368,1740772377529.04,2,2,1
1740772378125.524,1740772378393.456,2,2,1
1740772379875.976,1740772380224.5,1,1,1
1740772382361.208,1740772382789.712,1,1,1
1740772383345.224,1740772383643.768,1,1,1
1740772384388.284,1740772384676.488,1,1,1
1740772385736.96,1740772386089.744,2,2,1
1740772386773.232,1740772387017.844,2,2,1
1740772388218.328,1740772388491.44,2,2,1
1740772389730.928,1740772389998.372,2,2,1
1740772390979.904,1740772391279.092,1,1,1
1740772391958.612,1740772392239.66,1,1,1
1740772393003.176,1740772393273.408,1,1,1
1740772394262.884,1740772394537.396,2,2,1
1740772395262.884,1740772395513.596,2,2,1
1740772396342.088,1740772396578.776,2,2,1
1740772397949.26,1740772398218.32,2,2,1
1740772400764.604,1740772401011.84,1,1,1
1740772401736.36,1740772401979.948,1,1,1
1740772403092.432,1740772403399.068,2,2,1
1740772403963.548,1740772404266.292,2,2,1
1740772405735.776,1740772405988.432,2,2,1
1740772406884.916,1740772407124.632,2,2,1
1740772408165.108,1740772408451.732,2,2,1
1740772412081.324,1740772412356.68,2,2,1
1740772413672.16,1740772413936.328,2,2,1
1740772415415.816,1740772415694.092,2,2,1
1740772416598.612,1740772416919.732,1,1,1
1740772417965.248,1740772418211.54,1,1,1
1740772419659.02,1740772420081.024,2,2,1
1740772420744.54,1740772421144.424,1,1,1
1740772422032.9,1740772422303.62,2,2,1
1740772423649.144,1740772423902.388,1,1,1
1740772424623.86,1740772425013.948,2,2,1
1740772426118.472,1740772426409.972,1,1,1
1740772427811.452,1740772428118.076,2,2,1
1740772429475.596,1740772429740.252,1,1,1
1740772430744.728,1740772431014.572,2,2,1
1740772431598.06,1740772431950.964,2,2,1
1740772432516.484,1740772432777.288,1,1,1
1740772433482.812,1740772433724.72,1,1,1
1740772434946.236,1740772435266.724,1,1,1
1740772436681.236,1740772436958.352,1,1,1
1740772438382.832,1740772438694.068,2,2,1
1740772439199.564,1740772439488.92,2,2,1
1740772440792.4,1740772441090.86,2,2,1
1740772442056.344,1740772442351.608,2,2,1
1740772443052.128,1740772443319.936,1,1,1
1740772443935.412,1740772444372.232,2,2,1
1740772446975.348,1740772447266.068,1,1,1
1740772448211.544,1740772448497.268,2,2,1
1740772449600.748,1740772449882.0,2,2,1
1740772450567.52,1740772450823.276,1,1,1
1740772452081.8,1740772452319.708,1,1,1
1740772452901.224,1740772453206.552,1,1,1
1740772454046.028,1740772454360.832,2,2,1
1740772455859.36,1740772456266.824,1,1,1
1740772456883.34,1740772457137.924,1,1,1
1740772458356.448,1740772458611.896,1,1,1
1740772459812.408,1740772460063.844,1,1,1
1740772461443.32,1740772461881.388,2,2,1
1740772463136.916,1740772463450.336,1,1,1
