1746814067.000,4616096
ObjShowTime,ReactionTime,StimType,Guess,Correct
65526596,66069748,1,1,1
67175132,67554748,2,2,1
68476184,68962480,1,1,1
70431908,70869980,1,1,1
71854412,72175696,1,1,1
73468132,73846612,1,1,1
74925008,75110096,2,2,1
75771524,76066648,1,1,1
77403072,77658868,1,1,1
78221256,78524424,2,2,1
79172824,79535064,2,2,1
80622460,80894288,2,2,1
81462680,81759432,2,2,1
83084824,83361088,2,2,1
84283480,84523348,2,2,1
85512744,85747188,2,2,1
86573616,86960976,1,1,1
88411404,88675288,1,1,1
90101684,90361476,2,2,1
91582908,92118056,1,1,1
92796444,93132396,2,2,1
93948832,94454192,1,1,1
95438612,95832816,1,1,1
96733212,97102304,2,2,1
97611736,98023492,1,1,1
99303916,99826428,1,1,1
100428856,100929508,1,1,1
102062032,102438320,1,1,1
103588804,103948060,2,2,1
104897584,105260992,1,1,1
106184480,106425436,2,2,1
107713912,107961448,2,2,1
109063928,109252140,2,2,1
110077660,110443580,1,1,1
111415048,111648244,2,2,1
112219724,112560460,2,2,1
113164984,113543004,1,1,1
114346520,114723692,1,1,1
115280180,115641332,2,2,1
116835816,117248720,2,2,1
118522240,119000292,1,1,1
119949768,120377360,2,2,1
121258880,121508848,1,1,1
122257324,122528964,2,2,1
123983480,124356416,1,1,1
125779940,126345312,1,1,1
127383800,127606980,2,2,1
128429500,128752204,1,1,1
129547680,129968972,2,2,1
131317452,131703476,2,2,1
132879992,133323080,1,1,1
134470556,134866160,2,2,1
135812640,136151076,2,2,1
137461556,137863324,2,2,1
138707804,139026992,2,2,1
140257480,140560904,2,2,1
141443384,141706460,2,2,1
142717940,142952040,2,2,1
144265564,144564416,1,1,1
145994900,146410396,2,2,1
147197924,147577540,1,1,1
148329052,148796988,1,1,1
149806464,150051272,2,2,1
151135748,151477228,2,2,1
152739760,153100960,1,1,1
154150436,154499140,2,2,1
155295660,155623476,1,1,1
157053960,157458980,2,2,1
158144504,158600516,1,1,1
159683996,159915884,2,2,1
160772380,161145604,2,2,1
161759120,162067652,1,1,1
163323172,163730180,1,1,1
164845672,165297760,2,2,1
166204280,166482448,1,1,1
167487920,167720560,2,2,1
168474080,168782904,1,1,1
170181372,170414508,2,2,1
171012996,171771960,2,2,1
172874440,173116752,2,2,1
174238268,174771640,1,1,1
175396160,175796412,1,1,1
176431880,176738344,2,2,1
177973832,178191196,2,2,1
179119676,179378528,2,2,1
180565020,180808736,2,2,1
182285212,182678372,2,2,1
183732864,183983412,2,2,1
184810932,185125968,1,1,1
186382456,186878588,2,2,1
187384116,187937820,1,1,1
189378300,189652548,2,2,1
190480028,190721060,2,2,1
191994576,192327392,1,1,1
193030912,193287608,1,1,1
194582092,194795620,2,2,1
196153144,196526548,1,1,1
197645024,197882980,2,2,1
198562468,198883368,2,2,1
199767884,200036304,1,2,0
201053824,201466888,1,1,1
202072372,202715728,2,2,1
