1727691454.000,8427236
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,13681200,13901452,1,1,1
2,15384952,15620876,1,1,1
3,16965376,17211060,1,1,1
4,17938560,18260280,1,1,1
5,19039780,19301540,1,1,1
6,19812044,20062532,1,1,1
7,21356956,21577168,2,2,1
8,22356608,22527100,2,2,1
9,24022616,24296888,1,2,0
10,25748384,26096608,1,1,1
11,27064080,27359088,2,2,1
12,28452584,28799876,2,2,1
13,29460364,29748740,2,2,1
14,30351304,30649920,1,1,1
15,31640388,32040836,2,2,1
16,32610328,32941880,2,2,1
17,33756376,34031764,2,2,1
18,35379328,35640820,1,1,1
19,36931356,37218508,1,1,1
20,38579976,38896072,2,2,1
21,40029632,40406044,1,1,1
22,41427508,41742376,2,2,1
23,42364940,42603960,1,1,1
24,44056424,44376300,2,2,1
25,45112864,45407200,1,1,1
26,46393752,46600736,1,1,1
27,47865284,48151304,1,1,1
28,48899764,49202076,2,2,1
29,49841572,50113568,2,2,1
30,51131128,51518884,1,1,1
31,52329432,52527320,1,1,1
32,53519788,53840184,2,2,1
33,54467676,54851792,2,1,0
34,56340356,56710904,1,1,1
35,57779456,58126764,1,1,1
36,59068224,59369500,2,2,1
37,60553064,60817384,1,1,1
38,61485936,61779152,1,1,1
39,62614616,62877344,2,2,1
40,64348828,64512844,2,2,1
41,65138408,65497192,1,1,1
42,66011740,66243180,1,1,1
43,66993644,67333552,2,2,1
44,68409120,68620256,1,1,1
45,69443732,69730988,2,2,1
46,71227472,71451468,2,1,0
47,72285956,72616008,2,2,1
48,73772576,74064972,1,1,1
49,74691440,75000468,2,2,1
50,76383036,76685436,1,1,1
51,77602992,77929544,1,1,1
52,78797020,79101424,2,2,1
53,79647992,79986932,1,1,1
54,80558476,80771468,1,1,1
55,81508016,81844900,1,1,1
56,83014444,83282776,1,1,1
57,84036248,84318288,2,2,1
58,84961856,85300900,1,1,1
59,86325360,86652852,2,2,1
60,87615344,87973576,2,2,1
61,88543072,88808220,2,2,1
62,89542716,89796980,2,2,1
63,90722552,91104720,1,1,1
64,92512188,92852252,2,1,0
65,94138812,94730548,1,1,1
66,95641016,95952912,2,2,1
67,97004484,97198824,1,1,1
68,97759296,98044592,2,2,1
69,99414164,99670864,1,1,1
70,101017420,101360544,1,1,1
71,102857180,103189368,1,1,1
72,104267012,104503580,1,1,1
73,105940136,106302508,2,2,1
74,107373164,107628136,1,1,1
75,108349700,108706084,2,2,1
76,109354740,109675660,1,1,1
77,110186220,110491556,2,2,1
78,111223212,111474836,1,1,1
79,112166464,112559872,1,1,1
80,113448516,113716496,1,1,1
81,114897060,115243084,2,2,1
82,116420656,116792228,2,2,1
83,117651892,118021468,1,1,1
84,119501100,119812352,1,1,1
85,121003988,121235076,1,1,1
86,122026716,122311268,1,1,1
87,123566908,123842804,1,1,1
88,125232368,125606232,2,2,1
89,126157896,126436332,1,1,1
90,127645972,127936176,1,1,1
91,129432824,129871864,1,1,1
92,130955512,131275596,1,1,1
93,132693236,132878460,1,1,1
94,133886096,134091328,1,1,1
95,134884960,135123312,1,1,1
96,136361864,136600608,2,2,1
97,137590188,137818732,2,2,1
98,138328392,138728156,1,1,1
99,140050792,140314280,1,1,1
100,141047840,141353268,2,2,1
101,141988900,142235644,2,2,1
102,142925272,143147612,2,2,1
103,144155312,144311860,1,1,1
104,145546540,145785592,1,1,1
