ObjShowTime,ReactionTime,StimType,Guess,Correct
1728512399026.86,1728512401471.512,1,1,1
1728512402410.94,1728512402730.06,1,1,1
1728512403739.456,1728512404202.944,2,2,1
1728512404715.34,1728512405012.308,2,2,1
1728512406490.704,1728512406797.812,2,2,1
1728512407814.244,1728512408247.216,1,1,1
1728512409081.608,1728512409438.828,2,2,1
1728512410099.216,1728512410432.628,2,2,1
1728512411802.056,1728512412149.576,1,1,1
1728512413315.016,1728512413573.8,1,1,1
1728512414914.236,1728512415267.192,1,1,1
1728512415809.576,1728512416151.5,2,2,1
1728512417483.928,1728512417848.164,1,1,1
1728512419152.592,1728512419509.336,1,1,1
1728512420360.72,1728512420677.748,2,2,1
1728512422103.18,1728512422420.06,1,1,1
1728512423896.444,1728512424119.816,2,2,1
1728512424906.212,1728512425226.992,2,2,1
1728512426328.38,1728512426650.788,2,2,1
1728512427871.184,1728512428078.284,2,2,1
1728512429059.72,1728512429455.548,1,1,1
1728512430503.98,1728512430816.108,1,1,1
1728512432311.496,1728512432666.648,2,2,1
1728512433358.044,1728512433688.176,2,2,1
1728512434927.58,1728512435208.588,2,2,1
1728512435875.028,1728512436288.624,1,1,1
1728512437320.052,1728512437675.444,1,1,1
1728512438556.88,1728512438922.412,2,2,1
1728512439743.932,1728512440142.476,1,1,1
1728512441043.992,1728512441351.408,1,1,1
1728512442018.924,1728512442281.276,1,1,1
1728512443447.756,1728512443730.08,2,2,1
1728512444648.6,1728512444934.66,1,1,1
1728512445992.136,1728512446207.108,2,2,1
1728512447533.588,1728512447870.976,2,2,1
1728512448907.496,1728512449319.024,1,1,1
1728512450713.504,1728512451045.692,2,2,1
1728512451799.212,1728512452362.732,1,1,1
1728512453691.256,1728512454053.308,1,1,1
1728512455098.78,1728512455465.004,2,2,1
1728512456580.524,1728512457024.264,1,1,1
1728512457919.736,1728512458218.108,2,2,1
1728512459356.64,1728512459782.44,1,1,1
1728512461268.928,1728512461586.316,2,2,1
1728512463051.804,1728512463255.752,2,2,1
1728512464215.244,1728512464446.072,2,2,1
1728512465126.564,1728512465440.592,2,2,1
1728512466169.108,1728512466534.896,1,1,1
1728512467182.372,1728512467567.344,2,2,1
1728512468135.832,1728512468478.864,2,2,1
1728512469072.396,1728512469468.896,1,1,1
1728512470667.404,1728512471054.144,1,1,1
1728512471629.62,1728512471956.22,2,2,1
1728512472566.744,1728512472940.22,1,1,1
1728512474067.74,1728512474371.18,1,1,1
1728512475404.648,1728512475761.2,2,2,1
1728512476389.688,1728512476693.624,2,2,1
1728512477470.144,1728512477836.852,1,1,1
1728512478846.376,1728512479182.892,1,1,1
1728512480058.372,1728512480405.488,2,2,1
1728512481399.008,1728512481822.052,1,1,1
1728512482781.564,1728512483046.24,1,1,1
1728512483919.756,1728512484182.7,1,1,1
1728512484970.188,1728512485245.892,2,2,1
1728512486744.372,1728512486972.936,2,2,1
1728512488408.42,1728512488645.212,2,2,1
1728512489983.748,1728512490281.804,1,1,1
1728512490858.332,1728512491196.564,1,1,1
1728512491874.052,1728512492152.276,2,2,1
1728512493432.8,1728512493689.292,1,2,0
1728512494643.776,1728512495174.964,2,2,1
1728512496202.492,1728512496760.784,1,1,1
1728512497375.3,1728512497730.42,1,1,1
1728512498816.904,1728512499197.448,2,2,1
1728512500220.968,1728512500565.028,1,1,1
1728512501994.508,1728512502311.876,2,2,1
1728512503291.404,1728512503564.596,1,1,1
1728512504725.076,1728512505010.452,2,2,1
1728512505672.976,1728512506019.14,1,1,1
1728512507037.624,1728512507304.024,2,2,1
1728512508357.508,1728512508779.216,2,2,1
1728512510063.7,1728512510297.012,2,2,1
1728512511225.544,1728512511636.624,1,1,1
1728512512891.14,1728512513122.748,1,1,1
1728512514576.276,1728512514821.104,1,1,1
1728512515647.588,1728512516030.96,2,2,1
1728512516803.484,1728512517219.612,1,1,1
1728512518466.132,1728512518736.288,1,1,1
1728512519447.768,1728512519774.288,2,2,1
1728512520889.776,1728512521208.452,2,2,1
1728512522443.94,1728512522706.568,2,2,1
1728512523223.056,1728512523510.372,2,2,1
1728512524905.9,1728512525283.812,1,1,1
1728512526381.332,1728512526673.108,1,1,1
1728512527234.62,1728512527494.964,1,1,1
1728512528779.444,1728512529115.272,2,2,1
1728512530445.756,1728512530753.612,2,2,1
1728512531524.132,1728512531923.16,1,1,1
1728512533252.636,1728512533561.096,2,2,1
1728512534448.572,1728512534690.772,2,2,1
1728512535269.256,1728512535594.272,2,2,1
1728512536413.764,1728512536654.712,2,2,1
