ObjShowTime,ReactionTime,StimType,Guess,Correct
1746469701826.092,1746469702468.62,2,2,1
1746469703325.052,1746469703860.508,1,1,1
1746469704387.936,1746469705014.488,1,1,1
1746469706503.872,1746469706941.0962,2,2,1
1746469707859.528,1746469708493.752,1,1,1
1746469709247.136,1746469709863.328,2,2,1
1746469711321.756,1746469711666.56,1,1,1
1746469712525.984,1746469712876.4402,1,1,1
1746469713933.828,1746469714394.168,2,2,1
1746469715651.572,1746469716149.22,2,2,1
1746469717255.612,1746469717507.384,2,2,1
1746469718585.78,1746469719036.528,2,2,1
1746469720402.9202,1746469720662.768,2,2,1
1746469721487.168,1746469721855.288,2,2,1
1746469722358.6802,1746469722887.0562,2,2,1
1746469724365.484,1746469724798.568,1,1,1
1746469726096.9922,1746469726575.78,1,1,1
1746469736084.8162,1746469736592.788,2,2,1
1746469747682.848,1746469748580.904,1,1,1
1746469751321.756,1746469751855.908,2,2,1
1746469753285.3882,1746469753574.928,2,2,1
1746469754946.448,1746469755765.436,1,1,1
1746469758923.048,1746469759442.452,1,1,1
1746469760905.968,1746469761159.896,1,1,1
1746469765280.804,1746469765930.272,2,2,1
1746469766740.796,1746469767570.46,1,1,1
1746469768436.9922,1746469768910.652,1,1,1
1746469771566.5,1746469772354.4922,1,1,1
1746469773085.976,1746469773474.724,2,2,1
1746469774306.204,1746469774903.224,2,2,1
1746469775466.748,1746469775999.036,1,1,1
1746469776655.528,1746469777162.828,2,2,1
1746469778234.3162,1746469778610.824,2,2,1
1746469781053.756,1746469781481.956,1,1,1
1746469782963.4402,1746469783600.5242,2,2,1
1746469788859.408,1746469789553.432,2,2,1
1746469790345.952,1746469791100.6482,1,1,1
1746469791819.168,1746469792512.104,1,1,1
1746469793668.5962,1746469794327.612,2,2,1
1746469795508.136,1746469795963.112,1,1,1
1746469796539.604,1746469796885.976,2,2,1
1746469797649.4922,1746469798155.408,1,1,1
1746469798858.896,1746469799237.412,2,2,1
1746469800167.892,1746469800668.016,2,2,1
1746469801662.496,1746469802063.644,2,2,1
1746469803443.164,1746469803838.1082,1,1,1
1746469804708.62,1746469805063.792,1,1,1
1746469805779.3162,1746469806088.56,1,1,1
1746469806832.0762,1746469807144.852,1,1,1
1746469807953.328,1746469808924.084,2,2,1
1746469810076.604,1746469810678.4402,1,1,1
1746469811851.948,1746469812523.848,1,1,1
1746469813130.3362,1746469813472.744,2,2,1
1746469814953.228,1746469815567.22,2,2,1
1746469816747.748,1746469817276.144,1,1,1
1746469818077.6602,1746469818424.516,1,1,1
1746469819764.032,1746469820199.204,1,1,1
1746469820724.688,1746469821173.176,2,2,1
1746469822064.656,1746469822415.072,2,2,1
1746469823868.588,1746469824408.552,1,1,1
1746469825268.084,1746469825810.996,1,1,1
1746469826575.516,1746469826953.924,1,1,1
1746469828424.4,1746469828899.792,2,2,1
1746469831092.02,1746469831436.5042,1,1,1
1746469832845.988,1746469833531.776,2,2,1
1746469834558.26,1746469834999.72,2,2,1
1746469837411.36,1746469837891.428,1,1,1
1746469838444.908,1746469839204.5562,2,2,1
1746469840036.048,1746469840456.38,2,2,1
1746469841246.9,1746469841760.78,1,1,1
1746469842950.26,1746469843392.684,2,2,1
1746469844262.208,1746469844516.8882,1,1,1
1746469845649.376,1746469846099.152,2,2,1
1746469846674.676,1746469847125.2122,1,1,1
1746469848449.7322,1746469849072.216,1,1,1
1746469849585.696,1746469850335.8882,2,2,1
1746469851399.376,1746469851689.296,2,2,1
1746469852770.772,1746469853254.144,2,2,1
1746469853858.624,1746469854278.116,2,2,1
1746469854864.6,1746469855271.952,2,2,1
1746469856427.484,1746469856839.088,1,1,1
1746469865944.6282,1746469866571.636,2,2,1
1746469867203.156,1746469867799.22,1,1,1
1746469868315.7322,1746469868757.268,1,1,1
1746469869258.788,1746469869541.964,1,1,1
1746469870546.444,1746469870913.872,2,2,1
1746469871941.4,1746469872496.976,1,1,1
1746469873215.4922,1746469873796.84,1,1,1
1746469874675.352,1746469875161.5562,1,1,1
1746469875938.028,1746469876696.432,2,2,1
1746469877483.956,1746469878009.28,1,1,1
1746469879064.808,1746469879481.376,1,1,1
1746469880975.9,1746469881326.0562,1,1,1
