ObjShowTime,ReactionTime,StimType,Guess,Correct
1740687916817.792,1740687917339.684,2,2,1
1740687917907.116,1740687918334.504,1,1,1
1740687919124.884,1740687919387.0,2,2,1
1740687920364.396,1740687920747.904,2,2,1
1740687922227.304,1740687922597.38,2,2,1
1740687923317.812,1740687923695.544,1,1,1
1740687924847.964,1740687925199.252,1,1,1
1740687926627.68,1740687926969.796,1,1,1
1740687927580.228,1740687928005.864,1,1,1
1740687928825.292,1740687928992.228,1,1,1
1740687929541.624,1740687929943.536,2,2,1
1740687931340.972,1740687931880.088,1,1,1
1740687932493.516,1740687932871.096,1,1,1
1740687934048.484,1740687934333.068,2,2,1
1740687934867.504,1740687935306.404,1,1,1
1740687936499.84,1740687936879.488,1,1,1
1740687937819.884,1740687938223.08,2,2,1
1740687938746.52,1740687939190.636,1,1,1
1740687940468.02,1740687940807.204,2,2,1
1740687941740.64,1740687941975.06,1,1,1
1740687942797.448,1740687943163.664,2,2,1
1740687944444.1,1740687944885.296,1,1,1
1740687946035.728,1740687946392.772,1,1,1
1740687947820.172,1740687948207.304,2,2,1
1740687948818.736,1740687949270.312,1,1,1
1740687950471.74,1740687950782.708,1,1,1
1740687951727.128,1740687951951.472,1,1,1
1740687953061.904,1740687953328.008,1,1,1
1740687954419.4438,1740687954721.056,1,1,1
1740687956065.488,1740687956379.112,1,1,1
1740687959030.608,1740687959450.756,2,2,1
1740687960599.272,1740687960925.344,1,1,1
1740687961610.816,1740687962098.216,2,2,1
1740687963071.7,1740687963492.748,2,2,1
1740687964585.228,1740687964920.624,2,2,1
1740687965890.108,1740687966237.008,2,2,1
1740687967355.484,1740687967621.556,2,2,1
1740687968978.08,1740687969338.24,1,1,1
1740687970344.756,1740687970583.764,1,1,1
1740687971460.252,1740687971937.504,2,2,1
1740687973110.028,1740687973327.512,1,1,1
1740687974289.988,1740687974573.956,2,2,1
1740687978886.416,1740687979162.756,1,1,1
1740687981133.208,1740687981590.92,1,1,1
1740687982669.432,1740687983010.24,1,1,1
1740687983795.752,1740687984083.808,1,1,1
1740687984829.288,1740687985168.928,2,2,1
1740687985705.4438,1740687986078.288,1,1,1
1740687987527.776,1740687988088.948,2,2,1
1740687988684.464,1740687989047.568,1,1,1
1740687989823.044,1740687990223.196,2,2,1
1740687991128.712,1740687991582.248,1,1,1
1740687992583.756,1740687993152.86,1,1,1
1740687994004.336,1740687994325.18,2,2,1
1740687995606.7,1740687996018.556,1,1,1
1740687997246.072,1740687997617.088,1,1,1
1740687998806.612,1740687999117.616,1,1,1
1740688000520.096,1740688000786.82,2,2,1
1740688001296.3,1740688001856.144,2,2,1
1740688003339.628,1740688003701.492,2,2,1
1740688004928.972,1740688005163.72,2,2,1
1740688005717.24,1740688006167.5,1,1,1
1740688007902.58,1740688008418.792,1,1,1
1740688009564.312,1740688009893.152,1,1,1
1740688010689.64,1740688011210.048,2,2,1
1740688011886.576,1740688012245.848,1,1,1
1740688014787.172,1740688015312.9958,2,2,1
1740688016261.476,1740688016626.164,2,2,1
1740688017524.692,1740688017988.296,1,1,1
1740688019369.812,1740688019733.516,1,1,1
1740688020751.028,1740688021081.208,1,1,1
1740688022330.68,1740688022557.7,2,2,1
1740688023479.22,1740688023860.316,1,1,1
1740688024610.832,1740688024959.084,1,1,1
1740688025722.564,1740688026147.06,2,2,1
1740688031001.916,1740688031503.164,1,1,1
1740688032531.652,1740688033033.66,2,2,1
1740688034319.14,1740688034733.164,2,2,1
1740688037442.816,1740688037902.14,2,2,1
1740688039233.636,1740688039662.992,2,2,1
1740688041071.472,1740688041417.164,2,2,1
1740688042528.684,1740688042863.108,1,1,1
1740688043519.628,1740688043945.28,1,1,1
1740688044539.808,1740688044766.648,1,1,1
1740688045324.16,1740688045585.508,1,1,1
1740688046661.02,1740688047013.084,1,1,1
1740688048488.568,1740688048821.088,2,2,1
1740688049716.572,1740688050008.836,2,2,1
1740688050908.368,1740688051273.4438,1,1,1
1740688052566.968,1740688052934.452,1,1,1
1740688054239.972,1740688054630.048,1,1,1
1740688055353.572,1740688055755.82,1,1,1
1740688057198.296,1740688057509.116,2,2,1
1740688058398.596,1740688058633.236,2,2,1
1740688059787.716,1740688060001.976,2,2,1
1740688061390.456,1740688061757.524,2,2,1
