ObjShowTime,ReactionTime,StimType,Guess,Correct
1728329068354.176,1728329069038.5442,1,1,1
1728329069849.884,1728329070265.964,2,2,1
1728329071753.412,1728329072157.82,1,1,1
1728329073346.164,1728329073637.792,2,2,1
1728329074850.1602,1728329075197.552,2,2,1
1728329076225.008,1728329076587.52,1,1,1
1728329077783.864,1728329078223.176,2,2,1
1728329078789.5442,1728329079207.884,2,2,1
1728329080247.26,1728329080604.412,2,2,1
1728329081508.792,1728329081965.724,2,2,1
1728329083359.1082,1728329083731.824,2,2,1
1728329084986.2002,1728329085325.8,2,2,1
1728329086014.172,1728329086362.488,2,2,1
1728329087397.86,1728329087681.984,2,2,1
1728329088511.424,1728329089115.184,1,1,1
1728329090537.604,1728329091070.772,1,1,1
1728329092121.12,1728329092460.996,2,2,1
1728329093334.372,1728329093654.372,2,2,1
1728329095068.736,1728329095439.6,2,2,1
1728329096049.96,1728329096347.348,2,2,1
1728329097260.8,1728329097610.0242,1,1,1
1728329098880.448,1728329099227.196,1,2,0
1728329099757.5442,1728329100347.716,2,2,1
1728329101251.092,1728329101661.064,2,2,1
1728329102939.512,1728329103591.5242,1,1,1
1728329104421.964,1728329104903.28,2,2,1
1728329106008.82,1728329106645.1602,1,1,1
1728329107262.588,1728329107797.748,2,2,1
1728329108899.2122,1728329109437.436,2,2,1
1728329110088.9722,1728329110642.2122,1,1,1
1728329111251.652,1728329111667.46,2,2,1
1728329112903.9202,1728329113322.4402,2,2,1
1728329114625.976,1728329114951.9,1,1,1
1728329115468.332,1728329115827.36,2,2,1
1728329117047.82,1728329117578.04,2,1,0
1728329118225.5762,1728329118914.06,1,1,1
1728329119554.588,1728329120164.776,1,1,1
1728329120936.296,1728329121286.476,1,1,1
1728329122108.9922,1728329122485.28,1,1,1
1728329123944.8,1728329124352.6482,1,1,1
1728329125362.156,1728329125890.332,1,1,1
1728329127140.844,1728329127660.756,1,1,1
1728329129154.268,1728329129535.696,1,1,1
1728329130716.22,1728329131031.86,1,1,1
1728329132172.3,1728329132557.96,2,2,1
1728329133421.512,1728329134230.08,1,1,1
1728329134790.528,1728329135097.812,2,2,1
1728329136057.268,1728329136375.392,2,2,1
1728329137050.848,1728329137339.612,2,2,1
1728329138321.14,1728329138692.788,1,1,1
1728329139845.304,1728329140231.588,1,1,1
1728329141570.032,1728329142047.864,2,2,1
1728329142824.324,1728329143227.184,2,2,1
1728329144138.652,1728329144465.088,2,2,1
1728329145022.6282,1728329145500.532,1,1,1
1728329146251.968,1728329146835.312,2,2,1
1728329147336.844,1728329147814.748,1,1,1
1728329148321.184,1728329148588.876,2,2,1
1728329149726.3362,1728329150179.1282,2,2,1
1728329151303.672,1728329151722.852,1,1,1
1728329152236.3682,1728329152692.2642,1,1,1
1728329153580.7842,1728329154048.8682,1,1,1
1728329155133.312,1728329155488.32,2,2,1
1728329156595.856,1728329157217.0442,1,1,1
1728329158038.4922,1728329158425.908,2,2,1
1728329159545.364,1728329160195.656,2,2,1
1728329161208.116,1728329161657.172,2,2,1
1728329162456.708,1728329163032.896,1,1,1
1728329163764.3362,1728329164261.28,2,2,1
1728329165718.736,1728329166496.04,2,2,1
1728329167025.58,1728329167875.6802,1,1,1
1728329168897.116,1728329169397.344,2,2,1
1728329170689.804,1728329170954.6282,2,1,0
1728329172298.164,1728329172803.7842,1,1,1
1728329173574.304,1728329174399.428,1,1,1
1728329175029.936,1728329175678.0442,1,1,1
1728329176590.48,1728329177018.324,2,2,1
1728329178377.86,1728329178969.3362,1,1,1
1728329180010.856,1728329180408.7002,1,1,1
1728329181306.216,1728329181599.584,1,1,1
1728329182255.104,1728329182570.02,1,1,1
1728329183947.452,1728329184351.424,2,2,1
1728329185599.956,1728329186112.768,1,1,1
1728329187394.204,1728329187849.2322,2,2,1
1728329189236.78,1728329189874.724,1,1,1
1728329190427.156,1728329190995.0562,2,2,1
1728329192088.6082,1728329192479.776,1,1,1
1728329193023.304,1728329193458.7322,1,1,1
1728329194806.26,1728329195137.3,1,1,1
1728329196603.82,1728329196907.392,1,1,1
1728329197500.8362,1728329197850.824,2,2,1
1728329198766.288,1728329199334.58,2,2,1
1728329200805.112,1728329201113.7122,1,1,1
1728329201682.144,1728329202124.188,2,2,1
1728329202775.644,1728329203051.46,2,2,1
1728329204148.912,1728329204444.432,2,2,1
1728329205632.896,1728329205894.3162,2,2,1
1728329206662.852,1728329207067.0042,1,1,1
1728329207902.52,1728329208318.664,1,1,1
1728329209168.188,1728329209428.196,1,1,1
1728329210432.7122,1728329210738.796,1,1,1
1728329211278.32,1728329211633.432,1,1,1
1728329212223.956,1728329212491.1602,1,1,1
1728329213604.592,1728329213925.72,2,2,1
