1728487637.000,3922420
ObjShowTime,ReactionTime,StimType,Guess,Correct
57120312,57736520,2,2,1
58318916,58708952,2,2,1
59586396,60122852,1,1,1
61075244,61544008,2,2,1
62757436,63264732,1,1,1
64687128,65096956,2,2,1
66459348,66936840,2,2,1
68013276,68465196,1,1,1
69071584,69609016,2,2,1
70309452,70791772,1,1,1
71465164,71936132,2,2,1
72749532,73251016,2,2,1
74030444,74779540,1,2,0
75576964,76446584,1,1,1
77062012,78586092,1,1,1
79946476,80391204,2,2,1
81281636,81751456,1,1,1
82564888,83013316,1,1,1
83927704,84364220,2,2,1
85862612,86314144,2,2,1
87414572,87975324,1,2,0
89007752,89768996,1,1,1
91159424,91928172,1,1,1
92877604,93269256,1,1,1
94058652,94534444,2,2,1
95733876,96190904,1,1,1
97352288,97963588,2,2,1
98822020,99252924,1,1,1
99962348,100312416,1,1,1
101636848,102008360,2,2,1
103499880,104035668,1,1,1
104772140,105331244,2,2,1
106086760,106503680,1,1,1
107779200,108216460,1,1,1
108774936,109315772,2,2,1
110533256,110999808,2,2,1
112315288,112729216,2,2,1
114039736,114381688,1,1,1
115720172,116191064,2,2,1
116950548,117338368,2,2,1
118802892,119196332,1,1,1
120413808,120952076,2,2,1
121979592,122495248,1,1,1
123501776,124050968,1,1,1
125245496,125762868,1,1,1
126922388,127247180,1,1,1
128060704,128461780,1,1,1
129126260,129461892,2,2,1
130398420,131111148,1,1,1
132607660,133093792,1,1,1
134119304,134521828,1,1,1
135836340,136155976,1,1,1
137516456,137825732,2,1,0
139115256,139698380,1,1,1
140685892,141130812,1,1,1
141874340,142206160,1,1,1
143113680,143454728,1,1,1
144394248,144712256,1,1,1
145979764,146352680,1,1,1
146920200,147246184,1,1,1
148526656,148851632,2,2,1
149742168,150131196,1,1,1
150825668,151149112,2,2,1
151766596,152046672,2,1,0
153245148,154140132,2,2,1
155130624,155567504,2,2,1
156871996,157218876,2,2,1
158204404,158649636,1,1,1
159550112,160139292,2,2,1
160884776,161190624,2,2,1
162168116,162489388,2,2,1
163056880,163432644,2,2,1
164014128,164316192,2,2,1
165480720,165884772,1,1,1
167368248,167837896,2,2,1
169140420,169553256,1,1,1
170481740,170983932,2,2,1
171987408,172325412,2,2,1
173172932,173569632,1,1,1
174739140,175103504,1,1,1
176027976,176384112,2,2,1
177340592,177643560,2,2,1
178804048,179157164,2,2,1
180372652,180738552,2,2,1
181505076,181952932,1,1,1
182734440,183076520,1,1,1
184574008,185030716,2,2,1
185710192,186073360,2,2,1
187209848,187557324,2,2,1
188538848,188918964,1,1,1
189892448,190586712,2,2,1
191852232,192419156,1,1,1
193273680,193618720,1,1,1
194694200,195152724,2,2,1
196146252,196832320,1,1,1
198137792,198611840,2,2,1
199986336,200330472,2,2,1
201659988,202129552,1,1,1
202866032,203307528,2,2,1
203857016,204270556,2,2,1
205250084,205590688,1,1,1
206680212,207090000,1,1,1
207859472,208205816,2,2,1
209588352,209925700,1,2,0
210954172,211608812,2,2,1
212441344,213005608,1,1,1
