ObjShowTime,ReactionTime,StimType,Guess,Correct
1729542180458.736,1729542180763.896,1,1,1
1729542181996.324,1729542182332.968,1,1,1
1729542183327.36,1729542183671.4722,2,2,1
1729542184568.908,1729542184836.94,1,1,1
1729542185912.3682,1729542186204.644,1,1,1
1729542187460.04,1729542187680.736,2,2,1
1729542189063.132,1729542189316.728,2,2,1
1729542190222.156,1729542190434.7642,1,1,1
1729542191654.148,1729542192033.344,2,2,1
1729542193158.776,1729542193444.632,1,1,1
1729542194680.016,1729542194843.288,2,2,1
1729542195603.6802,1729542195768.7,2,1,0
1729542196848.096,1729542197104.032,2,1,0
1729542198121.46,1729542198440.2322,1,2,0
1729542199570.62,1729542199948.372,2,1,0
1729542200741.768,1729542201021.672,2,2,1
1729542202056.08,1729542202277.624,2,2,1
1729542203641.016,1729542203932.224,2,2,1
1729542204788.652,1729542205067.1,1,2,0
1729542206097.484,1729542206507.148,2,2,1
1729542207615.548,1729542207958.928,2,2,1
1729542208869.3162,1729542209112.38,2,2,1
1729542209656.808,1729542210062.976,1,1,1
1729542211488.364,1729542211919.98,2,2,1
1729542213406.408,1729542213681.852,1,1,1
1729542214856.252,1729542215069.548,2,2,1
1729542216480.984,1729542216743.9,1,1,1
1729542218006.28,1729542218147.976,2,2,1
1729542218967.376,1729542219327.124,2,2,1
1729542219992.5562,1729542220288.7842,1,1,1
1729542220827.1802,1729542221052.716,2,2,1
1729542222154.112,1729542222492.808,2,2,1
1729542223833.204,1729542224234.068,2,2,1
1729542224921.456,1729542225149.588,2,2,1
1729542226166.112,1729542226524.0762,1,1,1
1729542227453.548,1729542227636.408,2,2,1
1729542228820.896,1729542229128.988,2,2,1
1729542230228.512,1729542230525.996,1,1,1
1729542231068.5042,1729542231414.98,1,1,1
1729542232481.464,1729542232698.6802,2,2,1
1729542233944.1602,1729542234257.1082,2,2,1
1729542235174.592,1729542235551.6,2,2,1
1729542236240.08,1729542236449.808,2,2,1
1729542236958.328,1729542237364.6802,1,1,1
1729542238695.188,1729542238984.02,1,1,1
1729542240477.5042,1729542240739.52,2,2,1
1729542241410.044,1729542241758.132,1,1,1
1729542242798.652,1729542243148.94,1,1,1
1729542244032.4202,1729542244300.088,2,2,1
1729542245090.612,1729542245337.952,1,1,1
1729542246475.432,1729542246713.38,2,2,1
1729542247362.916,1729542247611.828,1,1,1
1729542248481.3162,1729542248669.392,2,2,1
1729542249591.876,1729542249756.8162,2,1,0
1729542250401.308,1729542250655.452,2,2,1
1729542252050.944,1729542252319.388,2,2,1
1729542253513.872,1729542253700.52,2,2,1
1729542254906.0,1729542255228.58,2,2,1
1729542255847.1,1729542256139.56,1,1,1
1729542257129.08,1729542257413.916,1,1,1
1729542258835.436,1729542259123.144,1,1,1
1729542259878.612,1729542260105.936,2,2,1
1729542261460.416,1729542261868.124,2,1,0
1729542262476.604,1729542263058.132,2,2,1
1729542263961.612,1729542264233.744,2,2,1
1729542265016.268,1729542265220.852,1,2,0
1729542266496.336,1729542266878.2122,2,2,1
1729542267802.736,1729542268029.0762,1,1,1
1729542268775.56,1729542268946.932,2,2,1
1729542270012.448,1729542270177.612,1,1,1
1729542271620.092,1729542271779.904,2,2,1
1729542272447.424,1729542272625.656,1,1,1
1729542273626.136,1729542273801.728,2,2,1
1729542274515.256,1729542274710.1282,1,2,0
1729542275838.64,1729542276152.336,1,1,1
1729542277047.864,1729542277272.852,1,1,1
1729542278051.384,1729542278234.12,1,1,1
1729542279069.636,1729542279380.604,1,1,1
1729542280078.08,1729542280356.064,2,2,1
1729542281784.592,1729542282116.988,1,1,1
1729542282622.508,1729542282961.388,1,1,1
1729542283669.916,1729542283984.98,1,1,1
1729542284516.46,1729542284811.8,2,2,1
1729542286288.2842,1729542286498.968,2,2,1
1729542287603.492,1729542287888.388,1,1,1
1729542289212.876,1729542289395.1802,2,2,1
1729542289953.6602,1729542290245.1,2,2,1
1729542290900.62,1729542291249.376,1,1,1
1729542292541.896,1729542292945.0242,1,1,1
1729542293506.544,1729542293736.028,1,1,1
1729542294935.544,1729542295180.728,1,1,1
1729542296034.204,1729542296248.828,2,2,1
1729542297708.304,1729542297888.9722,2,2,1
1729542298450.5,1729542298747.112,1,1,1
1729542299562.636,1729542299897.916,1,1,1
1729542301090.392,1729542301276.3,2,2,1
1729542302613.7842,1729542302806.324,2,2,1
1729542303656.844,1729542303947.708,1,1,1
1729542305073.192,1729542305280.852,2,2,1
1729542306632.3682,1729542306912.572,1,1,1
1729542308150.084,1729542308524.796,1,1,1
1729542309930.32,1729542310180.508,1,1,1
1729542311028.032,1729542311245.112,1,1,1
1729542312708.592,1729542312894.98,2,2,1
1729542313568.5,1729542313878.064,1,1,1
1729542315368.548,1729542315534.276,2,2,1
1729542316816.804,1729542316980.856,1,1,1
1729542318331.336,1729542318532.0042,2,2,1
1729542319940.488,1729542320185.1602,2,1,0
1729542320865.648,1729542321387.496,2,2,1
1729542322759.976,1729542322952.176,2,1,0
1729542323682.672,1729542324059.06,2,2,1
