RTC lost power, let's set the time!
1738843356.000,6317556
ObjShowTime,ReactionTime,StimType,Guess,Correct
60198776,60715868,2,2,1
61637296,61981728,1,1,1
63451160,63787764,1,1,1
64772200,65093420,1,1,1
66385848,66782440,1,1,1
67860828,68260940,2,2,1
68922368,69320512,1,1,1
70656932,70961820,1,1,1
71524200,71862772,2,2,1
72511164,72896788,2,2,1
73984188,74281288,2,2,1
74849676,75129464,2,2,1
76454852,76771200,2,2,1
77693592,77966820,2,2,1
78956216,79209156,2,2,1
80035588,80348424,1,1,1
81798844,82115692,1,1,1
83542084,83840068,2,2,1
85061496,85502036,1,1,1
86180424,86706856,2,2,1
87523288,87978804,1,1,1
88963232,89273300,1,1,1
90173704,90508088,2,2,1
91017524,91280440,1,1,1
92560868,92929608,1,1,1
93532040,93893440,1,1,1
95025868,95305328,1,1,1
96455728,96823232,2,2,1
97772672,98168460,1,1,1
99091852,99319676,2,2,1
100608072,100972328,2,2,1
102074804,102431560,2,2,1
103257076,103647916,1,1,1
104619392,104905760,2,1,0
105477244,106037204,2,2,1
106641732,107090528,1,1,1
107894048,108247116,1,1,1
108803592,109165316,2,2,1
110359808,110611996,2,2,1
111885528,112293412,1,1,1
113242884,113473528,2,2,1
114355052,114654448,1,1,1
115402924,115600100,2,2,1
117054624,117263008,1,1,1
118686528,118883460,1,2,0
119921944,120448460,2,2,1
121270976,121647592,1,1,1
122443076,122896836,2,2,1
124245316,124594744,2,2,1
125771264,126103860,1,1,1
127251344,127493260,2,2,1
128439740,128799644,2,2,1
130110132,130454056,2,2,1
131298540,131566160,2,2,1
132796644,133071684,2,2,1
133954172,134320892,2,2,1
135332372,135602564,2,2,1
136916084,137198260,1,1,1
138628736,139037960,2,2,1
139825492,140095560,1,1,1
140847076,141183300,1,1,1
142192788,142471940,2,2,1
143556420,143880200,2,2,1
145142724,145492388,1,1,1
146541868,146775940,2,1,0
147572480,147916428,1,1,1
149346904,149661124,2,2,1
150346648,150633800,1,1,1
151717280,151999408,2,1,0
152855896,153247060,2,2,1
153860584,154535356,1,1,1
155790868,156101244,1,1,1
157216716,157586872,2,2,1
158493396,158797588,1,1,1
159803072,160067392,2,2,1
160820912,161141272,1,1,1
162539752,162883188,2,2,1
163481676,164099952,2,2,1
165202432,165480652,2,2,1
166602164,167024520,1,1,1
167649048,167961564,1,1,1
168597048,169012124,2,2,1
170247608,170511400,2,2,1
171439872,171841436,2,2,1
173027924,173358756,2,2,1
174835236,175153448,2,2,1
176207932,176474936,2,2,1
177302456,177671624,1,1,1
178928108,179294152,2,2,1
179799676,180286840,1,1,1
181727324,181901572,2,2,1
182729056,183340256,2,2,1
184613776,185008976,1,1,1
185712492,186053204,1,1,1
187347688,187743612,2,2,1
189101148,189600200,1,1,1
190718668,191045400,2,2,1
191724880,192104148,2,2,1
192988664,193441252,1,1,1
194458776,194863756,1,2,0
195469236,196017108,2,2,1
196689632,197227752,1,1,1
197855276,198271200,1,1,1
198779684,199165056,2,2,1
200063536,200402888,2,2,1
201431412,201731056,1,1,1
