1732018363.000,3733960
ObjShowTime,ReactionTime,StimType,Guess,Correct
52028244,52359532,1,1,1
53134916,53393464,2,2,1
53900892,54216036,1,1,1
55700464,55904044,1,1,1
56617476,56888316,1,1,1
57389744,57618376,1,1,1
58489764,58703864,2,2,1
59628260,59911848,2,2,1
60737276,61078176,1,1,1
62187568,62545036,2,2,1
63422428,63718316,2,2,1
64310752,64559036,1,1,1
65782420,65958220,2,2,1
67031644,67211416,1,1,1
67736804,68020136,2,2,1
69042564,69194556,1,1,1
70399988,70680580,1,1,1
72096976,72278264,2,2,1
73331652,73475828,2,1,0
74230260,74580492,1,1,1
75322920,75517772,1,1,1
76224160,76466956,2,2,1
77326392,77551124,1,1,1
78535512,78688272,2,2,1
79893708,80075356,1,1,1
80770780,81096484,1,1,1
82585872,82847484,2,2,1
83362920,83604288,1,1,1
84160720,84412388,1,1,1
85547820,85854960,1,1,1
87194344,87387260,2,2,1
88615692,88765856,1,1,1
89874284,90127900,1,1,1
91581320,91908172,1,1,1
93247564,93440424,2,2,1
94480812,94648420,2,1,0
95596816,95785716,2,1,0
97135108,97433744,2,2,1
98784132,99015144,2,2,1
100033540,100214096,2,2,1
101503576,101680740,2,2,1
102856224,103088844,2,2,1
103772328,104019228,2,2,1
104940744,105123484,1,2,0
106489004,106776132,1,1,1
107964660,108186504,1,1,1
108845984,109144656,2,2,1
110031180,110291852,1,1,1
111041340,111289524,2,2,1
111957012,112240140,2,2,1
113557664,113819388,1,1,1
114483908,114752632,1,1,1
115726100,115949108,2,2,1
116776632,116940276,1,1,1
118071792,118285396,1,1,1
118887868,119182456,2,2,1
120437940,120790612,2,2,1
122243100,122431460,2,2,1
123019952,123274832,2,2,1
124406312,124618724,2,1,0
125527216,125690140,2,2,1
126430624,126622484,2,2,1
127297964,127436400,2,2,1
128620880,128861616,2,2,1
129523100,129766580,2,2,1
131075060,131275652,2,2,1
132331132,132495780,2,2,1
133602264,133755540,2,2,1
135052020,135302756,2,2,1
136127272,136306288,1,2,0
137338800,137565012,1,1,1
138684496,139007424,2,2,1
140229912,140501676,2,2,1
141319204,141624564,1,1,1
142144076,142388556,1,1,1
143286064,143555356,1,1,1
144200844,144379140,2,2,1
145353620,145615256,2,2,1
146436772,146649488,1,1,1
147952968,148263172,2,2,1
149112648,149361024,2,2,1
149915512,150176132,2,2,1
150779608,150990276,2,2,1
151646760,151854024,2,2,1
153308552,153527832,1,1,1
154535348,154789604,1,1,1
155596084,155800264,2,2,1
156480752,156807192,2,2,1
157389716,157559520,1,2,0
158210996,158589044,2,2,1
159395528,159615524,2,2,1
160117008,160294440,2,2,1
161685952,161843328,1,1,1
163161848,163395824,1,1,1
164488348,164705504,1,1,1
165259012,165483516,1,1,1
166726040,167014244,1,1,1
168240756,168451732,1,1,1
169130256,169372056,1,1,1
170375524,170590720,2,1,0
172057200,172370860,2,2,1
173653384,173848476,1,2,0
175128960,175406088,2,2,1
176339604,176545352,1,1,1
177635820,177793540,2,2,1
178694024,178990624,2,2,1
180008112,180239488,2,2,1
180816972,181049876,2,2,1
182221400,182446944,1,2,0
183526464,183797232,1,1,1
184848744,185114800,1,1,1
