trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725402189253.864,1725402189502.372,2,2,1
2,1725402190618.708,1725402190820.544,2,2,1
3,1725402191835.992,1725402192014.404,2,2,1
4,1725402192747.836,1725402192929.736,2,2,1
5,1725402194231.18,1725402194406.656,2,2,1
6,1725402195362.096,1725402195525.852,2,2,1
7,1725402196900.292,1725402197122.728,2,2,1
8,1725402198473.24,1725402198750.1282,1,1,1
9,1725402200127.62,1725402200438.448,1,1,1
10,1725402201030.864,1725402201242.2642,2,2,1
11,1725402202663.756,1725402202831.328,2,2,1
12,1725402203885.8162,1725402204015.072,2,2,1
13,1725402204759.648,1725402204921.052,1,2,0
14,1725402205875.516,1725402206047.928,2,2,1
15,1725402206807.408,1725402207040.508,2,2,1
16,1725402208385.068,1725402208554.332,1,1,1
17,1725402209088.876,1725402209340.724,1,1,1
18,1725402210137.18,1725402210356.388,2,2,1
19,1725402211180.8682,1725402211387.7,2,2,1
20,1725402212836.184,1725402213082.2642,2,2,1
21,1725402213907.748,1725402214078.348,2,2,1
22,1725402214824.84,1725402214985.188,2,2,1
23,1725402216117.672,1725402216355.348,2,2,1
24,1725402217471.9202,1725402217785.6082,1,1,1
25,1725402218339.156,1725402218558.496,1,1,1
26,1725402219486.964,1725402219761.0,2,2,1
27,1725402220404.492,1725402220544.224,2,2,1
28,1725402221492.704,1725402221713.332,2,2,1
29,1725402222327.9,1725402222567.08,1,1,1
30,1725402223446.624,1725402223701.0,1,1,1
31,1725402224404.544,1725402224654.452,1,1,1
32,1725402225902.912,1725402226079.284,2,2,1
33,1725402227579.864,1725402227744.7122,1,1,1
34,1725402228265.18,1725402228463.1,2,2,1
35,1725402229069.676,1725402229234.5562,1,1,1
36,1725402229939.032,1725402230101.968,2,2,1
37,1725402230617.452,1725402230810.364,2,1,0
38,1725402232033.932,1725402232259.964,1,1,1
39,1725402233290.44,1725402233447.096,2,2,1
40,1725402234815.664,1725402235009.324,1,1,1
41,1725402235801.792,1725402235930.6082,2,2,1
42,1725402236583.088,1725402236766.716,2,2,1
43,1725402238106.2,1725402238339.784,2,2,1
44,1725402239424.356,1725402239578.708,1,1,1
45,1725402240531.18,1725402240733.6082,2,2,1
46,1725402242050.176,1725402242267.1602,1,1,1
47,1725402242845.708,1725402243106.4,1,1,1
48,1725402244135.876,1725402244289.416,2,2,1
49,1725402245154.904,1725402245306.048,2,2,1
50,1725402245933.6082,1725402246186.0042,1,1,1
51,1725402247515.4722,1725402247665.776,2,2,1
52,1725402249135.2642,1725402249363.1082,2,2,1
53,1725402250686.596,1725402250956.832,2,2,1
54,1725402251558.324,1725402251774.292,2,2,1
55,1725402252376.856,1725402252636.548,1,1,1
56,1725402253964.016,1725402254140.148,2,2,1
57,1725402255358.724,1725402255602.172,1,1,1
58,1725402256498.644,1725402256659.364,2,2,1
59,1725402257797.936,1725402257992.036,1,1,1
60,1725402258643.5042,1725402258805.38,2,2,1
61,1725402259381.956,1725402259568.104,1,1,1
62,1725402260279.5762,1725402260455.456,2,2,1
63,1725402261848.944,1725402262180.388,2,2,1
64,1725402263072.876,1725402263252.156,2,2,1
65,1725402264379.644,1725402264616.112,2,2,1
66,1725402265601.684,1725402265848.384,1,1,1
67,1725402267191.94,1725402267434.94,1,1,1
68,1725402268763.408,1725402268956.088,2,2,1
69,1725402270017.656,1725402270217.84,1,1,1
70,1725402271624.38,1725402271905.84,1,1,1
71,1725402273003.312,1725402273167.276,2,2,1
72,1725402274227.844,1725402274487.192,1,1,1
73,1725402274988.656,1725402275210.144,2,2,1
74,1725402276426.716,1725402276621.112,1,1,1
75,1725402278034.572,1725402278275.4722,2,2,1
76,1725402279039.964,1725402279212.404,2,1,0
77,1725402280448.9722,1725402280605.52,1,1,1
78,1725402281706.072,1725402281858.664,2,2,1
79,1725402282371.328,1725402282567.06,1,1,1
80,1725402283202.6282,1725402283362.84,2,2,1
81,1725402284316.424,1725402284522.624,2,2,1
82,1725402285316.196,1725402285525.772,2,2,1
83,1725402286480.34,1725402286677.6082,2,2,1
84,1725402288061.2,1725402288303.6282,2,2,1
85,1725402289383.292,1725402289551.828,1,1,1
86,1725402290065.468,1725402290313.028,1,1,1
87,1725402290819.5762,1725402291011.592,2,2,1
88,1725402291568.168,1725402291764.992,2,2,1
89,1725402292309.572,1725402292495.068,2,2,1
90,1725402293727.724,1725402293904.448,1,1,1
91,1725402294453.012,1725402294637.94,2,2,1
92,1725402295603.528,1725402295776.176,2,2,1
93,1725402296355.828,1725402296498.164,1,2,0
94,1725402297788.8,1725402298163.112,1,1,1
95,1725402298799.748,1725402299052.164,1,1,1
96,1725402300295.724,1725402300449.74,2,2,1
97,1725402301453.32,1725402301605.956,2,2,1
98,1725402302122.528,1725402302349.644,2,2,1
99,1725402303747.3,1725402303931.512,1,1,1
100,1725402305338.0762,1725402305489.568,2,1,0
101,1725402306005.192,1725402306413.6,2,2,1
102,1725402307718.228,1725402307980.7642,2,2,1
103,1725402309003.396,1725402309480.56,2,2,1
104,1725402310174.176,1725402310405.164,2,2,1
105,1725402310988.788,1725402311165.852,2,2,1
