trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725400858253.896,1725400858479.18,2,2,1
2,1725400859320.516,1725400859539.984,2,2,1
3,1725400860582.404,1725400860801.976,1,1,1
4,1725400861592.388,1725400861790.668,2,2,1
5,1725400862743.1838,1725400862928.284,1,1,1
6,1725400864304.776,1725400864487.984,1,1,1
7,1725400865522.396,1725400865769.396,2,2,1
8,1725400867152.924,1725400867400.624,1,1,1
9,1725400868664.036,1725400868814.92,2,2,1
10,1725400869567.436,1725400869749.1,1,1,1
11,1725400870709.564,1725400870926.888,2,2,1
12,1725400872272.368,1725400872426.38,2,2,1
13,1725400873511.9438,1725400873718.6838,1,1,1
14,1725400874406.152,1725400874629.588,2,2,1
15,1725400875687.076,1725400875933.436,2,2,1
16,1725400876562.008,1725400876791.652,1,1,1
17,1725400877309.112,1725400877547.4438,2,2,1
18,1725400878729.928,1725400878925.372,2,2,1
19,1725400879658.94,1725400879847.176,1,1,1
20,1725400881198.728,1725400881453.072,1,1,1
21,1725400882060.616,1725400882273.204,1,1,1
22,1725400883666.752,1725400883858.476,1,1,1
23,1725400885021.02,1725400885226.756,1,1,1
24,1725400885849.216,1725400886050.568,2,2,1
25,1725400886599.056,1725400886782.348,2,2,1
26,1725400887991.828,1725400888252.508,2,2,1
27,1725400889723.076,1725400890016.264,1,1,1
28,1725400890607.808,1725400890823.716,1,1,1
29,1725400891509.18,1725400891794.012,2,2,1
30,1725400893221.4958,1725400893410.66,2,2,1
31,1725400893940.224,1725400894238.856,1,1,1
32,1725400895540.404,1725400895706.968,1,1,1
33,1725400896756.508,1725400896992.988,1,1,1
34,1725400898340.536,1725400898517.756,1,1,1
35,1725400899856.308,1725400900019.264,1,1,1
36,1725400901102.732,1725400901307.24,2,2,1
37,1725400902710.8,1725400903005.596,1,1,1
38,1725400903810.144,1725400904024.128,1,1,1
39,1725400905321.592,1725400905575.336,2,2,1
40,1725400906089.824,1725400906309.144,2,2,1
41,1725400907804.716,1725400908032.32,1,2,0
42,1725400909209.86,1725400909457.364,1,2,0
43,1725400910367.908,1725400910650.464,1,1,1
44,1725400911713.004,1725400911922.732,1,1,1
45,1725400913272.192,1725400913557.884,2,2,1
46,1725400914502.368,1725400914684.94,2,2,1
47,1725400915772.504,1725400916080.468,1,1,1
48,1725400916802.932,1725400916999.328,2,1,0
49,1725400918153.816,1725400918379.44,2,2,1
50,1725400919488.924,1725400919703.844,2,2,1
51,1725400920794.412,1725400920993.784,1,2,0
52,1725400922050.332,1725400922237.904,1,1,1
53,1725400923152.38,1725400923376.712,2,2,1
54,1725400924417.204,1725400924624.896,2,2,1
55,1725400925460.384,1725400925653.624,2,2,1
56,1725400926201.124,1725400926473.82,2,2,1
57,1725400927522.3918,1725400927754.04,1,1,1
58,1725400928358.6,1725400928612.252,1,1,1
59,1725400929672.792,1725400929861.604,1,1,1
60,1725400931297.152,1725400931517.776,1,1,1
61,1725400932692.244,1725400932885.696,2,1,0
62,1725400933760.176,1725400933978.544,2,2,1
63,1725400935340.116,1725400935573.232,1,1,1
64,1725400937069.704,1725400937339.14,2,2,1
65,1725400937843.708,1725400938119.648,1,1,1
66,1725400939174.2,1725400939433.768,1,1,1
67,1725400940555.316,1725400940822.556,1,1,1
68,1725400941762.016,1725400942042.916,2,2,1
69,1725400942592.476,1725400942853.396,1,2,0
70,1725400943857.936,1725400944148.724,1,2,0
71,1725400945288.28,1725400945527.968,1,1,1
72,1725400946242.524,1725400946465.888,1,1,1
73,1725400947365.352,1725400947620.62,2,2,1
74,1725400949085.116,1725400949355.152,2,2,1
75,1725400950694.716,1725400950905.096,1,1,1
76,1725400951616.7358,1725400951826.744,1,1,1
77,1725400952750.296,1725400952978.488,2,2,1
78,1725400953663.144,1725400954111.8398,1,1,1
79,1725400955369.404,1725400955596.98,2,2,1
80,1725400956810.6318,1725400957010.872,1,1,1
81,1725400958300.42,1725400958487.572,2,2,1
82,1725400959228.148,1725400959501.356,2,2,1
83,1725400960433.012,1725400960667.384,1,1,1
84,1725400961519.016,1725400961729.664,1,1,1
85,1725400962334.224,1725400962574.044,2,2,1
86,1725400963095.6318,1725400963320.524,2,2,1
87,1725400964295.104,1725400964531.588,2,2,1
88,1725400965726.176,1725400965975.52,2,2,1
89,1725400967062.092,1725400967242.044,2,2,1
90,1725400968599.6318,1725400968845.9,2,2,1
91,1725400969981.488,1725400970196.04,2,1,0
92,1725400971195.692,1725400971454.024,1,2,0
93,1725400972654.672,1725400972886.096,1,1,1
94,1725400973753.652,1725400974118.804,2,2,1
95,1725400975216.472,1725400975414.92,1,1,1
96,1725400976460.556,1725400976716.188,1,1,1
97,1725400977852.7358,1725400978124.112,2,2,1
98,1725400978889.696,1725400979095.98,2,2,1
99,1725400980560.636,1725400980799.66,1,1,1
100,1725400981471.308,1725400981676.7,1,1,1
101,1725400982921.304,1725400983196.82,2,2,1
102,1725400984538.436,1725400984874.976,2,2,1
103,1725400985504.6,1725400985692.572,2,2,1
104,1725400986869.268,1725400987101.044,1,1,1
105,1725400988417.72,1725400988651.848,1,1,1
106,1725400989912.4438,1725400990106.696,2,2,1
107,1725400990739.32,1725400990922.72,2,2,1
108,1725400991677.344,1725400991865.092,2,2,1
109,1725400993033.716,1725400993345.596,2,2,1
