1726152621.000,5290536
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,10544452,11051980,2,2,1
2,12037484,12367832,1,1,1
3,13043332,13334332,1,1,1
4,14164828,14590588,1,1,1
5,15261088,15639264,1,1,1
6,16378684,16683028,3,3,1
7,17294548,17561908,1,1,1
8,18904408,19313288,1,1,1
9,20449748,20650948,2,1,0
10,21644460,21963816,1,1,1
11,22707284,23362476,3,3,1
12,24765040,25087248,1,1,1
13,25727708,26048692,3,3,1
14,27432216,27708996,2,2,1
15,28790460,29397924,3,3,1
16,30591412,30947860,3,3,1
17,31757396,32266196,2,2,1
18,33079712,33403900,2,2,1
19,34075460,34621648,1,1,1
20,35332160,35818892,2,2,1
21,36957368,37405272,3,3,1
22,38376804,38659320,2,2,1
23,39903876,40125480,1,1,1
24,41087980,41307012,2,2,1
25,42508580,42768340,1,2,0
26,43687888,44281408,1,1,1
27,44886916,45219744,2,2,1
28,45727260,46058820,2,2,1
29,46718376,47031604,1,1,1
30,47951084,48399508,3,3,1
31,49404000,49670928,3,3,1
32,50978408,51236036,3,3,1
33,52462516,52793764,3,3,1
34,54223332,54520056,1,2,0
35,55772600,56195432,1,1,1
36,57270892,58078712,3,3,1
37,58947236,59411028,2,2,1
38,60347540,60612720,2,2,1
39,61467196,62121700,3,3,1
40,63521264,63945184,1,1,1
41,64526652,65021216,3,3,1
42,66347736,66708596,2,2,1
43,67751104,67983276,2,2,1
44,69315756,69838124,3,3,1
45,70500700,70964212,1,1,1
46,71511684,71996896,3,3,1
47,72585476,72893968,1,1,1
48,73933428,74780900,3,3,1
49,75569464,76064060,1,1,1
50,77066600,77515936,1,1,1
51,78145476,78556256,1,1,1
52,79276804,79504764,1,1,1
53,80042280,80565044,2,2,1
54,81067552,81325944,2,2,1
55,82268428,82764420,3,1,0
56,83772944,84328188,2,2,1
57,85266660,85688280,3,3,1
58,86628856,87177888,1,1,1
59,87900352,88334004,3,3,1
60,89145576,89523736,1,1,1
61,90916244,91318388,2,2,1
62,92585864,92964880,3,3,1
63,93521448,93907872,1,1,1
64,95026388,95215040,2,2,1
65,96088600,96461632,1,1,1
66,97448100,97662212,3,3,1
67,98630736,98981428,2,2,1
68,99484908,99986224,3,3,1
69,101360724,101831336,3,3,1
70,102400956,102750660,2,2,1
71,103739220,104388344,3,3,1
72,105097968,105450764,2,2,1
73,106773400,107086544,1,1,1
74,108224136,108440356,2,2,1
75,109451000,109785060,1,1,1
76,111068660,111545832,2,2,1
77,112154428,112538212,2,2,1
78,113278772,113604696,3,3,1
79,114497272,114839648,3,3,1
80,115855228,116272892,3,3,1
81,117495516,117900844,2,1,0
82,118713448,119083736,2,2,1
83,120050340,120259920,2,2,1
84,120845524,121149464,2,2,1
85,122300060,122715276,2,2,1
86,124085916,124313204,1,1,1
87,125074764,125568820,3,3,1
88,126482452,126812052,2,2,1
89,127830700,128250948,1,1,1
90,129142504,129425408,3,2,0
91,130675072,131101932,1,1,1
92,132398480,132817712,3,3,1
93,133451372,134008040,1,1,1
94,134892600,135247740,3,3,1
95,136565404,137232252,1,1,1
96,137924892,138239304,1,1,1
97,138939896,139497960,2,2,1
98,140824600,141093724,1,2,0
99,141995284,142392548,3,3,1
100,143751212,144264692,1,1,1
101,144890296,145201904,3,2,0
102,145948532,146365856,3,3,1
103,146875484,147164864,3,3,1
104,148416532,148834256,2,2,1
105,149746952,150182940,1,1,1
106,151019588,151268708,2,2,1
107,151825320,152162180,3,3,1
108,153650888,153871752,1,1,1
