1721729696800.000,3915960
ObjShowTime,ReactionTime,StimType,Guess,Correct
56628640,57419356,2,2,1
58078784,58507328,1,1,1
59426672,59792720,3,3,1
60797088,61213852,3,3,1
62521216,62916220,3,3,1
64142584,64430776,3,3,1
65860212,66408596,1,1,1
67661024,68029560,1,1,1
69104912,69508496,3,3,1
70376896,70832616,2,2,1
71769008,72035884,2,2,1
72890232,73196240,3,3,1
74595684,75025952,1,1,1
75607312,76005656,3,3,1
77332056,77842552,2,2,1
78884944,79232436,2,2,1
80564788,80882200,3,3,1
81544636,82015952,1,1,1
82563312,82927564,3,3,1
83516004,84059176,1,1,1
85098524,85394600,3,3,1
86183044,86667708,1,1,1
87670136,88022180,1,1,1
88651608,89145228,1,1,1
89865648,90201976,1,1,1
90739364,91275068,2,2,1
91777456,92036960,2,2,1
92979312,93202272,3,3,1
94210672,94717780,2,2,1
95656136,95877508,3,3,1
96817948,97219376,1,1,1
97941736,98440236,3,3,1
99251672,99800296,1,1,1
101192680,101674864,2,2,1
102942312,103259724,3,3,1
103816264,104293552,1,1,1
105412032,105924212,2,2,1
106797724,107359936,1,1,1
108346376,108840688,3,3,1
109809172,110202292,2,2,1
110705744,111116636,3,3,1
112491088,112876936,3,3,1
113446428,113935832,2,2,1
114924268,115156408,3,3,1
115865908,116361636,2,2,1
117684152,117971376,1,1,1
119108860,119549552,2,2,1
120560080,121056268,1,1,1
122339748,122722608,2,2,1
123331096,123625044,2,2,1
124365484,124611700,3,3,1
125504152,125733684,3,3,1
126749132,127049328,3,3,1
128271812,128587540,2,2,1
129400024,129691844,2,2,1
130658332,131060800,2,2,1
131646280,131904812,2,2,1
133055288,133319764,2,2,1
134690284,135045100,1,1,1
135806536,136193916,3,2,0
137107416,137719532,2,2,1
138738056,139147480,1,1,1
140038916,140351152,3,3,1
141600688,142117784,1,2,0
143414232,143994680,3,3,1
144628208,145059480,1,1,1
145943920,146388516,3,3,1
147706044,148066544,1,1,1
148759052,149115464,1,1,1
149815936,150252540,2,2,1
151579068,151993404,1,1,1
152894844,153257228,3,3,1
154615756,155257564,1,1,1
155883004,156365568,3,3,1
157112024,157445960,3,3,1
157955408,158239920,3,3,1
159491416,159778248,2,2,1
160690764,161114312,1,1,1
161950796,162258484,2,2,1
162814928,163195860,3,3,1
164684400,165053604,1,1,1
165591092,166007240,2,2,1
167099760,167440064,1,1,1
168118588,168596224,1,1,1
169473664,169756164,3,2,0
170426616,171066812,3,3,1
172510268,173095052,3,3,1
173678496,173957356,3,3,1
175006856,175472920,2,2,1
176260364,176701108,3,3,1
177298568,177599716,3,3,1
178823248,179296308,1,1,1
180140748,180575904,3,3,1
181208436,181743656,1,1,1
182329172,182671340,1,1,1
183199876,183468164,1,1,1
184486612,184823816,3,3,1
185372344,185845252,1,1,1
186426764,186729652,1,1,1
187991168,188449300,1,1,1
189824824,190267004,1,1,1
190849516,191152388,1,1,1
192382820,192705176,3,3,1
193688704,194204464,1,1,1
