1726154136.000,3130224
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8384180,8589812,1,1,1
2,9396164,9958444,2,2,1
3,11325812,11557432,2,2,1
4,13054888,13252448,2,2,1
5,14131868,14402920,3,3,1
6,15644352,15879568,3,2,0
7,16718096,17132600,1,2,0
8,18155100,18600344,1,1,1
9,19202804,19530424,2,2,1
10,20786844,21290444,3,3,1
11,21856976,22101676,2,1,0
12,22743236,23366068,1,1,1
13,23917572,24172656,2,2,1
14,24879128,25084328,3,3,1
15,25821812,26182552,3,3,1
16,26770120,27818380,1,1,1
17,29157844,29518148,3,3,1
18,30586712,30940752,1,1,1
19,32011220,32310280,3,3,1
20,33378836,33701780,1,1,1
21,34781292,35074992,2,2,1
22,36221468,36461012,3,3,1
23,37205568,37406040,1,1,1
24,38795508,39249352,3,3,1
25,40200836,40464168,3,3,1
26,41575696,41738028,2,1,0
27,42300548,42845468,2,2,1
28,44309980,44500764,2,2,1
29,45014280,45271928,2,2,1
30,46229452,46476776,2,2,1
31,46981288,47183024,2,2,1
32,48264500,48669080,3,3,1
33,49318564,49495764,3,3,1
34,50488328,50741840,1,3,0
35,51582380,52081236,1,1,1
36,53066696,53654452,3,3,1
37,54983948,55335624,3,3,1
38,56062196,56337612,1,2,0
39,57216128,57555156,2,2,1
40,58852664,59385772,2,2,1
41,60118252,60527736,3,3,1
42,61390268,61844376,2,2,1
43,63082932,63402432,1,2,0
44,64136980,64412892,1,1,1
45,65065396,65928696,2,2,1
46,66955248,67451824,1,1,1
47,68763296,69159928,3,3,1
48,70478456,70818976,2,2,1
49,71329488,71603252,2,2,1
50,72564768,72842336,2,2,1
51,73946804,74382240,3,3,1
52,75027808,75262940,1,1,1
53,75893496,76211816,1,1,1
54,77071280,77702232,3,3,1
55,78656800,78861048,1,1,1
56,79476508,79749320,3,3,1
57,80899844,81230356,2,2,1
58,82221908,82466020,1,2,0
59,83314560,83593356,1,1,1
60,84687912,85031104,1,1,1
61,85905652,86193880,1,1,1
62,87229340,87611460,3,3,1
63,88251032,88656012,1,1,1
64,89919568,90270800,1,1,1
65,91290348,91522920,1,1,1
66,93018388,93325116,3,3,1
67,94038612,94355184,3,3,1
68,95198720,95821296,2,2,1
69,97136768,97390924,3,2,0
70,97895452,98242424,2,2,1
71,99697916,100147192,3,3,1
72,100798816,101313252,1,1,1
73,102785844,103128972,2,2,1
74,104103580,104431976,2,2,1
75,105886532,106269784,3,3,1
76,107601404,107929672,2,3,0
77,109029268,109636704,2,2,1
78,110900272,111301808,3,3,1
79,111912428,112277528,2,2,1
80,112956092,113335680,3,3,1
81,113894300,114153712,2,2,1
82,114867280,115315944,3,3,1
83,116002524,116429420,3,3,1
84,117611996,117856748,3,3,1
85,119146408,119689476,1,1,1
86,120865068,121181336,2,2,1
87,122286892,122475532,3,3,1
88,123546112,123995932,3,3,1
89,125098556,125591252,2,2,1
90,127073900,127321720,1,1,1
91,127846352,128213860,1,1,1
92,129122464,129649236,2,2,1
93,131147884,131557012,1,2,0
94,132419568,132899804,3,3,1
95,133991468,134265916,1,1,1
96,135171544,135521732,1,1,1
97,136837288,137458924,3,3,1
98,138204540,138931672,2,2,1
99,139697280,140013064,2,2,1
100,141125712,141688504,1,1,1
101,142225184,142468132,1,1,1
102,143728740,144232148,3,3,1
103,145238816,145485816,2,2,1
104,146984432,147379820,3,3,1
105,148315448,148611188,3,3,1
106,149813852,150097624,2,2,1
107,151189316,151466920,1,1,1
108,152827612,153123368,1,1,1
109,154226964,154532216,3,3,1
110,155992920,156280496,1,1,1
111,157687092,158282432,3,3,1
