1727095699.000,3481316
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8735296,9176672,1,1,1
2,9760076,10024736,1,1,1
3,10696188,10950312,1,1,1
4,11493812,11741352,1,1,1
5,12860808,13355260,2,2,1
6,14051760,14291168,1,1,1
7,15433592,15865276,3,3,1
8,16770720,17035276,3,3,1
9,17745716,17974244,3,3,1
10,18612772,19184384,1,1,1
11,20340928,20582120,1,1,1
12,21888664,22150600,1,1,1
13,23341148,23599128,1,1,1
14,24353676,24581016,1,1,1
15,25111520,25377644,2,2,1
16,26658196,27037700,1,1,1
17,28389196,28714480,2,2,1
18,29862996,30291612,2,2,1
19,30834128,31198572,2,2,1
20,32066040,32562864,3,3,1
21,33512424,33937448,1,1,1
22,35033908,35523544,3,3,1
23,36860120,37125328,1,1,1
24,38165788,38695284,3,3,1
25,39763808,40204140,2,2,1
26,40967692,41216148,1,1,1
27,42292616,42677852,3,3,1
28,43611372,43838000,2,2,1
29,45300552,45584096,1,1,1
30,46248636,46618216,1,1,1
31,47137748,47406136,1,1,1
32,48749608,49197224,3,3,1
33,50249712,50520892,3,3,1
34,51274388,51525716,3,3,1
35,52818236,53494468,2,1,0
36,54234932,54799300,3,3,1
37,56278796,56721932,3,3,1
38,58135464,58723152,2,2,1
39,59353664,59637216,2,2,1
40,60716764,61243868,1,1,1
41,62582376,62961464,2,2,1
42,63757972,64018592,2,2,1
43,64978116,65199996,2,2,1
44,66566512,66771044,2,2,1
45,67512564,67734668,2,2,1
46,69184184,69447772,2,2,1
47,70004244,70300264,3,3,1
48,70808764,71084564,3,3,1
49,72468124,72727976,1,1,1
50,73827528,74064924,1,1,1
51,75120468,75365552,1,1,1
52,76277104,76455376,1,1,1
53,77485888,77772196,2,2,1
54,79123684,79436784,3,3,1
55,80364284,80619672,3,3,1
56,81854232,82251916,1,1,1
57,83404464,83691468,1,1,1
58,84918944,85223724,3,2,0
59,86201236,86657504,2,1,0
60,87817056,88315400,1,1,1
61,89120912,89476900,2,2,1
62,90235376,90592652,3,3,1
63,91895176,92188344,2,2,1
64,93205900,93419536,1,1,1
65,94295996,94745092,3,3,1
66,95894664,96233796,1,2,0
67,97086340,97392820,1,1,1
68,98215292,98796092,3,3,1
69,99981580,100576496,3,3,1
70,102059080,102386108,2,2,1
71,103291756,103637200,1,1,1
72,104266844,104547648,1,1,1
73,105155284,105365840,1,1,1
74,106159436,106554440,2,2,1
75,108019084,108249336,1,1,1
76,109268976,109501268,1,1,1
77,110364908,110575888,1,1,1
78,111264484,111520880,2,3,0
79,112587516,112830160,1,2,0
80,113704756,114267068,2,2,1
81,115531636,115912724,3,3,1
82,117314376,118453404,1,1,1
83,119622996,120082380,2,2,1
84,120902952,121529644,3,3,1
85,122253264,122613420,2,2,1
86,123360024,123639828,2,2,1
87,124783464,125175664,1,1,1
88,126132236,126775724,3,3,1
89,127450388,127837264,1,2,0
90,128523892,128950556,1,1,1
91,129994180,130254068,1,1,1
92,131341628,131659140,3,2,0
93,132752792,133147948,1,1,1
94,133663540,134534940,2,2,1
95,135042548,135410192,2,2,1
96,136614752,137130400,3,2,0
97,138377052,138619068,1,2,0
98,139932700,140213492,1,2,0
99,141491052,142222416,3,3,1
100,143695044,144246296,2,2,1
101,145043900,145501952,3,3,1
102,146782624,147078556,2,2,1
103,148333208,148597916,2,2,1
104,149277600,149607688,1,1,1
105,150744372,150975952,1,1,1
106,151503596,151837216,2,2,1
107,152893900,153302028,1,1,1
108,154252712,154512812,1,1,1
109,155164488,155403228,1,1,1
110,156439876,157141616,2,2,1
111,158298304,158585520,1,1,1
