11729688336.000,3686856
ObjShowTime,ReactionTime,StimType,Guess,Correct
64405152,64875732,2,2,1
65462080,65930484,3,3,1
67182848,67534940,3,3,1
68911304,69273956,3,3,1
70526324,70833544,3,3,1
72284908,72592572,3,3,1
73716936,74008988,3,3,1
75285428,75787808,1,2,0
76528196,77210564,2,2,1
78121920,78559288,3,3,1
79389688,79813808,2,2,1
80616196,80893972,2,2,1
82303364,82615120,2,2,1
83239552,83564608,1,1,1
84315036,84580168,1,1,1
86053592,86348768,1,1,1
86990156,87486000,2,2,1
88630356,89153672,3,3,1
89842112,90448568,1,2,0
91075996,91393576,1,1,1
92608928,93130872,3,2,0
93837308,94230904,1,1,1
95510256,96080192,3,2,0
97296596,97969408,2,2,1
98911840,99258512,1,1,1
100465864,100741432,3,3,1
101266968,101822116,1,2,0
102609556,103390984,3,3,1
104163520,104796924,1,1,1
105966444,106508168,1,1,1
107572652,108015052,2,2,1
108935488,109385292,3,3,1
109957740,110264488,3,3,1
111714016,112204216,1,1,1
112749744,113148088,1,1,1
114488528,114820372,3,2,0
115328816,115670340,3,3,1
117036792,117399596,3,3,1
118379088,118889620,2,2,1
119632064,120182016,3,3,1
121126464,121431320,3,3,1
122248768,122483552,3,3,1
123442008,123774928,3,3,1
124402464,124937048,1,1,1
125628500,126294712,3,1,0
127172160,127767972,3,3,1
128956472,129594516,2,2,1
130849964,131238812,3,3,1
132712308,133240528,2,2,1
134382968,134627728,3,3,1
135671260,136169164,1,1,1
136870600,137328464,3,3,1
138045996,138730548,1,1,1
139724036,140359448,2,2,1
141615964,141963284,1,1,1
142696796,143104368,1,1,1
144211840,144628844,2,2,1
145261280,145673168,3,3,1
146805656,147266232,2,2,1
148038720,148362816,2,2,1
148947296,149214128,2,2,1
150075580,150437344,3,3,1
151372840,151675580,2,2,1
152957068,153214388,2,2,1
154435916,154929884,1,1,1
156172328,157105756,3,3,1
158513288,159125324,1,1,1
159958764,160401548,3,3,1
161473000,161834560,3,3,1
162473056,163000428,2,2,1
163880952,164377488,1,1,1
165326020,165601996,1,1,1
166813436,167146180,3,3,1
168161668,168473444,2,2,1
169128920,169428420,2,2,1
170083936,170410560,1,1,1
171806036,172239016,2,2,1
172748496,173064580,2,2,1
173881096,174176048,1,1,1
174682564,174983988,1,1,1
176402468,176855176,2,2,1
177783612,178142596,3,3,1
178753088,179016108,2,2,1
180030632,180256672,1,1,1
181007196,181386612,1,1,1
182572128,182951264,1,1,1
184429784,184651928,1,1,1
185314372,185728460,3,2,0
187068912,187334196,3,3,1
188705648,189002180,3,3,1
190050676,190577512,2,2,1
191536964,191972316,3,3,1
193121852,193488744,1,1,1
194216196,194952740,3,3,1
195606192,195909176,3,3,1
196456708,196784500,1,2,0
197968020,198226912,1,2,0
199660360,200053636,3,3,1
200682128,201045412,2,1,0
202474896,202903884,2,2,1
204336412,204757644,1,1,1
205892124,206547704,2,2,1
207424140,207973872,3,3,1
208821332,209199216,3,3,1
210341752,210645196,1,2,0
211263672,211791524,2,1,0
212670040,213544784,1,1,1
214807296,215221448,1,1,1
216020924,216571640,2,2,1
217116156,217575216,1,1,1
218838688,219578788,2,2,1
220365268,220707864,2,2,1
221742316,222131144,3,3,1
223555692,224135868,1,2,0
225084384,225550212,1,2,0
226473736,226945208,1,1,1
