ObjShowTime,ReactionTime,StimType,Guess,Correct
1728946334743.364,1728946335159.668,3,3,1
1728946336480.1082,1728946336843.412,1,1,1
1728946337891.848,1728946338190.604,1,1,1
1728946339090.008,1728946339445.272,2,2,1
1728946340153.668,1728946340486.572,2,2,1
1728946341939.928,1728946342242.092,3,3,1
1728946342994.456,1728946343380.26,3,3,1
1728946344487.624,1728946344862.508,3,3,1
1728946345403.872,1728946345728.208,3,3,1
1728946347017.572,1728946347402.188,3,3,1
1728946348418.548,1728946348824.0242,3,3,1
1728946350276.4202,1728946350552.1,2,2,1
1728946351068.452,1728946351389.116,3,3,1
1728946351900.552,1728946352304.26,1,1,1
1728946352847.684,1728946353124.3682,1,1,1
1728946353754.752,1728946354084.064,2,2,1
1728946354879.4202,1728946355155.228,3,3,1
1728946355685.632,1728946356359.58,2,2,1
1728946357125.976,1728946357405.268,2,2,1
1728946358313.656,1728946358635.068,2,2,1
1728946360079.464,1728946360422.8682,2,2,1
1728946361633.268,1728946361935.432,2,2,1
1728946362640.828,1728946362892.812,2,2,1
1728946363566.236,1728946363930.892,1,1,1
1728946364479.324,1728946364765.0,1,1,1
1728946365558.34,1728946366041.468,3,3,1
1728946366713.828,1728946366972.6802,3,3,1
1728946367738.04,1728946368025.756,3,3,1
1728946368717.124,1728946369040.792,3,3,1
1728946370241.228,1728946370655.82,1,1,1
1728946371757.248,1728946372010.664,1,1,1
1728946373221.048,1728946373474.1802,2,2,1
1728946374557.528,1728946374904.6082,3,3,1
1728946375911.012,1728946376382.772,2,2,1
1728946377838.2122,1728946378181.0562,1,1,1
1728946378682.4,1728946379011.0242,3,3,1
1728946380174.4202,1728946380439.38,2,2,1
1728946381249.768,1728946381567.752,2,2,1
1728946382863.188,1728946383475.244,3,3,1
1728946384580.744,1728946385067.652,2,2,1
1728946386124.136,1728946386378.536,2,2,1
1728946387249.052,1728946387480.0562,1,2,0
1728946388282.488,1728946388584.7322,3,3,1
1728946389317.272,1728946389784.684,1,1,1
1728946390385.132,1728946390779.62,3,3,1
1728946391617.0762,1728946392052.904,3,3,1
1728946393050.4402,1728946393375.1802,1,1,1
1728946394413.624,1728946394783.028,3,3,1
1728946395866.568,1728946396213.676,1,1,1
1728946397423.196,1728946397808.08,1,1,1
1728946399083.512,1728946399468.2322,3,3,1
1728946400043.756,1728946400379.716,1,1,1
1728946401593.2,1728946401870.4402,2,2,1
1728946402688.964,1728946403101.412,1,1,1
1728946404407.86,1728946404741.14,3,3,1
1728946405979.636,1728946406275.74,2,2,1
1728946407744.26,1728946408018.952,1,1,1
1728946408850.3882,1728946409186.272,3,3,1
1728946409743.724,1728946410077.856,3,3,1
1728946410997.312,1728946411327.64,3,3,1
1728946412082.104,1728946412387.0762,3,3,1
1728946412905.568,1728946413521.26,2,2,1
1728946414040.776,1728946414344.936,1,1,1
1728946415645.456,1728946416012.1082,1,1,1
1728946417184.54,1728946417465.708,3,2,0
1728946418922.192,1728946419538.48,2,2,1
1728946420982.916,1728946421276.88,3,3,1
1728946422118.34,1728946422409.82,3,3,1
1728946423420.312,1728946423674.036,2,2,1
1728946424801.488,1728946425061.612,3,2,0
1728946426042.064,1728946426413.56,3,3,1
1728946427237.084,1728946427505.064,1,2,0
1728946428308.58,1728946428881.624,1,1,1
1728946429957.0562,1728946430280.96,3,3,1
1728946431432.4922,1728946431809.684,1,1,1
1728946432807.156,1728946433105.676,2,2,1
1728946433995.124,1728946434306.224,3,3,1
1728946435177.756,1728946435504.88,1,1,1
1728946436155.324,1728946436463.404,3,3,1
1728946437519.944,1728946437884.324,1,1,1
1728946439034.796,1728946439289.988,2,2,1
1728946440584.428,1728946441017.916,3,3,1
1728946442378.448,1728946442679.468,1,1,1
1728946443416.956,1728946443741.048,2,2,1
1728946444397.488,1728946444668.332,3,3,1
1728946445478.82,1728946446114.256,2,2,1
1728946446682.736,1728946447569.84,2,2,1
1728946448300.276,1728946448776.52,3,3,1
1728946450223.008,1728946450658.2,2,2,1
1728946451472.676,1728946451736.1,2,2,1
1728946452338.54,1728946452687.528,3,3,1
1728946453718.976,1728946454232.384,3,3,1
1728946454869.828,1728946455127.2842,3,3,1
1728946456050.744,1728946456326.56,3,3,1
1728946457209.048,1728946457481.1602,2,2,1
1728946458625.644,1728946458943.6802,2,2,1
1728946460016.132,1728946460201.652,3,3,1
1728946461166.152,1728946461430.132,2,2,1
1728946462873.6082,1728946463210.164,2,2,1
1728946463948.684,1728946464295.6282,1,1,1
1728946465403.068,1728946465793.464,3,3,1
1728946466353.988,1728946466766.12,1,1,1
1728946468252.644,1728946468560.06,1,1,1
1728946469453.544,1728946469733.852,2,2,1
1728946470250.328,1728946470493.464,2,2,1
