1728921084.000,3404232
ObjShowTime,ReactionTime,StimType,Guess,Correct
54147596,54563900,3,3,1
55884340,56247644,1,1,1
57296080,57594836,1,1,1
58494240,58849504,2,2,1
59557900,59890804,2,2,1
61344160,61646324,3,3,1
62398688,62784492,3,3,1
63891856,64266740,3,3,1
64808104,65132440,3,3,1
66421804,66806420,3,3,1
67822780,68228256,3,3,1
69680652,69956332,2,2,1
70472684,70793348,3,3,1
71304784,71708492,1,1,1
72251916,72528600,1,1,1
73158984,73488296,2,2,1
74283652,74559460,3,3,1
75089864,75763812,2,2,1
76530208,76809500,2,2,1
77717888,78039300,2,2,1
79483696,79827100,2,2,1
81037500,81339664,2,2,1
82045060,82297044,2,2,1
82970468,83335124,1,1,1
83883556,84169232,1,1,1
84962572,85445700,3,3,1
86118060,86376912,3,3,1
87142272,87429988,3,3,1
88121356,88445024,3,3,1
89645460,90060052,1,1,1
91161480,91414896,1,1,1
92625280,92878412,2,2,1
93961760,94308840,3,3,1
95315244,95787004,2,2,1
97242444,97585288,1,1,1
98086632,98415256,3,3,1
99578652,99843612,2,2,1
100654000,100971984,2,2,1
102267420,102879476,3,3,1
103984976,104471884,2,2,1
105528368,105782768,2,2,1
106653284,106884288,1,2,0
107686720,107988964,3,3,1
108721504,109188916,1,1,1
109789364,110183852,3,3,1
111021308,111457136,3,3,1
112454672,112779412,1,1,1
113817856,114187260,3,3,1
115270800,115617908,1,1,1
116827428,117212312,1,1,1
118487744,118872464,3,3,1
119447988,119783948,1,1,1
120997432,121274672,2,2,1
122093196,122505644,1,1,1
123812092,124145372,3,3,1
125383868,125679972,2,2,1
127148492,127423184,1,1,1
128254620,128590504,3,3,1
129147956,129482088,3,3,1
130401544,130731872,3,3,1
131486336,131791308,3,3,1
132309800,132925492,2,2,1
133445008,133749168,1,1,1
135049688,135416340,1,1,1
136588772,136869940,3,2,0
138326424,138942712,2,2,1
140387148,140681112,3,3,1
141522572,141814052,3,3,1
142824544,143078268,2,2,1
144205720,144465844,3,2,0
145446296,145817792,3,3,1
146641316,146909296,1,2,0
147712812,148285856,1,1,1
149361288,149685192,3,3,1
150836724,151213916,1,1,1
152211388,152509908,2,2,1
153399356,153710456,3,3,1
154581988,154909112,1,1,1
155559556,155867636,3,3,1
156924176,157288556,1,1,1
158439028,158694220,2,2,1
159988660,160422148,3,3,1
161782680,162083700,1,1,1
162821188,163145280,2,2,1
163801720,164072564,3,3,1
164883052,165518488,2,2,1
166086968,166974072,2,2,1
167704508,168180752,3,3,1
169627240,170062432,2,2,1
170876908,171140332,2,2,1
171742772,172091760,3,3,1
173123208,173636616,3,3,1
174274060,174531516,3,3,1
175454976,175730792,3,3,1
176613280,176885392,2,2,1
178029876,178347912,2,2,1
179420364,179605884,3,3,1
180570384,180834364,2,2,1
182277840,182614396,2,2,1
183352916,183699860,1,1,1
184807300,185197696,3,3,1
185758220,186170352,1,1,1
187656876,187964292,1,1,1
188857776,189138084,2,2,1
189654560,189897696,2,2,1
