ObjShowTime,ReactionTime,StimType,Guess,Correct
1731739996069519.2,1731739996070180.0,1,1,1
1731739996071044.2,1731739996071632.5,3,3,1
1731739996072221.0,1731739996072725.0,2,2,1
1731739996074096.2,1731739996074750.2,3,3,1
1731739996077427.8,1731739996078176.2,3,3,1
1731739996079206.8,1731739996079666.2,2,2,1
1731739996080268.5,1731739996081059.8,3,3,1
1731739996081580.2,1731739996082079.5,3,3,1
1731739996082776.0,1731739996083374.0,1,1,1
1731739996084707.2,1731739996085088.0,1,1,1
1731739996086443.5,1731739996087180.2,2,2,1
1731739996087767.5,1731739996088411.0,3,3,1
1731739996089664.5,1731739996090163.5,2,2,1
1731739996091041.8,1731739996091583.5,3,3,1
1731739996092385.0,1731739996092770.5,3,3,1
1731739996094241.8,1731739996094692.5,2,2,1
1731739996095400.0,1731739996095730.2,2,2,1
1731739996096995.8,1731739996097308.0,2,2,1
1731739996098227.5,1731739996098778.5,1,1,1
1731739996100211.0,1731739996100580.8,1,1,1
1731739996101280.0,1731739996101864.0,3,3,1
1731739996103363.5,1731739996104015.0,2,2,1
1731739996104535.5,1731739996105067.0,1,1,1
1731739996107471.2,1731739996108287.2,2,2,1
1731739996109233.8,1731739996109785.5,3,3,1
1731739996110849.0,1731739996111216.8,3,3,1
1731739996112573.2,1731739996112901.5,3,3,1
1731739996116433.0,1731739996116929.5,2,2,1
1731739996118162.0,1731739996118648.5,2,2,1
1731739996119802.0,1731739996120461.8,3,3,1
1731739996121489.0,1731739996121949.8,3,3,1
1731739996123097.2,1731739996123451.5,3,3,1
1731739996124555.8,1731739996124947.0,3,3,1
1731739996126182.5,1731739996126509.8,1,1,1
1731739996127671.2,1731739996128056.2,1,1,1
1731739996129552.5,1731739996130145.8,2,2,1
1731739996131063.2,1731739996131340.2,2,2,1
1731739996132177.8,1731739996132799.5,1,1,1
1731739996133691.8,1731739996134157.2,2,2,1
1731739996135396.8,1731739996135834.2,2,2,1
1731739996136805.8,1731739996137076.5,2,2,1
1731739996138023.0,1731739996138551.8,3,3,1
1731739996139607.2,1731739996140228.2,2,2,1
1731739996141152.8,1731739996141472.5,1,1,1
1731739996142362.0,1731739996142735.5,2,2,1
1731739996143820.0,1731739996144244.8,3,3,1
1731739996145228.5,1731739996145949.0,1,1,1
1731739996147223.5,1731739996147606.5,1,1,1
1731739996148763.0,1731739996149079.5,1,1,1
1731739996150227.2,1731739996150621.0,1,1,1
1731739996152058.5,1731739996152682.8,3,3,1
1731739996153569.2,1731739996153931.8,3,3,1
1731739996154797.2,1731739996155420.8,1,1,1
1731739996156763.2,1731739996157433.8,3,3,1
1731739996158551.2,1731739996158953.2,1,1,1
1731739996159578.5,1731739996160076.0,3,3,1
1731739996161085.2,1731739996161428.0,2,2,1
1731739996162074.5,1731739996162399.5,2,2,1
1731739996163321.8,1731739996163927.5,3,3,1
1731739996165403.8,1731739996165837.5,3,3,1
1731739996167251.0,1731739996168066.0,1,1,1
1731739996169081.2,1731739996169615.8,2,2,1
1731739996170878.0,1731739996171318.0,3,3,1
1731739996172330.5,1731739996173118.5,1,1,1
1731739996173778.8,1731739996174413.2,2,2,1
1731739996177899.0,1731739996178553.8,3,3,1
1731739996179121.2,1731739996179562.8,1,1,1
1731739996180640.2,1731739996181229.2,2,2,1
1731739996182063.8,1731739996182861.0,1,1,1
1731739996183601.5,1731739996183994.5,1,1,1
1731739996184891.0,1731739996185295.2,1,1,1
1731739996186357.8,1731739996186880.8,2,2,1
1731739996190467.8,1731739996191000.8,2,2,1
1731739996192180.2,1731739996192747.5,3,3,1
1731739996196180.5,1731739996196862.8,3,3,1
1731739996197714.2,1731739996198196.0,1,1,1
1731739996199056.5,1731739996199442.5,1,1,1
1731739996200571.0,1731739996201442.2,2,2,1
1731739996202120.8,1731739996202444.2,2,2,1
1731739996203188.8,1731739996203611.0,1,1,1
1731739996204535.5,1731739996204991.8,1,1,1
1731739996205815.2,1731739996206129.0,2,2,1
1731739996206941.5,1731739996207186.5,2,2,1
1731739996208135.0,1731739996208606.8,3,3,1
1731739996209639.5,1731739996210118.0,1,1,1
1731739996211237.5,1731739996211621.8,1,1,1
1731739996212165.2,1731739996212693.2,3,3,1
1731739996213936.8,1731739996214328.5,3,3,1
1731739996215141.2,1731739996215858.8,1,1,1
1731739996217243.2,1731739996218091.0,2,2,1
1731739996219083.5,1731739996219528.5,3,3,1
1731739996220643.0,1731739996221496.5,2,2,1
1731739996222607.0,1731739996222940.2,2,2,1
1731739996223456.8,1731739996223806.5,1,1,1
1731739996224548.0,1731739996224930.0,2,2,1
1731739996226188.5,1731739996226806.0,1,1,1
1731739996227427.5,1731739996227865.2,1,1,1
1731739996229324.8,1731739996229609.2,2,2,1
