ObjShowTime,ReactionTime,StimType,Guess,Correct
11730148609188.535,11730148609791.146,1,2,0
11730148610442.5,11730148610876.84,3,3,1
11730148611571.195,11730148611951.516,3,3,1
11730148613427.951,11730148614048.492,1,2,0
11730148614922.877,11730148615258.717,2,3,0
11730148616423.111,11730148616753.604,2,2,1
11730148617434.951,11730148617865.168,3,3,1
11730148618514.535,11730148618789.668,3,2,0
11730148619797.107,11730148620278.557,1,1,1
11730148621572.984,11730148621992.48,1,1,1
11730148622600.863,11730148623029.629,2,2,1
11730148623634.02,11730148623984.328,2,2,1
11730148624607.684,11730148624949.22,3,3,1
11730148625529.664,11730148625817.207,1,1,1
11730148626964.56,11730148627377.02,3,3,1
11730148628687.377,11730148628974.676,3,2,0
11730148630366.115,11730148630933.188,1,2,0
11730148631478.545,11730148631924.703,3,3,1
11730148632997.152,11730148633345.592,1,2,0
11730148634759.977,11730148635337.004,2,2,1
11730148636101.352,11730148636428.98,3,3,1
11730148637803.416,11730148638222.08,1,2,0
11730148639151.432,11730148639406.7,3,3,1
11730148640540.14,11730148640948.188,1,2,0
11730148642021.58,11730148642575.24,2,2,1
11730148643912.672,11730148644409.824,1,1,1
11730148645581.207,11730148645875.73,2,2,1
11730148646551.088,11730148646734.48,3,3,1
11730148648095.885,11730148648460.855,2,2,1
11730148649442.344,11730148649759.012,2,1,0
11730148651050.455,11730148651390.775,3,2,0
11730148652324.229,11730148652564.104,3,3,1
11730148653292.604,11730148653660.965,2,2,1
11730148654477.492,11730148654726.145,1,1,1
11730148655951.668,11730148656232.793,1,1,1
11730148657002.271,11730148657186.646,2,2,1
11730148657952.129,11730148658290.057,2,2,1
11730148659480.584,11730148659806.352,1,2,0
11730148660864.783,11730148661237.08,3,3,1
11730148661987.615,11730148662398.527,1,1,1
11730148663660.045,11730148664128.287,1,2,0
11730148665621.81,11730148665785.14,1,2,0
11730148666645.664,11730148666806.18,1,2,0
11730148667559.695,11730148667696.314,1,2,0
11730148668350.84,11730148668514.5,1,1,1
11730148669475.988,11730148669750.5,2,2,1
11730148670800.947,11730148671103.73,3,3,1
11730148672371.217,11730148672556.398,2,2,1
11730148673557.916,11730148673703.94,1,2,0
11730148674363.465,11730148674557.465,1,1,1
11730148675593.984,11730148675809.389,1,2,0
11730148676438.855,11730148676598.848,2,1,0
11730148677525.293,11730148677826.023,3,3,1
11730148678861.52,11730148679459.688,2,2,1
11730148680785.207,11730148680960.057,1,1,1
11730148681962.54,11730148682345.008,2,2,1
11730148683472.523,11730148683855.871,1,2,0
11730148683472.523,11730148685350.072,1,1,1
11730148686097.512,11730148686924.504,3,3,1
11730148687631.951,11730148687887.82,3,2,0
11730148687631.951,11730148688990.027,3,3,1
11730148690290.465,11730148690672.645,3,2,0
11730148691982.145,11730148692209.97,2,3,0
11730148693602.5,11730148693935.52,1,1,1
11730148694967.035,11730148695230.877,1,1,1
11730148696242.314,11730148696732.848,3,2,0
11730148697690.3,11730148697972.203,3,2,0
11730148698749.688,11730148699263.63,2,2,1
11730148700120.076,11730148700386.68,3,2,0
11730148701131.129,11730148701189.195,3,3,1
11730148702329.725,11730148702832.756,1,1,1
11730148704170.195,11730148704623.008,3,3,1
11730148705379.465,11730148705618.664,3,2,0
11730148706668.111,11730148706950.195,3,3,1
11730148707667.645,11730148707934.484,3,3,1
11730148709314.932,11730148709545.275,3,3,1
11730148710801.809,11730148710963.848,1,3,0
11730148711788.324,11730148712219.81,2,2,1
11730148713096.26,11730148713511.78,3,3,1
11730148714441.275,11730148714894.98,2,2,1
11730148715448.504,11730148715837.805,1,1,1
11730148717025.324,11730148717290.55,1,1,1
11730148718641.98,11730148719136.396,3,2,0
11730148720249.924,11730148720726.729,1,1,1
11730148722009.207,11730148722574.793,2,2,1
11730148723586.24,11730148723981.523,3,3,1
11730148724508.05,11730148724794.72,1,1,1
11730148725344.2,11730148725684.992,2,2,1
11730148726334.52,11730148726831.05,1,1,1
11730148727426.54,11730148727791.049,2,2,1
11730148728436.572,11730148728617.508,1,1,1
11730148729920.943,11730148730087.871,3,2,0
11730148730840.324,11730148731020.867,3,3,1
11730148731898.314,11730148732238.725,3,3,1
11730148733464.21,11730148733650.26,2,3,0
11730148734930.783,11730148735399.7,1,1,1
11730148736575.172,11730148736945.691,2,1,0
11730148738018.13,11730148738319.928,3,3,1
11730148739802.42,11730148739990.309,2,1,0
11730148741119.793,11730148741391.523,2,2,1
11730148742476.008,11730148742798.44,2,2,1
11730148743473.92,11730148743633.928,2,2,1
11730148745101.424,11730148745279.965,2,2,1
11730148746547.447,11730148746701.81,2,2,1
11730148747366.336,11730148747534.7,1,2,0
11730148748730.184,11730148748951.96,2,2,1
11730148749763.488,11730148750253.02,1,1,1
11730148751062.535,11730148751300.408,1,2,0
11730148752276.852,11730148752601.492,3,2,0
11730148753671.98,11730148754183.756,2,2,1
11730148755026.2,11730148756049.56,3,3,1
11730148756792.1,11730148757265.512,1,2,0
11730148758039.992,11730148758570.035,2,2,1
11730148759418.477,11730148759587.94,3,3,1
11730148760508.47,11730148760661.72,1,1,1
11730148761216.164,11730148761367.225,3,2,0
11730148762281.752,11730148762548.465,1,1,1
11730148763960.97,11730148764379.229,1,2,0
11730148765050.668,11730148765381.225,3,3,1
11730148766131.668,11730148766394.584,3,2,0
11730148767439.08,11730148767854.293,2,2,1
11730148769236.73,11730148769668.527,3,3,1
11730148770431.023,11730148770788.568,2,2,1
11730148771638.049,11730148771818.26,2,1,0
