ObjShowTime,ReactionTime,StimType,Guess,Correct
1740683795452.252,1740683796225.884,3,3,1
1740683797331.324,1740683798308.3882,1,1,1
1740683799229.8162,1740683799764.4202,1,1,1
1740683801233.848,1740683801691.7842,1,1,1
1740683802676.172,1740683803713.272,2,2,1
1740683805005.664,1740683805509.124,2,2,1
1740683806587.568,1740683807157.988,1,1,1
1740683807819.3882,1740683808274.892,2,2,1
1740683809611.324,1740683810088.82,1,1,1
1740683810651.2122,1740683811102.544,2,2,1
1740683811750.936,1740683812151.5762,2,2,1
1740683814165.5242,1740683814859.236,2,2,1
1740683816184.676,1740683816802.296,1,1,1
1740683817724.728,1740683818257.736,1,1,1
1740683819247.092,1740683819857.772,3,3,1
1740683820684.216,1740683821302.848,1,1,1
1740683822753.276,1740683823273.616,1,1,1
1740683824699.96,1740683825441.6282,3,3,1
1740683826662.992,1740683827099.4402,3,3,1
1740683827777.88,1740683828710.6602,1,1,1
1740683829527.052,1740683830154.272,2,2,1
1740683831138.624,1740683831637.64,3,3,1
1740683832538.04,1740683833249.58,2,2,1
1740683833759.012,1740683834252.0,1,1,1
1740683835532.392,1740683836546.348,2,2,1
1740683837148.752,1740683837596.184,3,3,1
1740683838728.72,1740683839312.696,1,1,1
1740683840463.1802,1740683841245.788,2,2,1
1740683842195.3162,1740683843013.924,1,1,1
1740683843937.404,1740683844431.12,2,2,1
1740683845719.552,1740683846156.304,3,3,1
1740683851176.352,1740683851656.2,3,3,1
1740683852227.644,1740683852584.772,3,3,1
1740683853189.22,1740683853602.584,3,3,1
1740683854406.028,1740683854937.1282,3,3,1
1740683855493.584,1740683856072.36,3,3,1
1740683857266.856,1740683857783.14,2,2,1
1740683859056.584,1740683859705.428,3,3,1
1740683860654.96,1740683861298.804,1,1,1
1740683862180.3162,1740683862532.6602,1,1,1
1740683863281.104,1740683863886.156,3,3,1
1740683865340.6082,1740683865720.984,3,3,1
1740683867144.512,1740683867674.072,1,1,1
1740683868712.596,1740683869038.244,1,1,1
1740683869860.6802,1740683870507.328,3,3,1
1740683871302.856,1740683872084.416,1,1,1
1740683873432.9402,1740683873866.58,1,1,1
1740683875043.1082,1740683875428.176,1,1,1
1740683876575.688,1740683876876.8,1,1,1
1740683877823.288,1740683878870.956,2,2,1
1740683880181.48,1740683880847.704,1,1,1
1740683881692.1802,1740683882090.752,2,2,1
1740683883321.272,1740683883703.544,1,1,1
1740683884585.988,1740683884983.008,3,3,1
1740683885994.46,1740683886421.312,3,3,1
1740683887734.772,1740683888048.724,3,3,1
1740683889479.216,1740683890407.796,2,2,1
1740683891195.3162,1740683891735.968,1,1,1
1740683892487.452,1740683893179.804,2,2,1
1740683894189.324,1740683895112.844,1,1,1
1740683896197.356,1740683896623.936,1,1,1
1740683897886.376,1740683898765.56,3,3,1
1740683899815.012,1740683900702.736,3,3,1
1740683901499.196,1740683901919.164,3,3,1
1740683903349.616,1740683903777.996,3,3,1
1740683904463.46,1740683904819.568,3,3,1
1740683905903.016,1740683906402.564,3,3,1
1740683907259.0562,1740683907837.208,2,2,1
1740683908450.644,1740683908866.196,3,3,1
1740683910121.724,1740683910673.744,1,1,1
1740683911789.188,1740683912712.008,3,3,1
1740683913618.496,1740683914172.72,2,2,1
1740683915178.244,1740683915715.204,1,1,1
1740683916468.676,1740683916913.6,2,2,1
1740683918312.084,1740683919157.9722,2,2,1
1740683919756.492,1740683920303.392,1,1,1
1740683924207.7322,1740683924640.8362,3,3,1
1740683925265.372,1740683926330.864,1,1,1
1740683926966.308,1740683927496.072,3,3,1
1740683928731.5242,1740683929270.072,3,3,1
1740683930198.564,1740683930840.928,2,2,1
1740683932027.444,1740683932440.932,1,1,1
1740683933917.3682,1740683934886.5562,3,3,1
1740683935941.0,1740683936474.968,3,3,1
1740683939238.24,1740683940145.256,3,3,1
1740683940650.792,1740683941489.684,1,1,1
1740683942930.208,1740683943306.308,1,1,1
1740683944133.792,1740683945076.78,2,2,1
1740683946350.308,1740683946966.116,1,1,1
1740683947669.62,1740683948124.168,1,1,1
1740683949418.688,1740683949799.616,1,1,1
1740683951157.092,1740683951902.192,2,2,1
1740683953020.72,1740683953510.1602,1,1,1
1740683954189.672,1740683954568.584,1,1,1
1740683955453.096,1740683955837.892,1,1,1
1740683956855.412,1740683957442.652,1,1,1
1740683958048.164,1740683958362.592,1,1,1
1740683959035.028,1740683959996.444,3,3,1
1740683960623.944,1740683961386.952,2,2,1
