onTime,StimType,Guess,Correct
1746814334.000,6204784
ObjShowTime,ReactionTime,StimType,Guess,Correct
81891260,83369380,2,2,1
84521768,85026768,2,2,1
86455124,86934424,3,3,1
87544792,88012736,3,3,1
88832108,89603060,3,3,1
90152504,90690624,1,2,0
92088052,92657156,1,1,1
93270508,93824480,3,3,1
95001844,95452724,3,3,1
95987088,96371540,3,3,1
97564948,98649348,2,1,0
99589780,100142088,1,1,1
100665476,101104952,3,3,1
102382440,103004728,2,2,1
103938176,104417856,3,3,1
105240388,105809092,1,1,1
107089568,107620884,2,2,1
108771368,109396000,2,2,1
110823484,111422452,2,2,1
112033984,112599616,1,1,1
113801124,114188932,1,1,1
115133456,115576172,1,1,1
116686608,117241572,3,3,1
118333068,119193984,2,3,0
120538468,121159008,2,2,1
122563452,122964568,3,3,1
123588020,124033628,3,3,1
125182120,125646168,2,2,1
126331612,126713884,3,3,1
127687412,128532556,1,1,1
129624996,130220828,3,3,1
131190320,131661932,2,1,0
132780408,133254800,2,3,0
134611280,135520744,2,2,1
136527220,136998716,2,2,1
137875152,138358364,3,3,1
139530848,140271756,2,2,1
141234200,141635600,3,3,1
142427124,143046120,1,1,1
144198632,144635508,1,1,1
146038036,146435780,1,1,1
146942300,147317088,1,1,1
148030616,148374968,1,1,1
149453484,149779928,1,1,1
150565364,151126976,3,3,1
151872520,152699032,1,1,1
153235508,153877696,2,2,1
155327180,155936496,2,2,1
156532024,157057200,1,1,1
157832644,158384524,3,3,1
159290012,161206488,2,2,1
162207936,162682324,3,3,1
163533772,164074232,3,3,1
165355684,165698272,3,3,1
166925804,167560528,1,1,1
168750040,169148368,1,1,1
170550884,170981024,1,1,1
171490548,171874432,1,1,1
173357912,174135836,2,2,1
175363284,175875432,3,3,1
176428964,177245116,1,1,1
178053640,178504324,1,1,1
179133760,179658972,3,3,1
180804416,181195704,3,3,1
181992196,182855996,2,2,1
183532516,184308420,1,1,1
185151904,186007232,2,2,1
186923752,187373328,1,1,1
188321764,188758012,3,3,1
189656472,190106836,3,3,1
191488284,191882768,3,3,1
192900308,193502328,1,1,1
194751840,195144860,1,1,1
196066380,196441996,1,1,1
197192436,197726144,3,3,1
198489680,199077624,1,1,1
200420140,200841504,1,1,1
202019944,202515480,3,3,1
203791004,205746332,1,2,0
206774852,207422908,1,1,1
208708344,209236916,3,3,1
210432448,212171400,1,1,1
212735832,213454304,3,3,1
214785832,219340080,1,1,1
220748560,221599096,2,2,1
222710540,223141676,3,3,1
223798136,224212452,3,3,1
224806904,225156768,3,3,1
225714224,226012084,3,3,1
227087592,227995852,2,2,1
229471300,230036596,3,3,1
230932088,231483084,2,2,1
232382608,232936760,1,1,1
234230232,234904892,2,2,1
236210340,237450052,3,3,1
238173584,238920996,1,1,1
240363524,240888784,1,1,1
241778272,242325708,2,2,1
243480148,244383640,3,3,1
245772140,246920296,2,2,1
247665820,248294500,1,1,1
248995024,249417232,1,1,1
250062672,250736156,3,3,1
252011696,252633220,1,1,1
253928748,254401468,1,1,1
255211912,256356816,3,3,1
257381264,257665544,3,3,1
