ObjShowTime,ReactionTime,StimType,Guess,Correct
11740772592293.217,11740772592945.184,2,2,1
11740772593867.615,11740772594346.955,1,1,1
11740772594976.309,11740772595363.828,3,3,1
11740772595907.191,11740772596241.8,3,3,1
11740772598078.87,11740772598470.111,3,3,1
11740772599488.52,11740772600008.568,2,2,1
11740772600631.92,11740772601063.316,3,3,1
11740772602022.752,11740772602408.8,1,1,1
11740772603237.19,11740772603855.62,2,2,1
11740772605043.016,11740772605380.145,2,2,1
11740772606640.504,11740772606970.877,3,3,1
11740772609490.889,11740772609927.344,1,1,1
11740772610678.768,11740772611034.87,1,1,1
11740772611652.293,11740772612073.064,1,1,1
11740772612906.488,11740772613374.588,1,1,1
11740772613957.023,11740772614468.832,1,1,1
11740772619100.344,11740772619585.5,3,3,1
11740772622299.703,11740772622926.164,2,2,1
11740772623920.512,11740772624424.604,3,3,1
11740772626020.691,11740772626484.207,3,3,1
11740772632317.355,11740772632791.123,1,1,1
11740772634114.572,11740772634617.129,3,3,1
11740772635607.576,11740772636044.916,3,3,1
11740772639227.633,11740772639539.848,2,2,1
11740772640623.3,11740772640996.016,3,3,1
11740772641636.512,11740772642115.045,2,2,1
11740772642869.492,11740772643177.79,3,3,1
11740772644660.316,11740772645006.352,1,1,1
11740772647749.18,11740772648131.79,3,3,1
11740772648923.24,11740772649240.783,3,3,1
11740772649928.271,11740772650556.184,2,2,1
11740772652013.623,11740772652448.465,3,3,1
11740772653404.955,11740772653984.58,2,2,1
11740772655358.03,11740772655749.133,3,3,1
11740772656367.668,11740772656857.664,1,1,1
11740772658230.176,11740772658473.18,1,1,1
11740772658991.656,11740772659488.004,2,2,1
11740772660483.488,11740772660767.309,2,2,1
11740772661331.783,11740772661734.68,2,2,1
11740772662663.12,11740772662972.717,3,3,1
11740772664473.164,11740772664872.232,3,3,1
11740772665674.676,11740772665921.848,3,3,1
11740772667145.34,11740772667683.252,2,2,1
11740772668267.7,11740772668679.645,3,3,1
11740772669621.172,11740772670028.096,1,1,1
11740772671180.535,11740772671795.6,3,3,1
11740772673242.092,11740772673742.393,2,2,1
11740772674685.832,11740772675218.072,3,3,1
11740772676313.523,11740772676611.293,3,3,1
11740772677379.736,11740772677653.2,3,3,1
11740772679128.725,11740772679639.393,1,1,1
11740772680867.904,11740772681120.828,1,1,1
11740772681658.316,11740772682256.775,2,2,1
11740772682990.22,11740772683439.572,3,3,1
11740772684784.023,11740772685079.9,3,3,1
11740772687387.623,11740772687900.28,3,3,1
11740772689313.809,11740772689668.076,1,1,1
11740772691033.557,11740772691457.424,2,2,1
11740772692696.908,11740772693315.148,2,2,1
11740772694081.584,11740772694440.268,3,3,1
11740772695197.717,11740772695559.7,3,3,1
11740772696345.229,11740772696705.58,1,1,1
11740772697466.053,11740772697843.8,2,2,1
11740772698652.283,11740772698944.84,2,2,1
11740772699466.28,11740772699789.129,3,3,1
11740772700514.62,11740772700863.432,2,2,1
11740772701948.87,11740772702482.855,3,3,1
11740772703151.355,11740772703670.54,2,2,1
11740772705099.023,11740772705462.592,2,2,1
11740772706118.12,11740772706491.637,1,1,1
11740772707864.11,11740772708244.3,2,2,1
11740772708836.816,11740772709242.848,1,1,1
11740772710040.328,11740772710289.123,2,2,1
11740772711282.564,11740772711645.371,3,3,1
11740772712851.908,11740772713364.11,1,1,1
11740772714515.62,11740772714780.549,1,1,1
11740772716040.06,11740772716282.836,1,1,1
11740772717143.332,11740772717473.64,2,2,1
11740772718395.123,11740772718618.863,2,2,1
11740772719740.305,11740772720167.797,3,3,1
11740772721442.328,11740772721831.94,1,1,1
11740772722942.385,11740772723394.184,3,3,1
11740772724288.64,11740772724622.133,3,3,1
11740772725123.66,11740772725564.324,1,1,1
11740772727029.84,11740772727279.629,1,1,1
11740772727838.111,11740772728324.035,2,2,1
11740772728894.52,11740772729166.652,2,2,1
11740772729811.145,11740772730047.004,2,2,1
11740772731087.523,11740772731566.244,1,1,1
11740772732305.691,11740772732617.477,3,3,1
11740772733925.924,11740772734185.352,3,3,1
11740772735180.84,11740772735633.648,2,2,1
11740772736421.137,11740772736802.4,2,2,1
11740772738118.889,11740772738385.11,2,2,1
11740772739392.553,11740772739987.637,3,3,1
11740772741041.084,11740772741274.16,3,3,1
11740772741796.648,11740772742394.72,2,2,1
