11730809907.000,3710408
ObjShowTime,ReactionTime,StimType,Guess,Correct
54177420,54508736,3,3,1
55741136,56098564,2,1,0
57191992,57518488,1,1,1
58457840,58786484,3,3,1
59795880,60122300,2,2,1
60634732,61195720,1,1,1
62674160,63032212,1,1,1
64048596,64453004,2,2,1
65287400,65562664,2,2,1
66223052,66526872,2,2,1
67896300,68174764,1,1,1
69340104,69759696,3,3,1
71100056,71347464,3,3,1
71889904,72345308,1,1,1
73677652,74070176,3,3,1
75374572,75672192,2,2,1
76523624,76755364,1,1,1
78180792,78470624,1,1,1
79946976,80477992,3,3,1
81264432,81669212,1,1,1
82770604,83086088,2,2,1
84306476,84616680,2,2,1
85598064,85815848,2,2,1
86864284,87263604,1,1,1
88758952,88969136,3,3,1
89660580,90020368,1,1,1
91259716,91676228,3,3,1
92342628,92744152,2,2,1
93775580,94048884,1,1,1
94930276,95326568,2,2,1
96147996,96470136,1,1,1
97371484,97709540,3,3,1
98376988,98716480,1,2,0
99882900,100270288,1,2,0
101188688,101741144,3,3,1
102798600,103106492,3,2,0
104432992,105006728,2,2,1
106043204,106306392,2,2,1
107700868,107986972,2,2,1
108740452,109051348,2,2,1
110379828,110799688,2,2,1
111845124,112230860,3,3,1
113346384,113654132,1,1,1
114549652,114799648,1,1,1
115938164,116225388,1,1,1
117711824,118047880,3,3,1
119513416,119922644,1,1,1
120882092,121267188,3,3,1
121947720,122331220,1,1,1
123059696,123405896,2,2,1
124053416,124404304,1,1,1
124972776,125431820,2,1,0
126025304,126521788,2,2,1
127720304,128128212,1,1,1
128703688,129013468,2,2,1
129623988,129932556,1,1,1
131060032,131598056,2,1,0
132631536,133112016,2,2,1
133740536,134083844,1,1,1
134860316,135086220,2,2,1
136095700,136546244,2,2,1
137421764,137881772,1,1,1
138875208,139216172,3,3,1
140175628,140434480,3,3,1
141308020,141818736,1,1,1
142606252,142908996,1,1,1
144407424,144801220,3,3,1
146236712,146696524,2,2,1
148034964,148587804,3,3,1
149164332,149670756,1,1,1
150348192,150709852,3,3,1
151990316,152330220,3,3,1
153284728,153568776,2,2,1
154596300,154927236,1,1,1
155541764,155882548,1,1,1
156969072,157252392,1,1,1
158275840,158551076,3,3,1
159980572,160312612,2,2,1
161292132,161721540,1,1,1
162882060,163267996,1,1,1
163930480,164899644,2,2,1
165918160,166359952,1,1,1
167413472,167714728,1,1,1
168999176,169295828,3,3,1
170224316,170768024,2,2,1
172022504,172454760,2,2,1
173908292,174237316,1,1,1
175063796,175438964,2,2,1
176211404,176513012,3,3,1
177759472,178122272,3,3,1
178833720,179095044,3,3,1
180210496,180483920,3,3,1
181719408,182189004,2,2,1
182705452,183093724,3,3,1
184489188,184869456,3,3,1
185966948,186494896,2,3,0
185966948,187056108,2,2,1
187787624,188366012,1,1,1
189188536,189498500,1,1,1
190600976,191131444,2,2,1
191696932,191955572,2,2,1
193328012,193593456,3,3,1
194333912,194550048,3,3,1
195554508,195774108,3,3,1
196320560,196644024,3,3,1
197533552,197800520,1,2,0
198446992,198991104,2,2,1
199824552,200357380,3,3,1
201306828,201601592,3,3,1
