1727691726.000,3633336
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8887268,9541720,2,2,1
2,10121044,10596912,3,3,1
3,11606348,12122968,3,3,1
4,13107492,13444016,1,1,1
5,14134524,14437616,1,1,1
6,15382028,15814804,3,3,1
7,16323244,16694372,3,3,1
8,17767812,18141440,3,3,1
9,19569964,20160908,1,1,1
10,20715404,21143284,1,1,1
11,21747756,22280040,3,3,1
12,23321572,23695272,2,2,1
13,24925784,25287192,2,2,1
14,26479740,26941668,1,1,1
15,28290176,28842276,2,2,1
16,30168816,30685380,1,1,1
17,31399840,31974396,3,3,1
18,32543980,33020888,1,1,1
19,34448448,34812840,1,1,1
20,35335344,35779516,2,3,0
21,36719076,37297048,1,1,1
22,38493600,38840308,1,1,1
23,39579860,39890632,1,1,1
24,40911136,41500960,2,2,1
25,42345516,42596476,1,2,0
26,43140944,43612152,3,3,1
27,45006648,45447964,3,3,1
28,46510532,46879500,1,1,1
29,47655016,48042312,2,2,1
30,48549860,48972552,1,1,1
31,50457088,50805976,1,1,1
32,51519528,51817648,1,1,1
33,52319192,52599368,1,1,1
34,53470868,53823788,2,2,1
35,54748348,55197928,1,1,1
36,56023432,56544744,2,2,1
37,57654216,58000424,3,3,1
38,58877912,59208644,3,3,1
39,59801212,60130944,1,2,0
40,61354408,61788672,3,3,1
41,62862204,63452692,2,2,1
42,63978204,64348604,2,2,1
43,65371084,65906076,3,3,1
44,67111604,67711580,2,2,1
45,69128136,69499124,1,1,1
46,70552680,70891152,1,1,1
47,71645700,72051616,1,1,1
48,72794172,73108028,1,1,1
49,73814580,74224612,1,1,1
50,75084120,75475572,2,2,1
51,76460092,76745204,2,2,1
52,77950716,78238204,2,2,1
53,78933676,79314000,3,3,1
54,80803560,81226052,1,2,0
55,81741600,82128124,1,1,1
56,82684628,83204668,2,2,1
57,84340224,84807720,1,1,1
58,86147272,86605536,1,1,1
59,87834040,88248552,2,2,1
60,89357020,89800520,3,3,1
61,91254096,91601844,1,1,1
62,92941324,93765152,3,2,0
63,94805636,95162608,3,2,0
64,96111136,96656936,2,1,0
65,98006412,98617856,3,2,0
66,99968424,100449800,1,1,1
67,101468396,101947808,1,1,1
68,103237408,103620596,2,2,1
69,104796252,105317840,1,1,1
70,106001396,106465740,3,3,1
71,107387316,108050400,3,3,1
72,109415984,109755560,3,3,1
73,110944220,111459352,1,1,1
74,112118916,112739388,3,3,1
75,113626008,114025564,2,2,1
76,114775212,115285884,1,1,1
77,115953520,116261060,1,1,1
78,117578696,117991044,1,1,1
79,118655680,118992908,1,1,1
80,119966540,120364260,1,1,1
81,121191860,121615608,2,2,1
82,122747212,123028792,2,2,1
83,123631436,124182340,1,1,1
84,125437980,125790400,1,1,1
85,127242992,127730008,2,2,1
86,128318572,128604276,3,3,1
87,129735900,130198180,2,2,1
88,131106832,131435216,1,1,1
89,132175808,132566880,2,2,1
90,133242480,133538376,2,2,1
91,134723016,135032180,1,2,0
92,135693776,136205832,2,2,1
93,137514468,137916200,1,1,1
94,138971756,139589104,3,3,1
95,140695728,141147720,2,2,1
96,142444284,142886176,3,2,0
97,143710752,144065496,3,2,0
98,145098160,145514592,1,1,1
99,146634148,147046808,3,2,0
100,148269388,148542848,3,2,0
101,149360468,149633076,3,2,0
102,150152696,150432648,3,2,0
103,151330356,151638300,1,1,1
104,152283904,152655892,3,2,0
105,153630512,153905968,3,2,0
106,154727644,155092232,2,1,0
107,156395876,157030436,2,2,1
108,157880044,158452380,3,3,1
109,159007084,159352048,1,2,0
110,159955640,160805924,3,3,1
111,161462588,162063208,2,2,1
112,163517900,163935972,1,1,1
113,164943616,165592044,2,2,1
114,166398660,166844228,3,2,0
115,167524936,167849964,1,3,0
116,168432572,168987440,3,3,1
117,169639156,169997120,1,1,1
118,170803756,171191400,2,1,0
119,171693048,172336844,2,2,1
120,173728456,174176420,3,3,1
121,175495080,176052504,2,2,1
122,177145104,177531752,3,2,0
123,178085380,178471860,3,3,1
