1728489024.000,3474984
ObjShowTime,ReactionTime,StimType,Guess,Correct
68743836,69148280,1,1,1
69754624,70263956,3,3,1
70964400,71311140,1,1,1
71984488,72393188,3,3,1
73206632,73597288,1,1,1
74376672,74804248,2,2,1
75601676,75941720,1,1,1
76557116,76901040,2,2,1
78261476,78650684,1,1,1
79541072,79840476,2,2,1
80653828,81040096,3,3,1
81954532,82358260,1,1,1
83856688,84309368,1,1,1
85409756,85817984,2,2,1
86850372,87141468,2,2,1
88531820,88873128,3,3,1
89822524,90283060,2,2,1
91072408,91499568,3,2,0
92699004,93297752,1,1,1
94459140,95089064,2,2,1
95947492,96393832,1,1,1
97103180,97518448,3,3,1
98842852,99316208,2,1,0
100807604,101114968,2,2,1
101851420,102652716,3,3,1
103408164,103702784,3,3,1
104978280,105352412,2,2,1
105910848,106426884,3,3,1
107644368,107992956,2,2,1
109308396,109708100,3,3,1
111018552,111602576,3,3,1
112941084,113325376,2,2,1
114084816,114461572,3,3,1
115926108,116308692,1,1,1
117526208,117767252,1,1,1
118794772,119055224,1,1,1
120061668,120554452,3,3,1
121748952,122161896,2,2,1
123321384,123811316,2,2,1
124624792,124909656,2,2,1
125574180,125918660,1,1,1
126855188,127241616,1,1,1
128738056,129036364,3,2,0
130061856,130609108,2,2,1
131923632,132265440,1,1,1
133625920,134308808,2,1,0
135598296,135924672,2,2,1
136912124,137512632,3,3,1
138256076,138560432,3,3,1
139467892,139772876,3,3,1
140712380,141179828,2,3,0
142447312,142753524,2,2,1
143321008,143657976,2,2,1
144938428,145377744,3,3,1
146268244,146746264,2,2,1
147440792,147850208,1,1,1
148467692,149038780,2,2,1
150237272,150529148,2,2,1
151519628,151737452,2,2,1
153041984,153423924,1,1,1
154409368,154857720,3,3,1
155758216,156084712,2,2,1
156830160,157461944,3,3,1
158439436,158975308,2,2,1
159542796,159948912,2,2,1
160530356,161143972,3,3,1
162308420,162622616,3,3,1
164106144,164601812,1,1,1
165904292,166471840,2,2,1
167400276,167816484,3,3,1
168820016,169134332,1,2,0
169981804,170436992,2,2,1
171606428,172123636,3,3,1
173048164,173602276,1,1,1
174558704,175122264,3,2,0
176282772,176683688,2,2,1
177899124,178307960,3,3,1
179074464,179449916,2,2,1
180231444,180678444,1,1,1
182175888,182812848,3,3,1
183492376,183832184,1,2,0
184968664,185522852,2,2,1
186504332,186825124,2,2,1
187798576,188338748,3,3,1
189604248,189972136,2,2,1
190826660,191208824,1,1,1
192284264,192707336,3,2,0
193700872,194520116,1,1,1
195825588,196179932,2,2,1
197554428,198050080,2,2,1
199379604,199893024,1,1,1
200629468,200982312,3,2,0
201531760,201969208,3,3,1
202948740,203423220,1,2,0
204512652,204824992,3,3,1
205594480,206452236,2,2,1
207834676,208225064,3,3,1
209253556,209486272,2,2,1
210318720,210628132,3,3,1
211334624,211552796,2,2,1
212560232,212933704,3,3,1
213576228,214013232,1,1,1
214810760,215105116,1,1,1
216288596,216928408,2,2,1
218373884,218643812,2,2,1
219574296,219794268,2,2,1
220914788,221494708,1,1,1
222736152,223159004,3,3,1
223804504,224113688,2,2,1
225092208,225499516,1,1,1
226724040,227078060,1,1,1
228128508,228632816,3,3,1
