ObjShowTime,ReactionTime,StimType,Guess,Correct
1740688199135.772,1740688199686.248,1,1,1
1740688200567.632,1740688201227.224,2,2,1
1740688201892.652,1740688202318.304,1,1,1
1740688202914.664,1740688203335.404,3,3,1
1740688203997.772,1740688204413.324,3,3,1
1740688205293.724,1740688206123.396,2,2,1
1740688206902.824,1740688207595.176,1,1,1
1740688208916.532,1740688209375.852,3,3,1
1740688210670.296,1740688211719.56,1,1,1
1740688212644.956,1740688213091.112,2,2,1
1740688213642.508,1740688214015.12,2,2,1
1740688214545.48,1740688215010.288,3,3,1
1740688216479.652,1740688216951.672,3,3,1
1740688217609.112,1740688218301.116,1,1,1
1740688219666.464,1740688220263.536,3,3,1
1740688221152.892,1740688221739.356,3,3,1
1740688222675.796,1740688223291.272,1,1,1
1740688224392.652,1740688224719.552,2,2,1
1740688226191.94,1740688226570.848,2,2,1
1740688227094.244,1740688227467.408,2,2,1
1740688228517.808,1740688228976.444,2,2,1
1740688229636.832,1740688229873.596,2,2,1
1740688231180.948,1740688231576.272,3,3,1
1740688233014.712,1740688233511.524,1,1,1
1740688234085.876,1740688234759.244,3,3,1
1740688236026.64,1740688236757.28,2,2,1
1740688238027.672,1740688238441.732,2,2,1
1740688241159.508,1740688242042.66,2,2,1
1740688242949.136,1740688243301.372,2,2,1
1740688244348.892,1740688245068.056,1,1,1
1740688245774.54,1740688246607.188,2,2,1
1740688247381.664,1740688247709.2,2,2,1
1740688248681.688,1740688249125.32,2,2,1
1740688250277.764,1740688250690.864,3,3,1
1740688252033.324,1740688252540.496,3,3,1
1740688253921.988,1740688254852.12,2,2,1
1740688255881.644,1740688256462.976,1,1,1
1740688260414.144,1740688260844.184,3,3,1
1740688262260.632,1740688262619.672,3,3,1
1740688263491.16,1740688264347.392,2,2,1
1740688264943.92,1740688265947.736,1,1,1
1740688267065.168,1740688267666.956,3,3,1
1740688273884.88,1740688274390.612,2,2,1
1740688275469.128,1740688275954.076,1,1,1
1740688276934.516,1740688277506.04,3,3,1
1740688278282.552,1740688279005.72,2,2,1
1740688279550.164,1740688280018.912,3,3,1
1740688281428.416,1740688281919.616,2,2,1
1740688283327.144,1740688283769.108,1,1,1
1740688284729.628,1740688285059.232,1,1,1
1740688286374.668,1740688286726.444,3,3,1
1740688289250.688,1740688290099.916,3,3,1
1740688291372.444,1740688291855.724,1,1,1
1740688292631.2,1740688293244.416,2,2,1
1740688293947.86,1740688294620.86,3,3,1
1740688296641.1,1740688297260.048,2,2,1
1740688298016.496,1740688298548.572,3,3,1
1740688299819.112,1740688300503.712,1,1,1
1740688301515.152,1740688301996.512,3,3,1
1740688303320.04,1740688304141.172,1,1,1
1740688305425.608,1740688305800.844,3,3,1
1740688306976.288,1740688307471.976,3,3,1
1740688308906.504,1740688309507.684,1,1,1
1740688310840.128,1740688311278.692,3,3,1
1740688312376.216,1740688312975.608,1,1,1
1740688314194.136,1740688314549.244,1,1,1
1740688315122.688,1740688315551.636,3,3,1
1740688316796.132,1740688317284.108,2,2,1
1740688318680.592,1740688318933.88,2,2,1
1740688319945.4,1740688320592.772,1,1,1
1740688321382.244,1740688322308.06,2,2,1
1740688323704.504,1740688324116.392,3,3,1
1740688327430.456,1740688327829.2,2,2,1
1740688328631.716,1740688329232.588,1,1,1
1740688330661.036,1740688331087.92,3,3,1
1740688332452.464,1740688333099.016,1,1,1
1740688333679.468,1740688334093.88,3,3,1
1740688334610.412,1740688335122.912,1,1,1
1740688336333.42,1740688336743.528,1,1,1
1740688337616.048,1740688338001.392,1,1,1
1740688339158.9,1740688339499.244,1,1,1
1740688340875.724,1740688341191.956,2,2,1
1740688342587.444,1740688342814.884,2,2,1
1740688343854.416,1740688344486.472,1,1,1
1740688345971.952,1740688346790.568,2,2,1
1740688347611.06,1740688347958.496,2,2,1
1740688348752.028,1740688349435.48,1,1,1
1740688350914.96,1740688351862.268,2,2,1
1740688352973.784,1740688353650.132,1,1,1
1740688354564.648,1740688354859.304,1,1,1
1740688355428.824,1740688355731.188,1,1,1
1740688356383.668,1740688357079.472,2,2,1
1740688357853.92,1740688358286.368,3,3,1
1740688359543.912,1740688360137.124,1,1,1
1740688360760.612,1740688361488.908,2,2,1
1740688362546.432,1740688363133.692,1,1,1
1740688363882.172,1740688364230.484,2,2,1
1740688364774.932,1740688365177.38,3,3,1
1740688366397.908,1740688366984.984,1,1,1
