1740662942.000,4001604
ObjShowTime,ReactionTime,StimType,Guess,Correct
61137376,61687852,1,1,1
62569236,63228828,2,2,1
63894256,64319908,1,1,1
64916268,65337008,3,3,1
65999376,66414928,3,3,1
67295328,68125000,2,2,1
68904428,69596780,1,1,1
70918136,71377456,3,3,1
72671900,73721164,1,1,1
74646560,75092716,2,2,1
75644112,76016724,2,2,1
76547084,77011892,3,3,1
78481256,78953276,3,3,1
79610716,80302720,1,1,1
81668068,82265140,3,3,1
83154496,83740960,3,3,1
84677400,85292876,1,1,1
86394256,86721156,2,2,1
88193544,88572452,2,2,1
89095848,89469012,2,2,1
90519412,90978048,2,2,1
91638436,91875200,2,2,1
93182552,93577876,3,3,1
95016316,95513128,1,1,1
96087480,96760848,3,3,1
98028244,98758884,2,2,1
100029276,100443336,2,2,1
101534792,101889624,3,2,0
103161112,104044264,2,2,1
104950740,105302976,2,2,1
106350496,107069660,1,1,1
107776144,108608792,2,2,1
109383268,109710804,2,2,1
110683292,111126924,2,2,1
112279368,112692468,3,3,1
114034928,114542100,3,3,1
115923592,116853724,2,2,1
117883248,118464580,1,1,1
119860048,120976304,2,2,1
122415748,122845788,3,3,1
124262236,124621276,3,3,1
125492764,126348996,2,2,1
126945524,127949340,1,1,1
129066772,129668560,3,3,1
130828088,131523512,1,2,0
132143024,132510048,1,2,0
133845528,134669004,2,3,0
135886484,136392216,2,2,1
137470732,137955680,1,1,1
138936120,139507644,3,3,1
140284156,141007324,2,2,1
141551768,142020516,3,3,1
143430020,143921220,2,2,1
145328748,145770712,1,1,1
146731232,147060836,1,1,1
148376272,148728048,3,3,1
149527580,150209856,1,2,0
151252292,152101520,3,3,1
153374048,153857328,1,1,1
154632804,155246020,2,2,1
155949464,156622464,3,3,1
157344968,157922216,2,3,0
158642704,159261652,2,2,1
160018100,160550176,3,3,1
161820716,162505316,1,1,1
163516756,163998116,3,3,1
165321644,166142776,1,1,1
167427212,167802448,3,3,1
168977892,169473580,3,3,1
170908108,171509288,1,1,1
172841732,173280296,3,3,1
174377820,174977212,1,1,1
176195740,176550848,1,1,1
177124292,177553240,3,3,1
178797736,179285712,2,2,1
180682196,180935484,2,2,1
181947004,182594376,1,1,1
183383848,184309664,2,2,1
185706108,186117996,3,3,1
186839528,187289916,1,2,0
187813396,188893572,2,2,1
189432060,189830804,2,2,1
190633320,191234192,1,1,1
192662640,193089524,3,3,1
194454068,195100620,1,1,1
195681072,196095484,3,3,1
196612016,197124516,1,1,1
198335024,198745132,1,1,1
199617652,200002996,1,1,1
201160504,201500848,1,1,1
202877328,203193560,2,2,1
204589048,204816488,2,2,1
205856020,206488076,1,1,1
207973556,208792172,2,2,1
209612664,209960100,2,2,1
210753632,211437084,1,1,1
212916564,213863872,2,2,1
214975388,215651736,1,1,1
216566252,216860908,1,1,1
217430428,217732792,1,1,1
218385272,219081076,2,2,1
219855524,220287972,3,3,1
221545516,222138728,1,1,1
222762216,223490512,2,2,1
224548036,225135296,1,1,1
225883776,226232088,2,2,1
226776536,227178984,3,3,1
228399512,228986588,1,1,1
