1726155831.000,3429928
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8683816,9251996,3,3,1
2,10180376,10460812,2,2,1
3,11808280,12076608,2,2,1
4,13502036,13811852,3,3,1
5,14720288,15061816,3,3,1
6,16254332,16711524,1,1,1
7,17585936,17848884,3,3,1
8,19090328,19358432,3,2,0
9,20504864,20735708,3,3,1
10,22206148,22439656,3,3,1
11,23492216,23796256,1,1,1
12,24572724,24835428,3,3,1
13,25752952,26070232,2,2,1
14,26700708,26955980,3,3,1
15,27475468,27782828,3,3,1
16,28508404,28868416,1,1,1
17,29945956,30170896,1,1,1
18,30808356,31160500,3,3,1
19,32473020,32726668,2,2,1
20,33904212,34222320,1,1,1
21,34798864,35119320,1,1,1
22,36415820,36730848,2,2,1
23,37873332,38140720,3,3,1
24,39141252,39366788,2,2,1
25,40634256,41014536,3,3,1
26,41693060,41927724,2,2,1
27,42640188,42957992,3,3,1
28,44149552,44542256,1,1,1
29,45277720,45520628,3,3,1
30,46224116,46595320,3,3,1
31,47691884,48054564,1,1,1
32,49138072,49452612,2,2,1
33,50756120,51084840,2,2,1
34,52074392,52632032,1,1,1
35,53541500,53848196,3,3,1
36,54405760,54813640,1,2,0
37,56200104,56489488,3,3,1
38,57831048,58079964,1,1,1
39,58634476,58869260,2,2,1
40,60236772,60575432,2,2,1
41,61383992,61717344,1,1,1
42,62618860,62840044,2,2,1
43,63572560,63910192,2,2,1
44,64601708,64911756,2,2,1
45,66003224,66450184,3,3,1
46,67754676,67968952,3,3,1
47,68568524,68915312,1,1,1
48,69891848,70214352,1,1,1
49,71243820,71608464,3,3,1
50,72874956,73224216,3,3,1
51,74490696,74835672,3,3,1
52,76335204,76712472,2,2,1
53,78072988,78390544,2,2,1
54,79018060,79307792,2,2,1
55,80411304,80678296,2,2,1
56,81556764,81894272,3,3,1
57,83012852,83401968,1,1,1
58,84500508,84775960,1,1,1
59,86255468,86678208,2,2,1
60,87735676,87978172,3,3,1
61,89432744,89790532,1,1,1
62,90711000,90955696,3,3,1
63,92381280,92607680,1,1,1
64,93487236,93852104,1,1,1
65,94674576,94985980,3,3,1
66,95890508,96329180,2,2,1
67,96866732,97857656,1,1,1
68,98614164,98966128,2,1,0
69,99778648,100067088,2,2,1
70,100598688,100914000,1,1,1
71,101498568,101874644,3,3,1
72,102976232,103309432,3,3,1
73,104726088,105070464,1,1,1
74,106243068,106552028,2,2,1
75,107213592,107492380,3,3,1
76,108972044,109367796,1,2,0
77,110839348,111197904,3,3,1
78,112144532,112427764,2,2,1
79,113043376,113338376,2,2,1
80,114410972,114669792,2,2,1
81,115413432,115663844,1,1,1
82,116172452,116508424,2,2,1
83,117544084,117860208,1,1,1
84,118903804,119155632,2,2,1
85,119984244,120239688,2,2,1
86,121317296,121611200,2,2,1
87,122730808,122974144,2,2,1
88,124187760,124419892,2,2,1
89,125873456,126223280,3,3,1
90,126887856,127278012,3,3,1
91,127956600,128273136,3,3,1
92,129508720,129850132,3,3,1
93,130726716,131034196,3,3,1
94,131982856,132365580,1,1,1
95,133424176,133778324,2,2,1
96,134813900,135171424,3,3,1
97,136574084,136859684,1,1,1
98,137611316,138000112,1,1,1
99,138961660,139320360,3,3,1
100,140646008,140995600,1,1,1
101,142480200,142858468,3,3,1
102,143617172,143871456,1,1,1
103,144765144,145164608,1,1,1
104,146423252,146634552,2,2,1
