ObjShowTime,ReactionTime,StimType,Guess,Correct
1.7281728329403118e+16,1.7281728329403802e+16,1,1,1
1.7281728329405284e+16,1.7281728329405868e+16,2,2,1
1.7281728329406434e+16,1.728172832940684e+16,3,3,1
1.7281728329407554e+16,1.7281728329408016e+16,3,3,1
1.7281728329408674e+16,1.728172832940919e+16,1,2,0
1.7281728329409842e+16,1.7281728329410648e+16,3,3,1
1.7281728329411342e+16,1.7281728329411932e+16,3,3,1
1.7281728329413408e+16,1.7281728329414336e+16,1,1,1
1.728172832941521e+16,1.728172832941564e+16,2,2,1
1.7281728329416804e+16,1.7281728329417386e+16,2,2,1
1.7281728329418068e+16,1.7281728329418848e+16,3,3,1
1.7281728329419498e+16,1.728172832941985e+16,3,3,1
1.7281728329420858e+16,1.7281728329421626e+16,1,1,1
1.728172832942292e+16,1.728172832942326e+16,1,1,1
1.7281728329423868e+16,1.7281728329424342e+16,2,2,1
1.7281728329424946e+16,1.7281728329425284e+16,2,2,1
1.7281728329425906e+16,1.7281728329426544e+16,3,3,1
1.7281728329427124e+16,1.7281728329428024e+16,1,1,1
1.7281728329429172e+16,1.7281728329430052e+16,3,3,1
1.7281728329431362e+16,1.7281728329431876e+16,3,3,1
1.7281728329433268e+16,1.7281728329434348e+16,1,1,1
1.7281728329434892e+16,1.7281728329435408e+16,3,3,1
1.728172832943648e+16,1.7281728329436946e+16,1,3,0
1.728172832943836e+16,1.7281728329439322e+16,2,3,0
1.7281728329440086e+16,1.7281728329441e+16,3,3,1
1.7281728329442376e+16,1.7281728329443126e+16,1,1,1
1.7281728329444054e+16,1.728172832944485e+16,3,3,1
1.7281728329445982e+16,1.72817283294472e+16,1,1,1
1.7281728329448274e+16,1.728172832944889e+16,2,2,1
1.7281728329450228e+16,1.7281728329451432e+16,1,1,1
1.7281728329452604e+16,1.7281728329453602e+16,2,2,1
1.7281728329454278e+16,1.7281728329454886e+16,3,3,1
1.7281728329456248e+16,1.7281728329457126e+16,2,2,1
1.7281728329458108e+16,1.7281728329458508e+16,2,2,1
1.72817283294598e+16,1.7281728329460564e+16,3,3,1
1.7281728329461496e+16,1.7281728329461952e+16,3,3,1
1.7281728329462682e+16,1.7281728329463256e+16,2,2,1
1.7281728329464072e+16,1.7281728329464588e+16,1,1,1
1.7281728329465812e+16,1.7281728329466284e+16,1,1,1
1.7281728329467052e+16,1.728172832946775e+16,2,2,1
1.7281728329468514e+16,1.7281728329468928e+16,2,2,1
1.7281728329470118e+16,1.7281728329470654e+16,1,1,1
1.7281728329471714e+16,1.7281728329472236e+16,3,3,1
1.7281728329472986e+16,1.7281728329473778e+16,1,1,1
1.728172832947504e+16,1.7281728329475514e+16,1,1,1
1.7281728329477008e+16,1.7281728329477466e+16,1,1,1
1.7281728329478328e+16,1.7281728329478618e+16,1,1,1
1.7281728329479372e+16,1.7281728329479676e+16,1,1,1
1.728172832948033e+16,1.7281728329480606e+16,1,1,1
1.7281728329481568e+16,1.7281728329481948e+16,2,2,1
1.7281728329482998e+16,1.7281728329483582e+16,3,3,1
1.728172832948485e+16,1.728172832948551e+16,2,2,1
1.728172832948651e+16,1.7281728329487354e+16,1,1,1
1.7281728329488014e+16,1.7281728329488446e+16,1,1,1
1.7281728329489482e+16,1.7281728329489744e+16,1,1,1
1.7281728329490374e+16,1.7281728329490878e+16,2,2,1
1.7281728329491804e+16,1.7281728329492216e+16,3,3,1
1.728172832949325e+16,1.728172832949375e+16,2,2,1
1.7281728329495076e+16,1.7281728329495504e+16,1,3,0
1.7281728329496506e+16,1.7281728329497132e+16,2,2,1
1.728172832949826e+16,1.7281728329498916e+16,1,1,1
1.728172832950041e+16,1.7281728329501192e+16,3,3,1
1.7281728329502562e+16,1.7281728329503088e+16,1,1,1
1.7281728329503884e+16,1.7281728329504416e+16,3,3,1
1.7281728329505716e+16,1.7281728329506248e+16,3,3,1
1.7281728329507556e+16,1.7281728329508016e+16,2,1,0
1.7281728329509408e+16,1.7281728329511254e+16,1,1,1
1.7281728329512286e+16,1.7281728329512792e+16,1,1,1
1.7281728329513804e+16,1.728172832951502e+16,3,3,1
1.7281728329515978e+16,1.728172832951651e+16,3,3,1
1.7281728329517288e+16,1.7281728329517748e+16,2,2,1
1.7281728329518604e+16,1.7281728329519486e+16,3,3,1
1.728172832952023e+16,1.728172832952061e+16,3,3,1
1.728172832952175e+16,1.728172832952234e+16,1,1,1
1.7281728329523678e+16,1.7281728329524142e+16,3,1,0
1.7281728329524898e+16,1.7281728329525466e+16,3,3,1
1.7281728329526516e+16,1.728172832952702e+16,3,3,1
1.7281728329527738e+16,1.7281728329528066e+16,3,3,1
1.7281728329529446e+16,1.7281728329529798e+16,3,3,1
1.7281728329531054e+16,1.7281728329531676e+16,1,1,1
1.7281728329532502e+16,1.7281728329532846e+16,2,2,1
1.7281728329533722e+16,1.7281728329534286e+16,3,3,1
1.7281728329535216e+16,1.7281728329535778e+16,2,2,1
1.7281728329536332e+16,1.7281728329536962e+16,1,1,1
1.728172832953815e+16,1.7281728329538744e+16,1,1,1
1.7281728329540096e+16,1.7281728329540878e+16,3,3,1
1.7281728329541992e+16,1.7281728329542728e+16,1,1,1
1.7281728329544012e+16,1.7281728329544376e+16,2,2,1
1.7281728329545388e+16,1.7281728329546218e+16,3,3,1
1.7281728329546746e+16,1.7281728329547326e+16,1,1,1
1.7281728329547874e+16,1.728172832954827e+16,2,2,1
1.728172832954892e+16,1.72817283295498e+16,1,1,1
1.7281728329550394e+16,1.7281728329551348e+16,2,2,1
1.7281728329551994e+16,1.7281728329552606e+16,1,1,1
1.728172832955391e+16,1.7281728329554414e+16,3,3,1
1.7281728329555166e+16,1.7281728329555616e+16,3,3,1
1.7281728329556492e+16,1.7281728329556828e+16,3,3,1
1.7281728329558052e+16,1.7281728329558804e+16,2,1,0
1.7281728329560084e+16,1.7281728329561922e+16,1,1,1
1.7281728329563098e+16,1.728172832956439e+16,2,2,1
1.7281728329565464e+16,1.728172832956602e+16,3,3,1
1.7281728329567504e+16,1.728172832956825e+16,2,2,1
1.728172832956938e+16,1.728172832956972e+16,2,2,1
1.7281728329570806e+16,1.72817283295711e+16,2,2,1
1.7281728329571776e+16,1.728172832957206e+16,2,2,1
1.7281728329573528e+16,1.728172832957381e+16,2,2,1
1.7281728329575078e+16,1.72817283295753e+16,2,2,1
1.7281728329575964e+16,1.7281728329576794e+16,1,1,1
