ObjShowTime,ReactionTime,StimType,Guess,Correct
1728514707592.4438,1728514709282.86,2,2,1
1728514709942.2878,1728514710925.2878,1,1,1
1728514711844.636,1728514712464.212,3,3,1
1728514713468.576,1728514713975.96,3,3,1
1728514715283.324,1728514715661.3318,3,3,1
1728514716887.7,1728514717254.672,3,3,1
1728514718684.116,1728514719209.9038,1,1,1
1728514720462.328,1728514720854.7998,1,1,1
1728514721930.152,1728514722564.86,3,3,1
1728514723433.2678,1728514723923.896,2,2,1
1728514724860.292,1728514725304.5,2,2,1
1728514726158.8518,1728514726604.4238,3,3,1
1728514728003.86,1728514728648.276,1,1,1
1728514729229.62,1728514729805.2678,3,3,1
1728514731131.68,1728514732938.692,2,1,0
1728514733981.084,1728514734486.72,2,1,0
1728514735819.0718,1728514737148.704,3,3,1
1728514737811.152,1728514738385.656,1,2,0
1728514738933.004,1728514739612.0598,3,3,1
1728514740200.5,1728514740988.7358,1,2,0
1728514742028.0798,1728514742505.596,3,3,1
1728514743294.032,1728514743635.284,1,2,0
1728514744637.708,1728514745046.3638,1,2,0
1728514745675.8838,1728514746055.74,1,2,0
1728514746776.2678,1728514747103.932,1,2,0
1728514747641.408,1728514748664.108,2,1,0
1728514749166.584,1728514750443.1118,2,1,0
1728514751385.556,1728514751917.428,3,3,1
1728514752925.9238,1728514755688.36,2,2,1
1728514756626.796,1728514757646.18,3,3,1
1728514758586.708,1728514759311.692,1,1,1
1728514760034.128,1728514760795.856,3,3,1
1728514761607.38,1728514762788.044,1,1,1
1728514764180.5198,1728514764632.36,2,2,1
1728514765899.804,1728514766395.172,3,3,1
1728514766951.712,1728514767621.5798,1,2,0
1728514768740.0718,1728514769432.076,2,3,0
1728514770305.6118,1728514771623.828,1,1,1
1728514772610.264,1728514773185.512,3,3,1
1728514774154.0078,1728514775435.504,2,2,1
1728514775938.94,1728514776534.772,3,3,1
1728514777909.224,1728514778620.188,3,3,1
1728514779189.68,1728514779940.156,2,2,1
1728514780928.604,1728514781791.808,3,3,1
1728514782501.292,1728514782876.7478,2,2,1
1728514784199.2678,1728514784591.972,1,1,1
1728514785729.448,1728514786501.1238,2,2,1
1728514787511.652,1728514788293.6,1,1,1
1728514789577.088,1728514790312.024,2,2,1
1728514790920.504,1728514791336.72,2,2,1
1728514792077.1638,1728514792855.472,3,3,1
1728514793747.92,1728514794270.308,3,3,1
1728514795285.756,1728514795672.368,3,3,1
1728514796894.8638,1728514797610.088,2,2,1
1728514798422.576,1728514798736.576,2,2,1
1728514799703.052,1728514799948.688,2,2,1
1728514800534.1758,1728514800852.9158,2,2,1
1728514802003.4,1728514802323.108,2,2,1
1728514803693.628,1728514804320.6958,1,1,1
1728514805082.14,1728514805834.9438,3,3,1
1728514806748.432,1728514808603.724,2,2,1
