1721729517199.000,3569096
ObjShowTime,ReactionTime,StimType,Guess,Correct
54822752,55126356,2,3,0
56588788,57005472,1,1,1
57669908,58115208,1,1,1
58634636,58957728,1,1,1
60301080,60645392,3,3,1
61697748,61881256,3,3,1
62634612,62803392,3,3,1
64095796,64389996,2,2,1
65130348,65494680,3,1,0
66974040,67272224,3,3,1
68685620,69079648,2,2,1
69710044,69952068,2,2,1
71031496,71329372,1,1,1
72667756,72914212,2,3,0
73710612,74158748,2,1,0
75118136,75603908,2,1,0
76970304,77313760,2,1,0
78055152,78332984,2,2,1
79782380,80104112,2,2,1
80660468,81178512,3,3,1
81686876,81907528,3,3,1
83290964,83679624,1,1,1
84779056,84984968,1,1,1
86040392,86246140,1,1,1
87157564,87432000,1,1,1
88462388,88923252,2,2,1
90274608,90808836,3,3,1
91736200,91987172,3,3,1
93221612,93647488,1,1,1
94799924,95073408,1,1,1
96300760,96613776,3,3,1
97591180,98132716,2,2,1
99292148,99681008,1,1,1
100486400,100746692,2,2,1
101505136,101876916,3,3,1
103179408,103615456,2,1,0
104632984,104970284,1,1,1
105846712,106200616,3,3,1
107350152,107704004,1,1,1
108556528,109010428,1,1,1
109832860,110088168,3,3,1
111273620,111529944,3,3,1
113012440,113349532,2,2,1
114255064,114868964,1,1,1
115498476,115822568,1,1,1
116430088,116622072,1,1,1
117415556,117860896,2,3,0
119325416,119738776,1,1,1
120758300,121070200,1,2,0
121933724,122181960,1,1,1
122870436,123410464,2,2,1
124476984,125032440,1,1,1
125906928,126138820,2,2,1
127403268,127791128,3,3,1
129192664,129537524,1,1,1
130706996,131065120,2,2,1
131885560,132434456,3,3,1
133157948,133786760,2,2,1
134533248,134838404,2,3,0
135981920,136465328,1,1,1
137421772,138035824,3,2,0
138710356,139396568,1,1,1
140083084,140378596,1,2,0
141422108,141710352,1,1,1
142797784,143304500,3,2,0
144398028,145008528,1,1,1
145524020,145896416,2,2,1
146403900,146648512,2,2,1
147852964,148213896,3,1,0
149460420,149843548,1,2,0
151157068,151652200,1,2,0
152929632,153332420,3,3,1
154804916,155168932,2,2,1
155966376,156503528,3,3,1
157784020,158311072,2,2,1
159565552,159931348,2,2,1
160610876,161038472,1,1,1
162174996,162572224,1,1,1
163099716,163744684,2,2,1
164801208,165237420,1,1,1
166187932,166485476,1,1,1
167136988,167364200,1,1,1
168400672,168818612,2,2,1
169975132,170342972,1,1,1
171619488,171934572,1,1,1
172838064,173142876,2,2,1
174487360,174973800,2,2,1
175624296,175916920,2,2,1
177236364,177579140,3,1,0
178931668,179330204,1,2,0
180200680,180837800,2,2,1
181771288,182082556,2,2,1
183061088,183376560,1,1,1
183913084,184336072,1,1,1
184902544,185245280,2,2,1
186715756,187098016,2,2,1
188332508,188621656,2,2,1
190063096,190324116,3,2,0
191619644,192055520,1,1,1
193506956,193859064,3,1,0
195278560,195756408,2,2,1
196289856,196878364,3,3,1
198175860,198558740,2,2,1
199377260,199626848,1,1,1
200558284,200867696,3,3,1
201695192,202052800,2,2,1
203119240,203623868,3,3,1
204161404,204680240,1,1,1
205318680,205784168,3,3,1
206351708,206741376,1,1,1
207415900,207766932,1,2,0
208290404,208909140,2,2,1
210093628,210372168,2,2,1
211867644,212134540,2,2,1
212700984,213194420,3,3,1
214268908,215070604,2,1,0
216387088,216764972,2,1,0
218168504,218745224,1,2,0
219697704,220501320,2,2,1
221673804,221960408,2,1,0
222691884,223029340,2,2,1
223914780,224404356,3,3,1
225504856,225900224,2,2,1
227002704,227416324,2,2,1
227952852,228497924,1,1,1
229345396,229723988,2,2,1
