15.000,4011600
ObjShowTime,ReactionTime,StimType,Guess,CorrectRTC lost power, let's set the time!
1738843671.000,5962136
ObjShowTime,ReactionTime,StimType,Guess,Correct
63462212,63990776,2,2,1
65152220,65742288,1,1,1
67173720,67737872,1,1,1
68658264,69318544,2,2,1
70399932,70795248,2,2,1
72068644,72525712,2,2,1
73580064,73848872,3,3,1
75304272,76401796,2,2,1
77330184,77735496,2,2,1
78364896,78828344,2,2,1
80142772,80666244,1,1,1
81387640,81983060,2,2,1
82737492,83477468,1,1,1
84266824,84785604,3,3,1
85686000,86450100,2,2,1
87345452,87772960,3,3,1
89098328,89458976,3,3,1
90361412,91248084,1,2,0
91917520,93052644,1,1,1
93622984,94249496,3,3,1
94804856,95310336,3,3,1
95891752,96280036,2,2,1
97345424,98107244,2,2,1
99317600,99776204,3,3,1
100788644,101218100,1,2,0
102601536,103497824,3,3,1
104272320,104819288,2,2,1
106240804,106720836,1,1,1
107474304,108126472,2,2,1
108818912,109203924,3,3,1
110543452,111000164,1,2,0
111760688,112171688,1,1,1
112976208,113423064,1,1,1
114849544,115544428,2,2,1
116103872,116492812,3,3,1
117507260,117902164,3,3,1
118498652,119286584,2,2,1
120769060,121154604,2,2,1
122181092,122511228,2,2,1
123390720,123700056,2,2,1
124255544,124656840,2,2,1
125401288,125728196,3,3,1
126788736,127365144,1,1,1
128048668,128503344,1,1,1
129703816,130056624,2,2,1
131296068,131729208,3,3,1
132710744,133240524,1,1,1
133920040,134345856,1,1,1
135109332,135556516,2,2,1
136545992,136906740,2,2,1
137632268,138060452,1,1,1
138888964,139302044,1,1,1
140672520,141263224,2,2,1
141813664,142161340,3,3,1
143526824,144429332,2,2,1
145153812,145504356,2,2,1
146616800,147179728,3,3,1
147744176,148195096,3,3,1
149664544,150053600,3,3,1
150950052,151298600,3,3,1
152339052,152672376,3,3,1
153685904,154321964,1,1,1
155388440,156072140,2,2,1
156644668,157315280,1,1,1
158630752,159351872,2,2,1
160831392,161251072,1,1,1
162155552,162517568,2,2,1
163563008,163970180,3,3,1
165417664,165941984,2,1,0
166605460,167061124,2,2,1
167949608,168511332,2,2,1
169856848,170950800,1,1,1
171672316,172047572,1,1,1
173152004,173630380,3,3,1
175031832,175391248,3,3,1
176748704,177112792,3,3,1
178117248,178449616,3,3,1
179033108,179467660,2,2,1
180033144,180329896,2,2,1
181035336,181588628,3,3,1
182810116,183164940,2,2,1
184579420,185042716,2,2,1
186467156,187382020,3,3,1
187887472,188376872,3,3,1
189680360,190284384,2,2,1
191249820,191808012,3,3,1
192508460,192994252,3,3,1
193609756,194049092,2,2,1
195545568,196205196,2,2,1
196807644,197301728,3,3,1
198247176,198622300,3,2,0
199725748,200190052,3,3,1
200875580,201448832,1,1,1
202707344,203061596,1,1,1
203643076,204211652,2,3,0
205051140,205722860,2,2,1
207221304,208041948,3,3,1
208658404,209017144,3,3,1
210235676,210973676,1,1,1
212174200,212644220,1,1,1
214023700,214549308,2,2,1
215804828,216791000,1,1,1
218261452,218954964,3,3,1
219498460,219999872,2,2,1
221141356,221526920,2,2,1
222297368,222731448,3,3,1
223579980,224099000,1,1,1
