1732019625.000,3729684
ObjShowTime,ReactionTime,StimType,Guess,Correct
62925560,63541168,1,2,0
64233592,64649700,1,1,1
66132096,66930428,2,3,0
67496776,68308284,3,3,1
69021648,69411244,3,3,1
70069680,70392752,1,2,0
71044108,71421336,3,3,1
72115696,72495732,3,3,1
73972168,74312108,1,2,0
75186496,76030372,2,2,1
77194764,77541436,2,2,1
78222788,78768020,3,3,1
79417384,79799132,3,2,0
80806572,81362272,1,2,0
82656700,83462208,1,1,1
84070600,85920788,2,2,1
86525184,86948776,2,2,1
87572132,88108412,3,3,1
88688856,89690892,1,1,1
90838248,91341980,3,3,1
92652336,93088968,3,3,1
94480408,95110660,1,1,1
95656008,96069652,3,3,1
97142092,97554564,1,1,1
98968956,99551480,2,2,1
100315836,100895484,3,3,1
102270020,102652776,1,2,0
103582208,104262520,3,3,1
105396052,105918200,1,2,0
106991676,107476660,2,1,0
108814176,109377700,1,2,0
110549184,111013704,2,3,0
111689156,112243028,3,3,1
113604516,114612464,2,3,0
115593948,116106512,2,3,0
117397952,117871828,3,3,1
118805280,119185756,3,3,1
119914244,120142900,2,2,1
120959420,121558732,1,1,1
122784256,123893384,1,2,0
124662868,125170036,2,3,0
125935520,126459960,2,2,1
127650492,128409568,1,1,1
129468020,129931664,3,3,1
130682196,131693224,1,1,1
132954732,133857168,1,1,1
135350692,135726096,1,1,1
136586608,136999892,1,1,1
137753404,138142064,1,1,1
138796580,139083988,1,1,1
140045476,141320884,2,2,1
142371328,142890228,3,3,1
144157724,145742960,2,2,1
146744488,147125836,1,1,1
147785348,148264688,1,1,1
149301204,149720900,1,1,1
150350384,151627088,2,2,1
152553536,153425236,3,3,1
154460732,155249320,2,3,0
156574848,157134428,1,2,0
158136908,158942596,2,3,0
160070120,160816236,1,1,1
162310672,162840356,3,3,1
164208896,165097932,1,2,0
165894372,166381756,3,3,1
167682216,168136980,3,3,1
169446468,169983360,2,3,0
171375892,171936252,1,2,0
172967764,173492516,1,1,1
174503964,175050208,3,3,1
176007656,176378180,3,3,1
177155664,178110804,2,1,0
178967244,179454588,3,3,1
180199044,180632712,3,3,1
181773240,182449260,1,1,1
183786696,184225332,3,3,1
184981784,185333852,3,3,1
186383296,186793888,3,3,1
187511340,187824872,3,3,1
189205324,189525504,3,3,1
190782032,191329800,1,2,0
192154280,192590140,2,3,0
193466588,193867340,3,3,1
194796844,195657200,2,2,1
196210724,196829968,1,1,1
198017480,198395080,1,1,1
199746516,200007320,3,3,1
201120860,201743132,1,1,1
203025616,203399896,2,2,1
204411336,204969392,3,3,1
205495916,206106660,1,1,1
206656140,207006128,2,2,1
207655644,207936308,1,3,0
208531784,208889668,2,2,1
209535200,209952792,1,1,1
211256228,212172280,3,3,1
212924732,213300888,3,3,1
214178332,214527400,3,3,1
215752896,216804208,2,1,0
218084732,218826376,1,1,1
220001852,220686796,2,2,1
221759236,222387660,3,3,1
223870156,224282252,2,1,0
225411744,225641236,2,1,0
226725720,227147996,2,2,1
227823476,228150648,2,2,1
229618124,229985916,2,2,1
231253400,231618220,2,2,1
232282740,232766356,1,1,1
233961840,234305276,2,2,1
235116800,235359724,1,1,1
236169252,236899432,1,1,1
237875868,238641440,3,3,1
239711932,240445788,2,3,0
241288244,241781780,3,3,1
242524324,242837060,1,2,0
243611532,244513936,2,3,0
245362388,245889828,3,3,1
246810352,247910288,1,1,1
248464736,249055576,3,3,1
249970100,250614900,1,2,0
252027420,252430844,1,2,0
253102292,253634880,3,3,1
254385340,254843864,3,3,1
255888356,256851192,2,2,1
258233636,258809624,3,3,1
259572108,259871052,2,2,1
260720536,261044392,2,2,1
262198872,262460932,2,1,0
263149412,263489456,2,2,1
264624944,264928416,2,2,1
266048892,266336588,2,2,1
267507108,267769372,1,1,1
268775856,268964336,2,2,1
270084824,270382212,2,2,1
