ObjShowTime,ReactionTime,StimType,Guess,Correct
11729112803094.268,11729112803507.908,2,3,0
11729112804839.309,11729112805112.936,2,2,1
11729112805637.332,11729112805924.412,2,2,1
11729112806472.8,11729112806709.984,2,2,1
11729112808014.328,11729112808260.965,3,3,1
11729112809601.396,11729112809884.332,1,2,0
11729112811111.68,11729112811711.951,3,3,1
11729112813037.363,11729112813300.488,2,2,1
11729112814280.889,11729112814508.305,2,2,1
11729112815150.736,11729112815394.832,1,1,1
11729112816511.18,11729112816753.787,3,3,1
11729112817976.236,11729112818371.877,1,1,1
11729112819461.305,11729112819845.207,1,1,1
11729112820972.604,11729112821345.848,2,2,1
11729112822761.283,11729112823045.996,1,1,1
11729112824505.352,11729112824804.832,3,3,1
11729112825360.275,11729112825714.564,1,1,1
11729112826755.951,11729112826996.32,2,2,1
11729112828418.748,11729112828753.176,1,1,1
11729112829442.564,11729112829664.06,2,2,1
11729112830887.447,11729112831135.748,2,2,1
11729112832634.176,11729112832939.229,1,1,1
11729112833860.576,11729112834118.809,3,3,1
11729112835354.248,11729112835665.396,1,1,1
11729112836397.74,11729112836652.336,3,3,1
11729112837167.691,11729112837467.076,3,3,1
11729112838483.52,11729112838704.076,1,2,0
11729112839811.504,11729112840050.195,1,2,0
11729112841438.623,11729112842022.42,2,3,0
11729112842563.867,11729112843119.229,3,3,1
11729112843688.725,11729112843960.344,2,3,0
11729112844474.867,11729112844871.012,1,1,1
11729112846202.447,11729112846573.473,3,3,1
11729112847121.92,11729112847443.977,3,3,1
11729112848516.5,11729112848841.148,1,1,1
11729112849776.668,11729112850038.713,1,1,1
11729112851436.148,11729112851800.98,3,3,1
11729112853070.473,11729112853313.611,2,2,1
11729112853879.129,11729112854159.828,1,1,1
11729112854877.264,11729112855183.072,3,3,1
11729112856109.604,11729112856477.031,1,1,1
11729112857285.557,11729112857564.805,1,1,1
11729112858973.293,11729112859205.916,2,2,1
11729112860612.44,11729112860858.58,1,2,0
11729112861962.096,11729112862336.16,1,1,1
11729112862951.6,11729112863223.283,3,2,0
11729112864357.816,11729112864737.38,1,1,1
11729112866201.816,11729112866553.652,3,3,1
11729112867456.104,11729112867743.057,3,3,1
11729112868259.516,11729112868540.324,3,3,1
11729112869307.855,11729112869599.703,1,1,1
11729112870657.137,11729112870954.809,3,3,1
11729112871572.344,11729112871851.152,1,1,1
11729112872697.596,11729112872938.576,3,3,1
11729112874269.064,11729112874514.797,2,2,1
11729112875430.232,11729112875799.72,3,3,1
11729112877001.248,11729112877247.783,1,1,1
11729112878400.26,11729112878604.88,2,2,1
11729112879996.328,11729112880229.06,3,3,1
11729112880794.564,11729112881135.797,2,2,1
11729112881785.236,11729112882104.52,3,3,1
11729112883212.053,11729112883578.027,1,1,1
11729112884892.549,11729112885195.076,1,1,1
11729112886126.6,11729112886376.88,1,1,1
11729112887335.4,11729112887688.393,1,1,1
11729112888401.832,11729112888690.64,3,3,1
11729112889219.176,11729112889545.008,1,1,1
11729112890633.443,11729112890874.275,3,3,1
11729112892097.771,11729112892419.664,2,2,1
11729112893687.148,11729112893962.771,2,2,1
11729112894646.256,11729112894850.531,2,2,1
11729112895992.008,11729112896254.22,2,2,1
11729112897040.66,11729112897228.832,3,2,0
11729112897849.283,11729112898163.973,3,3,1
11729112898932.465,11729112899297.703,2,2,1
11729112900155.232,11729112900491.908,1,1,1
11729112901342.385,11729112901590.488,2,2,1
11729112902442.012,11729112902683.885,1,1,1
11729112903493.4,11729112903947.473,1,1,1
11729112905074.912,11729112905425.703,3,3,1
11729112906593.164,11729112906944.096,3,3,1
11729112907525.62,11729112907862.283,1,1,1
11729112908915.729,11729112909256.443,3,3,1
11729112909909.992,11729112910145.611,1,1,1
11729112910832.049,11729112911318.305,3,3,1
11729112912045.756,11729112912352.484,3,3,1
11729112913838.977,11729112914031.12,2,2,1
11729112914547.645,11729112914795.324,1,1,1
11729112915718.793,11729112916126.312,2,2,1
11729112917514.832,11729112917766.545,1,2,0
11729112918711.98,11729112919116.264,3,3,1
11729112920413.717,11729112920662.32,3,3,1
11729112921608.768,11729112921878.672,3,3,1
11729112922957.123,11729112923236.436,3,3,1
11729112923739.98,11729112924011.469,1,1,1
11729112925158.908,11729112925465.893,3,3,1
11729112926689.348,11729112926945.176,3,3,1
11729112928429.703,11729112928833.4,1,1,1
11729112929352.877,11729112929675.668,2,2,1
11729112930607.115,11729112930910.14,3,3,1
11729112931439.672,11729112931694.168,1,1,1
11729112932227.652,11729112932691.623,2,2,1
11729112934078.152,11729112934333.057,1,2,0
11729112935178.492,11729112935646.195,3,3,1
11729112936600.684,11729112936986.557,2,2,1
11729112937754.08,11729112938042.691,1,1,1
11729112938881.168,11729112939202.9,2,2,1
11729112940093.436,11729112940386.48,1,1,1
11729112941014.965,11729112941252.28,2,2,1
11729112941930.805,11729112942186.783,1,1,1
11729112942940.305,11729112943190.072,1,2,0
11729112944635.584,11729112944935.9,1,1,1
11729112945919.385,11729112946286.492,2,2,1
