trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726003446253.916,1726003446746.576,2,2,1
2,1726003447325.908,1726003447672.312,3,3,1
3,1726003448681.744,1726003449082.54,3,3,1
4,1726003450067.052,1726003450462.032,1,1,1
5,1726003451152.536,1726003451476.828,1,1,1
6,1726003452421.244,1726003452747.264,3,3,1
7,1726003453255.704,1726003453686.664,3,3,1
8,1726003454760.1,1726003455051.66,3,3,1
9,1726003456480.184,1726003456814.276,1,1,1
10,1726003457368.784,1726003457823.856,1,1,1
11,1726003458428.316,1726003458877.312,3,3,1
12,1726003459918.84,1726003460199.68,2,2,1
13,1726003461430.188,1726003461714.416,2,2,1
14,1726003462906.968,1726003463241.908,1,1,1
15,1726003464590.412,1726003464859.812,2,1,0
16,1726003466186.36,1726003466578.136,1,1,1
17,1726003467292.604,1726003467623.124,3,3,1
18,1726003468192.684,1726003468632.524,1,1,1
19,1726003470060.08,1726003470398.132,1,1,1
20,1726003470920.632,1726003471398.94,2,2,1
21,1726003472338.496,1726003472704.972,1,1,1
22,1726003473901.524,1726003474177.796,1,2,0
23,1726003474917.336,1726003475344.036,1,1,1
24,1726003476364.54,1726003476841.216,2,2,1
25,1726003477685.768,1726003478031.98,1,1,1
26,1726003478576.444,1726003478987.408,3,3,1
27,1726003480381.892,1726003480738.732,3,3,1
28,1726003481801.292,1726003482120.608,1,1,1
29,1726003482896.128,1726003483371.488,2,2,1
30,1726003483879.044,1726003484281.992,1,1,1
31,1726003485766.532,1726003486074.532,1,1,1
32,1726003486788.084,1726003487069.952,1,1,1
33,1726003487571.5,1726003487876.3,1,1,1
34,1726003488747.8,1726003489092.424,2,2,1
35,1726003490016.988,1726003490303.144,1,1,1
36,1726003491128.644,1726003491353.404,2,2,1
37,1726003492462.876,1726003492755.872,3,3,1
38,1726003493633.36,1726003493885.588,3,3,1
39,1726003494478.152,1726003494906.604,1,1,1
40,1726003496130.068,1726003496457.328,3,3,1
41,1726003497530.86,1726003498075.428,2,2,1
42,1726003498600.936,1726003498930.948,2,2,1
43,1726003499953.424,1726003500341.08,3,3,1
44,1726003501546.604,1726003502061.112,2,2,1
45,1726003503477.664,1726003503754.988,1,1,1
46,1726003504808.54,1726003505224.016,1,1,1
47,1726003505978.556,1726003506252.9,1,1,1
48,1726003506995.44,1726003507279.2,1,1,1
49,1726003507985.748,1726003508248.46,1,1,1
50,1726003509107.968,1726003509320.456,2,2,1
51,1726003510304.968,1726003510706.912,2,2,1
52,1726003511912.432,1726003512106.4,2,2,1
53,1726003512801.888,1726003513112.908,3,3,1
54,1726003514602.476,1726003514981.768,1,1,1
55,1726003515497.316,1726003515850.6,1,1,1
56,1726003516407.108,1726003516875.572,2,2,1
57,1726003518011.136,1726003518313.304,1,1,1
58,1726003519652.852,1726003519974.488,1,1,1
59,1726003521202.996,1726003521500.94,2,2,1
60,1726003522609.404,1726003522890.104,3,3,1
61,1726003524343.676,1726003524687.58,1,1,1
62,1726003526027.044,1726003526248.864,3,3,1
63,1726003527289.364,1726003527654.204,3,3,1
64,1726003528602.724,1726003529321.176,2,2,1
65,1726003530670.652,1726003530991.936,3,2,0
66,1726003532342.5,1726003532714.196,1,1,1
67,1726003533732.736,1726003534011.992,1,1,1
68,1726003535301.5,1726003535638.16,2,3,0
69,1726003536813.712,1726003537298.588,1,1,1
70,1726003537982.108,1726003538407.216,3,3,1
71,1726003539328.796,1726003539647.0,3,3,1
72,1726003541012.58,1726003541275.868,3,3,1
73,1726003542464.532,1726003542855.452,1,1,1
74,1726003543514.996,1726003543926.552,3,3,1
75,1726003544813.176,1726003545020.08,2,2,1
76,1726003545769.728,1726003546318.264,1,1,1
77,1726003546985.9,1726003547265.224,1,1,1
78,1726003548582.856,1726003548904.124,1,1,1
79,1726003549568.764,1726003549901.176,1,1,1
80,1726003550874.82,1726003551195.7,1,1,1
81,1726003552023.304,1726003552566.016,2,2,1
82,1726003553697.616,1726003553981.84,2,2,1
83,1726003554584.488,1726003555125.84,1,1,1
84,1726003556381.468,1726003556767.296,1,1,1
85,1726003558219.896,1726003558492.424,2,3,0
86,1726003559080.996,1726003559346.992,3,3,1
87,1726003560478.612,1726003561065.084,2,2,1
88,1726003561973.728,1726003562497.816,1,1,1
89,1726003563238.404,1726003563592.812,2,2,1
90,1726003564268.416,1726003564549.564,2,2,1
91,1726003565734.216,1726003566190.404,1,1,1
92,1726003566851.996,1726003567120.676,2,2,1
93,1726003568429.316,1726003568633.624,1,1,1
94,1726003569689.176,1726003570057.976,3,3,1
95,1726003571164.596,1726003571548.768,2,2,1
96,1726003572845.324,1726003573234.54,3,3,1
97,1726003574059.12,1726003574624.86,3,3,1
98,1726003575657.512,1726003575916.02,1,1,1
99,1726003577035.576,1726003577386.78,3,3,1
100,1726003578609.368,1726003578986.216,3,3,1
101,1726003579803.84,1726003580106.852,3,3,1
102,1726003580626.484,1726003580941.788,3,3,1
103,1726003581839.496,1726003582177.216,1,1,1
104,1726003582822.816,1726003583162.836,3,3,1
105,1726003584137.468,1726003584380.688,3,3,1
