ObjShowTime,ReactionTime,StimType,Guess,Correct
1729113721901.28,1729113722489.876,1,1,1
1729113723659.296,1729113724041.328,1,1,1
1729113725411.76,1729113725729.2878,1,1,1
1729113726830.648,1729113727354.264,3,3,1
1729113728642.708,1729113729098.7158,1,1,1
1729113730301.108,1729113730728.3518,2,2,1
1729113731304.772,1729113731795.264,1,1,1
1729113732639.652,1729113732950.776,2,2,1
1729113734093.12,1729113734427.576,3,3,1
1729113735314.972,1729113735661.968,2,2,1
1729113736232.316,1729113736577.6638,3,2,0
1729113737618.068,1729113738196.388,2,2,1
1729113738706.784,1729113739113.552,2,2,1
1729113739672.98,1729113740168.536,1,1,1
1729113741400.928,1729113741842.256,2,2,1
1729113742383.692,1729113742823.8718,1,1,1
1729113743608.2158,1729113743982.264,3,3,1
1729113744887.66,1729113745422.328,2,2,1
1729113746318.676,1729113746761.02,3,3,1
1729113747873.4238,1729113748231.984,2,2,1
1729113749389.416,1729113749795.38,1,1,1
1729113751017.804,1729113751418.252,1,1,1
1729113752730.596,1729113753142.776,3,3,1
1729113754275.188,1729113754718.784,2,2,1
1729113756189.1838,1729113756569.052,2,2,1
1729113757278.4038,1729113757650.0598,3,3,1
1729113758441.4558,1729113758828.46,2,2,1
1729113759373.808,1729113759729.004,3,3,1
1729113760480.4438,1729113760883.1318,1,1,1
1729113762237.524,1729113762779.7358,2,2,1
1729113764192.1638,1729113764588.86,1,1,1
1729113766013.208,1729113766372.064,3,3,1
1729113767784.52,1729113768298.9758,3,3,1
1729113769279.472,1729113769788.272,2,2,1
1729113770498.72,1729113770988.316,3,3,1
1729113771536.76,1729113771932.884,3,3,1
1729113772730.412,1729113773081.72,1,1,1
1729113774425.2358,1729113774854.64,1,1,1
1729113775526.084,1729113776003.044,3,3,1
1729113777253.568,1729113777788.224,1,1,1
1729113779086.704,1729113779599.536,2,2,1
1729113780152.9758,1729113780654.74,3,3,1
1729113781512.1838,1729113781856.784,3,3,1
1729113782591.332,1729113783048.244,1,1,1
1729113783573.764,1729113784020.972,1,1,1
1729113784933.492,1729113785336.272,1,1,1
1729113786683.7158,1729113787110.868,3,3,1
1729113788442.332,1729113788703.492,3,3,1
1729113789628.0278,1729113790205.468,1,1,1
1729113791362.9438,1729113791676.244,2,2,1
1729113793097.7678,1729113793617.208,1,1,1
1729113794933.688,1729113795279.0078,2,2,1
1729113796534.448,1729113796965.656,3,3,1
1729113797709.148,1729113798063.724,2,2,1
1729113799370.16,1729113799766.48,3,3,1
1729113800962.972,1729113801266.188,2,2,1
1729113802404.676,1729113802912.7998,2,2,1
1729113804219.284,1729113804505.868,2,2,1
1729113805989.348,1729113806290.1318,2,2,1
1729113807304.616,1729113807634.776,2,2,1
1729113808810.296,1729113809231.7,1,1,1
1729113810660.18,1729113811254.18,2,2,1
1729113811986.628,1729113812305.276,3,3,1
1729113813607.728,1729113813994.572,3,3,1
1729113814721.064,1729113815114.732,2,2,1
1729113815856.208,1729113816241.084,2,2,1
1729113817740.5278,1729113818127.3518,3,3,1
1729113819206.88,1729113819654.572,1,1,1
1729113820574.012,1729113821270.728,3,2,0
1729113822650.228,1729113823546.0078,2,2,1
1729113824604.5,1729113825039.1118,2,2,1
1729113826053.552,1729113826435.644,3,3,1
1729113827430.188,1729113827981.524,1,1,1
1729113829455.04,1729113829947.676,1,1,1
1729113831046.156,1729113831486.844,2,2,1
1729113832247.3718,1729113832836.908,1,1,1
1729113834273.3918,1729113834831.156,2,2,1
1729113835357.644,1729113835766.452,2,2,1
1729113836852.932,1729113837163.448,2,2,1
1729113837819.968,1729113838420.728,1,1,1
1729113839346.172,1729113839875.5598,3,3,1
1729113840849.012,1729113841282.396,3,3,1
1729113842644.9238,1729113843205.8398,1,1,1
1729113844259.36,1729113844667.376,1,1,1
1729113845676.8918,1729113846063.832,1,1,1
1729113846958.264,1729113847480.2678,3,3,1
1729113848131.7158,1729113848494.276,3,3,1
1729113849393.724,1729113849685.896,3,3,1
1729113851081.396,1729113851664.592,2,2,1
1729113852539.1118,1729113852990.688,1,1,1
1729113853604.1638,1729113854068.464,2,2,1
1729113855149.988,1729113855630.7878,1,1,1
1729113856460.2358,1729113856973.3718,3,3,1
1729113857836.828,1729113858114.412,3,3,1
1729113859244.9,1729113859773.14,2,2,1
1729113860442.6638,1729113860946.492,1,1,1
1729113861462.968,1729113861907.732,2,2,1
1729113863348.252,1729113863900.552,1,1,1
1729113864798.072,1729113865251.588,1,1,1
1729113865875.068,1729113866335.068,2,2,1
1729113867360.592,1729113867846.648,1,1,1
1729113869227.16,1729113869593.848,1,1,1
1729113871093.296,1729113871394.468,3,3,1
