ObjSObjShowTime, ReactionTime, StimType, Guess, Correct
11075,11510,1,1,1
12114,12661,2,1,0
13258,13565,2,1,0
14484,14703,2,1,0
15434,15731,1,1,1
16447,16672,1,1,1
17981,18292,1,1,1
19718,19909,2,1,0
21418,21626,1,1,1
22742,22961,2,1,0
23599,23868,1,1,1
24599,24792,1,1,1
25372,25584,1,1,1
26455,26656,1,1,1
27909,28109,2,1,0
29523,29747,1,1,1
31110,31356,2,1,0
32109,32452,2,1,0
33373,33619,2,1,0
34916,35207,2,1,0
36627,36859,1,1,1
37627,37858,2,1,0
38524,38734,1,1,1
39767,40062,1,1,1
41095,41318,2,1,0
42094,42444,1,1,1
43272,43478,2,1,0
44811,45173,2,1,0
45928,46220,2,1,0
47722,47970,1,1,1
49323,49538,1,1,1
50741,51152,2,1,0
52383,52588,1,1,1
53898,54129,1,1,1
55171,55381,2,1,0
56224,56571,2,1,0
57686,57890,2,1,0
58939,59207,1,1,1
60396,60799,1,1,1
62132,62337,1,1,1
62866,63118,2,1,0
