trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725397255253.916,1725397255570.656,2,2,1
2,1725397256149.988,1725397256597.928,3,3,1
3,1725397257607.32,1725397258003.796,3,3,1
4,1725397258988.324,1725397259440.232,1,1,1
5,1725397260130.724,1725397260463.58,1,1,1
6,1725397261408.012,1725397261774.764,3,3,1
7,1725397262283.204,1725397262689.472,3,3,1
8,1725397263762.908,1725397264099.028,3,3,1
9,1725397265527.552,1725397265827.704,1,1,1
10,1725397266382.204,1725397266705.016,1,1,1
11,1725397267309.48,1725397267627.012,3,3,1
12,1725397268668.54,1725397269063.276,2,2,1
13,1725397270293.78,1725397270535.644,2,2,1
14,1725397271728.204,1725397272049.508,1,1,1
15,1725397273398.024,1725397273741.576,2,2,1
16,1725397275068.128,1725397275414.2,1,1,1
17,1725397276128.668,1725397276504.256,3,3,1
18,1725397277073.812,1725397277569.172,1,1,1
19,1725397278996.716,1725397279305.34,1,1,1
20,1725397279827.84,1725397280256.132,2,2,1
21,1725397281195.684,1725397281529.656,1,1,1
22,1725397282726.196,1725397283016.564,1,1,1
23,1725397283756.108,1725397284059.544,1,1,1
24,1725397285080.048,1725397285502.896,2,2,1
25,1725397286347.448,1725397286650.14,1,1,1
26,1725397287194.608,1725397287549.22,3,3,1
27,1725397288943.7,1725397289353.72,3,3,1
28,1725397290416.288,1725397290681.056,1,1,1
29,1725397291456.556,1725397291756.408,2,2,1
30,1725397292263.96,1725397292639.612,1,1,1
31,1725397294124.152,1725397294595.9,1,1,1
32,1725397295309.456,1725397295625.084,1,1,1
33,1725397296126.64,1725397296421.168,1,1,1
34,1725397297292.672,1725397297610.984,2,2,1
35,1725397298535.532,1725397298858.9,1,1,1
36,1725397299684.412,1725397300011.292,2,2,1
37,1725397301120.768,1725397301619.752,3,3,1
38,1725397302497.232,1725397302781.148,3,3,1
39,1725397303373.724,1725397303701.084,1,1,1
40,1725397304924.552,1725397305382.5,3,3,1
41,1725397306456.024,1725397306844.868,2,2,1
42,1725397307370.38,1725397307711.616,2,2,1
43,1725397308734.092,1725397309345.84,3,3,1
44,1725397310551.372,1725397311050.552,2,2,1
45,1725397312467.1,1725397312768.74,1,1,1
46,1725397313822.284,1725397314101.892,1,1,1
47,1725397314856.436,1725397315141.276,1,1,1
48,1725397315883.828,1725397316206.348,1,1,1
49,1725397316912.896,1725397317276.492,1,1,1
50,1725397318136.0,1725397318376.42,2,2,1
51,1725397319360.932,1725397319660.8,2,2,1
52,1725397320866.32,1725397321172.82,2,2,1
53,1725397321868.292,1725397322212.448,3,3,1
54,1725397323702.016,1725397323989.496,1,1,1
55,1725397324505.048,1725397324788.216,1,1,1
56,1725397325344.732,1725397325646.556,2,2,1
57,1725397326782.112,1725397327152.6,1,1,1
58,1725397328492.16,1725397328801.588,1,1,1
59,1725397330030.092,1725397330420.98,2,3,0
60,1725397331529.456,1725397331849.264,3,3,1
61,1725397333302.832,1725397333634.44,1,1,1
62,1725397334973.9,1725397335328.128,3,3,1
63,1725397336368.616,1725397336792.7,3,3,1
64,1725397337741.228,1725397338232.952,2,2,1
65,1725397339582.424,1725397339961.816,3,3,1
66,1725397341312.384,1725397341769.72,1,1,1
67,1725397342788.264,1725397343098.028,1,1,1
68,1725397344387.532,1725397345015.484,2,2,1
69,1725397346191.044,1725397346493.616,1,1,1
70,1725397347177.084,1725397347537.08,3,3,1
71,1725397348458.652,1725397348792.24,3,3,1
72,1725397350157.816,1725397350535.28,3,3,1
73,1725397351723.936,1725397352057.54,1,1,1
74,1725397352717.092,1725397353086.76,3,3,1
75,1725397353973.384,1725397354292.72,2,2,1
76,1725397355042.368,1725397355734.548,1,1,1
77,1725397356402.196,1725397356689.436,1,1,1
78,1725397358007.076,1725397358465.984,1,1,1
79,1725397359130.616,1725397359465.644,1,1,1
80,1725397360439.28,1725397360773.512,1,1,1
81,1725397361601.12,1725397361954.448,2,2,1
82,1725397363086.056,1725397363684.448,2,2,1
83,1725397364287.096,1725397364627.756,1,1,1
84,1725397365883.392,1725397366285.884,1,1,1
85,1725397367738.484,1725397368157.648,2,2,1
86,1725397368746.22,1725397369149.4,3,3,1
87,1725397370281.016,1725397370763.392,2,2,1
88,1725397371672.032,1725397371965.86,1,1,1
89,1725397372706.46,1725397373061.736,2,2,1
90,1725397373737.34,1725397374050.24,2,2,1
91,1725397375234.888,1725397375529.348,1,1,1
92,1725397376190.952,1725397376629.036,2,2,1
93,1725397377937.68,1725397378334.552,1,1,1
94,1725397379390.116,1725397379742.06,3,3,1
95,1725397380848.68,1725397381168.348,2,2,1
96,1725397382464.908,1725397382856.18,3,3,1
97,1725397383680.772,1725397384148.98,3,3,1
98,1725397385181.632,1725397385535.448,1,1,1
99,1725397386655.004,1725397387020.9,3,3,1
100,1725397388243.48,1725397388551.188,3,3,1
101,1725397389368.812,1725397389663.384,3,3,1
