trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725401165253.884,1725401165859.108,3,3,1
2,1725401167110.528,1725401167389.672,1,2,0
3,1725401168760.14,1725401169104.664,2,2,1
4,1725401170300.176,1725401170553.86,1,1,1
5,1725401171915.272,1725401172209.096,3,3,1
6,1725401173132.58,1725401173424.992,2,2,1
7,1725401174196.504,1725401174521.128,1,3,0
8,1725401176005.632,1725401176230.928,1,3,0
9,1725401177484.34,1725401177801.244,3,3,1
10,1725401179076.76,1725401179351.652,1,1,1
11,1725401180003.112,1725401180266.576,3,2,0
12,1725401181238.068,1725401181521.168,3,3,1
13,1725401182329.648,1725401182581.604,3,3,1
14,1725401183669.124,1725401184110.46,2,2,1
15,1725401185376.972,1725401185629.956,2,2,1
16,1725401186726.468,1725401186925.832,2,2,1
17,1725401188175.384,1725401188375.532,1,1,1
18,1725401189733.992,1725401190027.444,3,3,1
19,1725401191120.016,1725401191377.224,1,1,1
20,1725401192261.724,1725401192636.468,2,2,1
21,1725401193158.996,1725401193503.396,2,2,1
22,1725401194571.868,1725401194933.112,3,3,1
23,1725401196197.676,1725401196437.54,1,2,0
24,1725401197375.012,1725401197710.948,3,3,1
25,1725401199193.44,1725401199481.324,3,2,0
26,1725401200284.804,1725401200642.464,3,3,1
27,1725401202006.032,1725401202324.78,1,1,1
28,1725401203232.244,1725401203508.004,3,1,0
29,1725401204117.524,1725401204586.12,2,2,1
30,1725401205229.672,1725401205574.324,1,1,1
31,1725401206364.78,1725401206678.736,3,3,1
32,1725401207851.224,1725401208239.408,3,3,1
33,1725401209564.936,1725401209901.7,2,2,1
34,1725401211042.256,1725401211377.14,1,1,1
35,1725401212058.608,1725401212328.148,3,3,1
36,1725401212929.676,1725401213194.676,2,2,1
37,1725401214080.2,1725401214342.768,2,3,0
38,1725401215742.32,1725401216015.296,1,1,1
39,1725401216612.804,1725401216999.196,2,2,1
40,1725401218192.668,1725401218468.56,3,3,1
41,1725401219737.052,1725401219969.392,3,3,1
42,1725401221218.964,1725401221539.788,1,1,1
43,1725401222760.292,1725401222970.016,2,2,1
44,1725401224320.524,1725401224591.464,2,2,1
45,1725401225511.936,1725401225805.432,3,3,1
46,1725401226639.96,1725401226881.7,2,2,1
47,1725401227958.256,1725401228199.904,1,1,1
48,1725401228985.416,1725401229211.06,2,2,1
49,1725401230124.568,1725401230384.064,2,2,1
50,1725401231229.54,1725401231463.104,3,3,1
51,1725401232916.6,1725401233099.492,3,3,1
52,1725401234377.064,1725401234633.692,1,1,1
53,1725401236078.24,1725401236339.892,1,1,1
54,1725401237255.416,1725401237486.98,2,2,1
55,1725401238161.488,1725401238421.48,2,2,1
56,1725401239099.0,1725401239318.14,2,2,1
57,1725401239833.612,1725401240136.568,3,3,1
58,1725401241230.056,1725401241513.824,3,3,1
59,1725401242817.384,1725401243201.356,1,1,1
60,1725401244390.832,1725401244590.404,3,2,0
61,1725401245702.892,1725401246069.572,3,3,1
62,1725401247291.06,1725401247704.796,3,3,1
63,1725401249197.288,1725401249501.72,3,3,1
64,1725401250237.204,1725401250464.052,3,3,1
65,1725401251019.616,1725401251356.856,1,1,1
66,1725401252493.4,1725401252763.744,1,1,1
67,1725401253963.3,1725401254362.344,1,1,1
68,1725401255048.856,1725401255441.236,2,2,1
69,1725401256552.788,1725401256805.728,1,1,1
70,1725401257848.28,1725401258068.272,1,2,0
71,1725401258611.832,1725401259018.328,3,3,1
72,1725401259693.956,1725401260119.212,2,2,1
73,1725401261571.824,1725401261781.312,2,2,1
74,1725401263210.916,1725401263413.144,2,2,1
75,1725401264454.788,1725401264710.968,1,1,1
76,1725401265226.604,1725401265482.796,1,1,1
77,1725401266543.432,1725401266791.308,1,1,1
78,1725401268269.86,1725401268632.172,3,3,1
79,1725401269166.796,1725401269510.552,2,2,1
80,1725401270020.196,1725401270406.68,1,1,1
81,1725401271528.276,1725401271952.06,2,2,1
82,1725401272996.664,1725401273368.48,2,2,1
83,1725401274231.052,1725401274634.444,3,3,1
84,1725401275381.108,1725401275842.488,1,1,1
85,1725401277122.072,1725401289778.428,2,3,0
86,1725401290593.016,1725401291062.432,2,2,1
87,1725401291679.092,1725401292036.184,1,1,1
88,1725401292930.828,1725401293214.356,1,1,1
89,1725401294218.908,1725401294463.12,3,2,0
90,1725401295400.784,1725401295787.344,1,1,1
91,1725401296493.936,1725401296863.124,2,2,1
92,1725401297923.68,1725401298210.088,3,3,1
93,1725401299167.752,1725401299462.604,1,1,1
94,1725401300266.248,1725401300484.872,1,1,1
95,1725401301841.432,1725401302156.688,3,3,1
96,1725401302859.268,1725401303209.856,3,3,1
97,1725401304291.512,1725401304596.16,1,1,1
98,1725401305583.708,1725401305849.528,3,3,1
99,1725401307254.112,1725401307576.372,3,3,1
100,1725401308280.96,1725401308520.292,3,3,1
101,1725401309905.956,1725401310275.42,2,2,1
102,1725401311252.068,1725401311533.28,2,2,1
103,1725401312425.968,1725401312679.432,1,1,1
104,1725401313202.072,1725401313496.956,2,2,1
105,1725401314913.568,1725401315143.108,3,1,0
106,1725401316477.808,1725401316816.036,1,1,1
107,1725401318101.648,1725401318313.324,3,2,0
108,1725401319808.024,1725401320036.612,1,2,0
109,1725401321285.28,1725401321570.896,1,1,1
110,1725401323002.568,1725401323187.528,1,1,1
111,1725401323822.196,1725401324082.964,1,1,1
112,1725401325247.604,1725401325520.316,2,3,0
113,1725401326610.924,1725401326945.252,3,3,1
114,1725401327734.924,1725401328128.552,2,2,1
115,1725401329030.16,1725401329358.424,3,3,1
116,1725401330575.128,1725401330872.132,1,1,1
