trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726177354253.94,1726177354560.844,1,1,1
2,1726177355144.2,1726177355382.908,1,1,1
3,1726177356054.308,1726177356227.54,1,1,1
4,1726177356771.008,1726177356977.504,1,1,1
5,1726177358096.976,1726177358237.604,1,1,1
6,1726177358934.064,1726177359091.372,1,1,1
7,1726177360233.832,1726177360381.888,1,1,1
8,1726177361287.348,1726177361440.872,1,1,1
9,1726177362151.328,1726177362307.472,1,1,1
10,1726177362945.932,1726177363110.596,1,1,1
11,1726177364267.096,1726177364387.2,1,1,1
12,1726177365693.704,1726177365843.32,1,1,1
13,1726177367033.832,1726177367179.06,1,1,1
14,1726177367933.56,1726177368135.04,1,1,1
15,1726177368665.556,1726177368866.248,1,1,1
16,1726177370146.74,1726177370299.604,1,1,1
17,1726177371651.1,1726177371805.408,1,1,1
18,1726177372953.904,1726177373111.768,1,1,1
19,1726177373654.272,1726177373893.948,1,1,1
20,1726177374761.46,1726177374910.452,1,1,1
21,1726177375859.952,1726177376040.48,1,1,1
22,1726177377136.984,1726177377266.892,1,1,1
23,1726177378603.388,1726177378765.32,1,1,1
24,1726177379805.824,1726177379928.996,1,1,1
25,1726177380997.5,1726177381148.32,1,1,1
26,1726177381911.82,1726177382092.396,1,1,1
27,1726177383168.904,1726177383321.716,1,1,1
28,1726177384255.212,1726177384419.828,1,1,1
29,1726177385882.332,1726177386029.904,1,1,1
30,1726177386694.408,1726177386907.8,1,1,1
31,1726177387427.3,1726177387621.636,1,1,1
32,1726177388965.136,1726177389127.324,1,1,1
33,1726177390179.828,1726177390344.648,1,1,1
34,1726177391098.148,1726177391281.144,1,1,1
35,1726177392573.644,1726177392728.088,1,1,1
36,1726177393468.592,1726177393634.756,1,1,1
37,1726177395114.252,1726177395372.448,1,1,1
38,1726177396785.956,1726177396919.644,1,1,1
39,1726177397550.148,1726177397783.768,1,1,1
40,1726177398863.276,1726177398983.896,1,1,1
41,1726177400322.392,1726177400465.352,1,1,1
42,1726177401261.848,1726177401402.336,1,1,1
43,1726177402361.844,1726177402506.132,1,1,1
44,1726177403872.636,1726177403997.164,1,1,1
45,1726177404738.668,1726177404876.472,1,1,1
46,1726177406325.968,1726177406540.352,1,1,1
47,1726177407096.864,1726177407321.816,1,1,1
48,1726177407830.316,1726177408075.444,1,1,1
49,1726177409458.952,1726177409626.812,1,1,1
50,1726177410726.308,1726177411011.816,1,1,1
51,1726177412067.324,1726177412236.084,1,1,1
52,1726177413147.584,1726177413302.828,1,1,1
53,1726177414333.336,1726177414605.116,1,1,1
54,1726177415956.624,1726177416095.572,1,1,1
55,1726177417023.08,1726177417166.744,1,1,1
56,1726177418401.26,1726177418542.548,1,1,1
57,1726177419695.048,1726177419857.664,1,1,1
58,1726177421085.172,1726177421244.368,1,1,1
59,1726177422221.876,1726177422387.824,1,1,1
60,1726177423547.328,1726177423684.344,1,1,1
61,1726177424489.856,1726177424763.064,1,1,1
62,1726177425521.568,1726177425683.612,1,1,1
63,1726177426986.112,1726177427131.756,1,1,1
64,1726177428149.268,1726177428309.072,1,1,1
65,1726177429185.572,1726177429352.472,1,1,1
66,1726177430501.984,1726177430667.984,1,1,1
67,1726177431520.48,1726177431704.804,1,1,1
68,1726177432527.32,1726177432700.848,1,1,1
69,1726177433886.352,1726177434031.944,1,1,1
70,1726177435514.456,1726177435656.924,1,1,1
71,1726177436562.432,1726177436737.612,1,1,1
72,1726177437367.112,1726177437589.664,1,1,1
73,1726177438197.172,1726177438406.36,1,1,1
74,1726177439199.876,1726177439350.62,1,1,1
75,1726177440815.124,1726177440945.1,1,1,1
76,1726177441964.612,1726177442128.752,1,1,1
77,1726177442992.256,1726177443152.652,1,1,1
78,1726177443841.152,1726177444015.324,1,1,1
79,1726177445081.832,1726177445228.52,1,1,1
80,1726177446103.06,1726177446396.148,1,1,1
81,1726177447660.748,1726177447782.34,1,1,1
82,1726177449183.936,1726177449395.168,1,1,1
83,1726177450564.76,1726177450726.112,1,1,1
84,1726177451546.704,1726177451769.396,1,1,1
85,1726177452492.992,1726177452691.964,1,1,1
86,1726177453438.564,1726177453606.68,1,1,1
87,1726177454750.276,1726177454879.224,1,1,1
88,1726177455835.824,1726177456017.908,1,1,1
89,1726177456692.504,1726177456869.38,1,1,1
90,1726177457555.98,1726177457736.64,1,1,1
91,1726177458780.228,1726177458918.412,1,1,1
92,1726177460006.004,1726177460040.048,1,1,1
93,1726177461133.652,1726177461288.252,1,1,1
94,1726177461803.844,1726177462068.88,1,1,1
95,1726177462576.472,1726177462861.772,1,1,1
96,1726177464066.372,1726177464236.956,1,1,1
97,1726177465483.548,1726177465785.876,1,1,1
98,1726177467099.468,1726177467341.844,1,1,1
99,1726177468619.436,1726177468826.576,1,1,1
100,1726177470299.168,1726177470465.308,1,1,1
