36,1,1,1
1727095230.000,3973768
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,9227684,9424656,1,1,1
2,10161008,10338656,1,1,1
3,11356104,11505916,1,1,1
4,12064376,12262520,1,1,1
5,13701972,13862696,1,1,1
6,14540144,14706164,1,1,1
7,15799616,15936600,1,1,1
8,17237068,17397220,1,1,1
9,18677672,18859672,1,1,1
10,19771136,19978264,1,1,1
11,21109772,21224856,1,1,1
12,22105364,22247744,1,1,1
13,23378252,23497884,1,1,1
14,24595388,24724848,1,1,1
15,26175340,26311560,1,1,1
16,26817076,27035116,1,1,1
17,27665624,27845020,1,1,1
18,28391524,28576176,1,1,1
19,29614680,29775164,1,1,1
20,30983664,31120144,1,1,1
21,32437648,32569876,1,1,1
22,33516384,33648272,1,1,1
23,34203772,34388352,1,1,1
24,35605856,35739980,1,1,1
25,36497492,36597136,1,1,1
26,37159636,37347500,1,1,1
27,38447008,38569540,1,1,1
28,39133040,39273304,1,1,1
29,40442812,40574072,1,1,1
30,41944584,42289052,1,1,1
31,43390564,43594112,1,1,1
32,44882620,45032484,1,1,1
33,46234988,46421896,1,1,1
34,46998400,47242940,1,1,1
35,48087444,48247444,1,1,1
36,49389940,49549536,1,1,1
37,50437040,50593688,1,1,1
38,51164200,51340260,1,1,1
39,52380776,52520172,1,1,1
40,53030668,53291244,1,1,1
41,53850748,54024800,1,1,1
42,55257304,55389464,1,1,1
43,55930968,56118400,1,1,1
44,56902908,57038764,1,1,1
45,57944272,58069452,1,1,1
46,58965960,59097024,1,1,1
47,60209536,60337276,1,1,1
48,61494776,61897640,1,1,1
49,63120152,63327264,1,1,1
50,64639772,64778372,1,1,1
51,65910884,66108012,1,1,1
52,67578520,67606700,1,1,1
53,68316212,68559580,1,1,1
54,69351084,69541504,1,1,1
55,70087004,70291492,1,1,1
56,71042996,71203240,1,1,1
57,72557744,72690788,1,1,1
58,74103296,74265604,1,1,1
59,75690108,75849680,1,1,1
60,77262196,77439804,1,1,1
61,78420308,78635324,1,1,1
62,79345840,79575936,1,1,1
63,80124452,80311760,1,1,1
64,81109268,81270044,1,1,1
65,82613552,82774036,1,1,1
66,83445536,83588036,1,1,1
67,84838556,84998108,1,1,1
68,86296624,86461460,1,1,1
69,87014964,87202584,1,1,1
70,88060092,88231504,1,1,1
71,88966004,89078544,1,1,1
72,89604044,89835796,1,1,1
73,90748296,90892932,1,1,1
74,92240436,92385804,1,1,1
75,93717300,93879764,1,1,1
76,94804272,94991180,1,1,1
77,96148688,96335964,1,1,1
78,97757472,97914548,1,1,1
79,99231060,99402628,1,1,1
80,100658136,100796128,1,1,1
81,101539728,101754872,1,1,1
82,103061468,103248436,1,1,1
83,104445032,104625480,1,1,1
84,105764084,105983376,1,1,1
85,107289960,107435364,1,1,1
86,108918956,109096496,1,1,1
87,110111084,110335196,1,1,1
88,111510800,111655276,1,1,1
89,113083868,113276140,1,1,1
90,114008736,114194656,1,1,1
91,115497264,115676660,1,1,1
92,116403252,116579524,1,1,1
93,117321120,117481536,1,1,1
94,118981124,119105216,1,1,1
95,120184808,120381768,1,1,1
96,121301364,121457000,1,1,1
97,122836600,123008932,1,1,1
98,124067536,124280764,1,1,1
99,125295364,125486976,1,1,1
100,126481584,126700212,1,1,1
