ObjShowTime,ReactionTime,StimType,Guess,Correct
171728945745872.4,171728945746046.56,1,1,1
171728945746918.94,171728945747067.53,1,1,1
171728945748488.9,171728945748637.56,1,1,1
171728945750004.94,171728945750143.66,1,1,1
171728945751492.03,171728945751641.06,1,1,1
171728945752645.44,171728945752798.47,1,1,1
171728945753300.84,171728945753484.4,1,1,1
171728945754556.78,171728945754710.62,1,1,1
171728945755913.0,171728945756060.56,1,1,1
171728945757488.94,171728945757630.66,1,1,1
171728945758879.06,171728945759032.9,1,1,1
171728945759823.3,171728945759989.97,1,1,1
171728945760506.38,171728945760677.78,1,1,1
171728945761580.16,171728945761743.84,1,1,1
171728945762939.25,171728945763017.66,1,1,1
171728945763901.03,171728945764027.66,1,1,1
171728945765073.06,171728945765138.2,1,1,1
171728945765073.06,171728945766219.3,1,1,1
171728945767307.7,171728945767470.5,1,1,1
171728945767997.9,171728945768211.03,1,1,1
171728945769015.44,171728945769188.12,1,1,1
171728945770600.5,171728945770761.9,1,1,1
171728945772228.28,171728945772372.56,1,1,1
171728945773387.97,171728945773537.1,1,1,1
171728945774971.5,171728945775111.53,1,1,1
171728945775789.94,171728945775968.78,1,1,1
171728945777221.16,171728945777376.12,1,1,1
171728945778799.53,171728945778921.66,1,1,1
171728945779723.03,171728945779886.12,1,1,1
171728945780741.53,171728945781689.44,1,1,1
171728945782490.84,171728945782650.06,1,1,1
171728945783935.44,171728945784101.1,1,1,1
171728945785052.5,171728945785226.06,1,1,1
171728945785816.47,171728945785990.8,1,1,1
171728945787274.2,171728945787413.38,1,1,1
171728945788880.75,171728945789161.44,1,1,1
171728945789717.84,171728945789925.03,1,1,1
171728945790495.44,171728945790664.5,1,1,1
171728945791343.9,171728945791513.9,1,1,1
171728945792372.28,171728945792552.22,1,1,1
171728945793920.6,171728945794144.78,1,1,1
171728945795066.2,171728945795215.7,1,1,1
171728945796541.1,171728945796695.3,1,1,1
171728945797442.72,171728945797607.9,1,1,1
171728945798857.28,171728945798993.3,1,1,1
171728945799568.7,171728945799743.56,1,1,1
171728945800290.94,171728945800475.47,1,1,1
171728945801481.97,171728945801631.3,1,1,1
171728945802215.8,171728945802366.97,1,1,1
171728945803539.44,171728945803691.75,1,1,1
171728945804245.22,171728945804448.4,1,1,1
171728945805009.9,171728945805142.94,1,1,1
171728945806155.4,171728945806306.03,1,1,1
171728945807751.5,171728945807897.22,1,1,1
171728945809025.7,171728945809175.4,1,1,1
171728945809839.88,171728945810004.72,1,1,1
171728945810684.22,171728945810860.0,1,1,1
171728945811910.47,171728945812053.5,1,1,1
171728945812688.0,171728945812860.72,1,1,1
171728945813575.2,171728945813725.38,1,1,1
171728945815043.84,171728945815201.84,1,1,1
171728945815707.3,171728945815894.44,1,1,1
171728945817045.9,171728945817198.66,1,1,1
171728945818095.12,171728945818355.9,1,1,1
171728945819272.4,171728945819441.34,1,1,1
171728945820904.84,171728945821059.72,1,1,1
171728945822493.2,171728945822629.8,1,1,1
171728945823227.3,171728945823446.62,1,1,1
171728945824806.1,171728945824959.88,1,1,1
171728945826206.34,171728945826353.44,1,1,1
171728945827385.9,171728945827533.94,1,1,1
171728945828468.4,171728945828642.78,1,1,1
171728945829338.25,171728945829481.5,1,1,1
171728945830524.97,171728945830664.2,1,1,1
171728945832105.66,171728945832267.38,1,1,1
171728945833631.84,171728945833787.72,1,1,1
171728945834424.2,171728945834644.78,1,1,1
171728945835316.25,171728945835482.38,1,1,1
171728945836137.84,171728945836299.25,1,1,1
171728945837411.72,171728945837598.47,1,1,1
171728945838104.97,171728945838309.0,1,1,1
171728945839314.47,171728945839482.5,1,1,1
171728945840843.97,171728945840987.53,1,1,1
171728945842106.0,171728945842256.7,1,1,1
171728945843193.16,171728945843341.6,1,1,1
171728945844712.06,171728945844837.16,1,1,1
171728945844712.06,171728945846060.34,1,1,1
171728945847179.8,171728945847364.03,1,1,1
171728945848449.5,171728945848638.44,1,1,1
171728945849585.9,171728945849771.97,1,1,1
171728945851061.44,171728945851192.53,1,1,1
171728945851894.03,171728945852072.5,1,1,1
171728945853152.0,171728945853300.12,1,1,1
171728945853982.62,171728945854154.8,1,1,1
171728945855373.3,171728945855666.84,1,1,1
171728945856747.3,171728945856918.03,1,1,1
171728945858133.53,171728945858448.6,1,1,1
171728945859277.06,171728945859450.53,1,1,1
171728945860371.0,171728945860520.03,1,1,1
171728945861786.5,171728945861927.44,1,1,1
171728945862922.9,171728945863080.66,1,1,1
