1739970234.000,4376292
ObjShowTime,ReactionTime,StimType,Guess,Correct
55849936,56290608,1,1,1
57210996,57488604,1,1,1
58586992,58891060,1,1,1
59713448,60038116,1,1,1
61313512,61571780,1,1,1
62160176,62458804,1,1,1
63112200,63290936,1,1,1
64687328,64934432,1,1,1
66046820,66280408,1,1,1
67043800,67191688,1,1,1
68544076,68711472,1,1,1
69700864,69890348,1,1,1
70663736,70862956,1,1,1
72227344,72397728,1,1,1
73254120,73484904,1,1,1
74192284,74415940,1,1,1
75033320,75247836,1,1,1
76407228,76643376,1,1,1
77151760,77437260,1,1,1
78705652,78904960,1,1,1
79861352,80065344,1,1,1
81529728,81744224,1,1,1
82324624,82593560,1,1,1
83776940,84117568,1,1,1
85488956,85824536,1,1,1
87060912,87278788,1,1,1
88397164,88589144,1,1,1
89941528,90137400,1,1,1
91096784,91427332,1,1,1
91958720,92217576,1,1,1
92741960,92926176,1,1,1
93630568,93818432,1,1,1
94320832,94550872,1,1,1
95826260,96040532,1,1,1
96775924,96989776,1,1,1
97537164,97737888,1,1,1
98965272,99131460,1,1,1
100324840,100645364,1,1,1
101258832,101598796,1,1,1
102554276,102724956,1,1,1
104197428,104367504,1,1,1
105054976,105397868,1,1,1
106463340,106610776,1,1,1
107870260,108018076,1,1,1
109063552,109199364,1,1,1
110070840,110262212,1,1,1
110776700,110999548,1,1,1
111746020,111959008,1,1,1
113011492,113207940,1,1,1
113832412,114170028,1,1,1
114993500,115148156,1,1,1
115985632,116147484,1,1,1
116718952,116887248,1,1,1
118211724,118391988,1,1,1
119799468,120124924,1,1,1
121484408,121642640,1,1,1
122215112,122436000,1,1,1
123106476,123302236,1,1,1
124083716,124235336,1,1,1
125710816,125958716,1,1,1
126858188,127343328,1,1,1
128527808,128811896,1,1,1
129345372,129619360,1,1,1
130873836,131154400,1,1,1
132222868,132444256,1,1,1
133136724,133401068,1,1,1
134521544,134676696,1,1,1
135952172,136141092,1,1,1
137112564,137342828,1,1,1
138460324,138647216,1,1,1
139246692,139508468,1,1,1
140317952,140504096,1,1,1
141804580,141979944,1,1,1
142709416,142898128,1,1,1
143642608,143811324,1,1,1
145225808,145389972,1,1,1
145896444,146104428,1,1,1
146704896,146850476,1,1,1
147996960,148194280,1,1,1
148752764,148945880,1,1,1
150367376,150592832,1,1,1
151881304,152116368,1,1,1
153412852,153603512,1,1,1
155001992,155323384,1,1,1
156376872,156552568,1,1,1
157429044,157581768,1,1,1
158730244,158884012,1,1,1
160268492,160433772,1,1,1
161562244,161707152,1,1,1
162354624,162550292,1,1,1
163669772,163846032,1,1,1
164981516,165154904,1,1,1
166556372,166720832,1,1,1
167596304,167785880,1,1,1
168476356,168733452,1,1,1
169309924,169490448,1,1,1
170623924,170776004,1,1,1
171388484,171569380,1,1,1
172571860,172730164,1,1,1
173915632,174079376,1,1,1
175182856,175353260,1,1,1
