1730122808.000,10829540
ObjShowTime,ReactionTime,StimType,Guess,Correct
58966728,59186016,1,1,1
60324400,60471156,1,1,1
61758540,61944824,1,1,1
63323224,63423004,1,1,1
64769388,64787968,1,1,1
65864356,66013464,1,1,1
67405852,67539348,1,1,1
68476728,68633308,1,1,1
69410688,69556692,1,1,1
70868088,71041708,1,1,1
72309088,72422480,1,1,1
73765864,73899016,1,1,1
74490404,74669348,1,1,1
76141740,76240600,1,1,1
77132996,77283216,1,1,1
78185612,78311492,1,1,1
79157876,79302724,1,1,1
79900108,80042652,1,1,1
81375044,81544276,1,1,1
81375044,83037388,1,1,1
84505780,84687476,1,1,1
85699856,85844004,1,1,1
86713396,86865000,1,1,1
87839380,88001968,1,1,1
89200348,89340164,1,1,1
90133552,90274872,1,1,1
91498252,91638892,1,1,1
92437284,92578532,1,1,1
93759912,93894016,1,1,1
94974400,95016472,1,1,1
95991860,96116764,1,1,1
97397156,97449196,1,1,1
97397156,98870304,1,1,1
99825692,99956228,1,1,1
100784616,100932124,1,1,1
102403600,102412008,1,1,1
103274472,103406652,1,1,1
104151128,104301236,1,1,1
104987720,105152484,1,1,1
105970972,106120988,1,1,1
107308468,107441432,1,1,1
107308468,108841632,1,1,1
110268100,110405028,1,1,1
111299504,111434072,1,1,1
112428548,112575912,1,1,1
113096380,113275272,1,1,1
114117752,114336008,1,1,1
115679492,115825860,1,1,1
117079340,117215572,1,1,1
118483056,118660108,1,1,1
119988584,120127092,1,1,1
120637576,120824080,1,1,1
122075560,122228248,1,1,1
123648716,123763892,1,1,1
125230372,125339628,1,1,1
125997108,126166028,1,1,1
126736512,126892280,1,1,1
128333756,128482124,1,1,1
129282600,129440888,1,1,1
130050356,130189260,1,1,1
131440748,131450444,1,1,1
132131916,132288012,1,1,1
132909484,133053504,1,1,1
133821984,133959892,1,1,1
135360368,135533992,1,1,1
136247464,136391960,1,1,1
137583436,137591500,1,1,1
138172972,138196640,1,1,1
138898120,139060816,1,1,1
140115288,140264764,1,1,1
140826240,140970116,1,1,1
141957592,141965820,1,1,1
142472296,142620604,1,1,1
143205088,143361172,1,1,1
144199652,144347856,1,1,1
145019328,145149776,1,1,1
146293252,146375996,1,1,1
147019476,147210872,1,1,1
147931356,148089052,1,1,1
149355532,149499692,1,1,1
150040172,150199672,1,1,1
150838152,150971188,1,1,1
150838152,152385392,1,1,1
152927868,153125796,1,1,1
154435284,154590084,1,1,1
155179560,155336268,1,1,1
155970744,156126936,1,1,1
156652412,156805232,1,1,1
157983704,158128592,1,1,1
158828064,158980180,1,1,1
159546660,159684124,1,1,1
160665592,160809924,1,1,1
162010416,162164328,1,1,1
163597804,163727744,1,1,1
165216216,165353408,1,1,1
166661880,166776024,1,1,1
167431504,167577868,1,1,1
169009356,169157892,1,1,1
170008364,170171132,1,1,1
171230608,171447344,1,1,1
172892816,173029360,1,1,1
