ObjShowTime,ReactionTime,StimType,Guess,Correct
1740683215828.244,1740683216090.868,1,1,1
1740683217437.256,1740683217638.86,1,1,1
1740683218540.252,1740683218737.28,1,1,1
1740683219304.668,1740683219532.6958,1,1,1
1740683220323.084,1740683220488.616,1,1,1
1740683221466.012,1740683221634.856,1,1,1
1740683223114.244,1740683223298.292,1,1,1
1740683224018.688,1740683224227.96,1,1,1
1740683225380.3518,1740683225575.64,1,1,1
1740683227004.0278,1740683227193.916,1,1,1
1740683227804.316,1740683228017.616,1,1,1
1740683228836.9958,1740683229055.4358,1,1,1
1740683229604.8198,1740683229868.5398,1,1,1
1740683231265.9238,1740683231432.804,1,1,1
1740683232046.1958,1740683232311.7358,1,1,1
1740683233489.12,1740683233664.0598,1,1,1
1740683234198.448,1740683234443.68,1,1,1
1740683235637.072,1740683235832.888,1,1,1
1740683236773.272,1740683236979.232,1,1,1
1740683237502.616,1740683237787.712,1,1,1
1740683239065.104,1740683239230.204,1,1,1
1740683240163.596,1740683240347.148,1,1,1
1740683241169.536,1740683241387.72,1,1,1
1740683242668.108,1740683242852.576,1,1,1
1740683244002.972,1740683244204.096,1,1,1
1740683245631.484,1740683245850.844,1,1,1
1740683246462.224,1740683246735.464,1,1,1
1740683247936.848,1740683248178.4958,1,1,1
1740683249122.8838,1740683249305.7998,1,1,1
1740683250416.18,1740683250666.8318,1,1,1
1740683251758.22,1740683251954.848,1,1,1
1740683253299.228,1740683253508.896,1,1,1
1740683254913.28,1740683255079.224,1,1,1
1740683255702.608,1740683255968.0398,1,1,1
1740683257116.432,1740683257309.9558,1,1,1
1740683257995.344,1740683258172.264,1,1,1
1740683259145.656,1740683259326.272,1,1,1
1740683260418.6638,1740683260619.628,1,1,1
1740683261589.02,1740683261759.72,1,1,1
1740683262878.1118,1740683263021.712,1,1,1
1740683264378.188,1740683264554.948,1,1,1
1740683265561.428,1740683265754.584,1,1,1
1740683266631.068,1740683266849.876,1,1,1
1740683268022.356,1740683268216.188,1,1,1
1740683269178.66,1740683269369.104,1,1,1
1740683270160.572,1740683270347.5278,1,1,1
1740683271499.9958,1740683271708.688,1,1,1
1740683273111.176,1740683273311.512,1,1,1
1740683273817.9878,1740683274091.516,1,1,1
1740683274805.0,1740683275033.492,1,1,1
1740683276111.96,1740683276297.004,1,1,1
1740683277082.484,1740683277281.4038,1,1,1
1740683278026.8838,1740683278210.972,1,1,1
1740683278747.4558,1740683278971.7878,1,1,1
1740683280421.264,1740683280592.588,1,1,1
1740683281188.068,1740683281383.12,1,1,1
1740683282158.6,1740683282335.8198,1,1,1
1740683283241.292,1740683283386.98,1,1,1
1740683285707.6638,1740683285951.596,1,1,1
1740683287076.064,1740683287261.0918,1,1,1
1740683287986.564,1740683288211.876,1,1,1
1740683289211.344,1740683289415.152,1,1,1
1740683290182.6318,1740683290374.948,1,1,1
1740683291195.42,1740683291431.624,1,1,1
1740683292930.096,1740683293143.0078,1,1,1
1740683294315.4878,1740683294541.552,1,1,1
1740683295786.0278,1740683296017.8318,1,1,1
1740683297367.308,1740683297564.744,1,1,1
1740683298311.2158,1740683298579.256,1,1,1
1740683300194.4558,1740683300450.068,1,1,1
1740683301296.5398,1740683301502.572,1,1,1
1740683302712.056,1740683302900.7678,1,1,1
1740683303874.252,1740683304050.1438,1,1,1
1740683305196.62,1740683305413.4438,1,1,1
1740683306207.928,1740683306446.1438,1,1,1
1740683307311.616,1740683307549.8198,1,1,1
1740683308475.296,1740683308688.172,1,1,1
1740683309635.6438,1740683309817.304,1,1,1
1740683310457.772,1740683310699.772,1,1,1
1740683311337.244,1740683311619.992,1,1,1
1740683312789.472,1740683312967.204,1,1,1
1740683314151.68,1740683314378.6638,1,1,1
1740683315578.136,1740683315756.68,1,1,1
1740683316482.16,1740683316696.804,1,1,1
1740683317850.276,1740683318033.9758,1,1,1
1740683318548.46,1740683318828.364,1,1,1
1740683321169.984,1740683321350.992,1,1,1
1740683322807.468,1740683322970.4878,1,1,1
1740683323806.964,1740683324016.024,1,1,1
1740683324538.5078,1740683324798.244,1,1,1
1740683325999.7158,1740683326230.16,1,1,1
1740683326799.6318,1740683327031.6,1,1,1
1740683328031.076,1740683328219.548,1,1,1
1740683329319.0278,1740683329483.336,1,1,1
1740683330204.812,1740683330393.968,1,1,1
1740683331578.4358,1740683331744.344,1,1,1
1740683332426.8198,1740683332645.316,1,1,1
1740683333642.7878,1740683333810.772,1,1,1
