ObjShowTime,ReactionTime,StimType,Guess,Correct
1746737660470.852,1746737660664.76,1,1,1
1746737662076.148,1746737662247.588,1,1,1
1746737663265.968,1746737663417.368,1,1,1
1746737665548.308,1746737665720.24,1,1,1
1746737667175.624,1746737667331.988,1,1,1
1746737667846.368,1746737668054.772,1,1,1
1746737668799.152,1746737668985.1838,1,1,1
1746737670480.576,1746737670664.148,1,1,1
1746737671293.5278,1746737671484.064,1,1,1
1746737672937.448,1746737673105.432,1,1,1
1746737673840.816,1746737674007.624,1,1,1
1746737674869.012,1746737675030.168,1,1,1
1746737675974.552,1746737676123.936,1,1,1
1746737677207.32,1746737677379.488,1,1,1
1746737678059.876,1746737678215.128,1,1,1
1746737679213.512,1746737679401.804,1,1,1
1746737680585.192,1746737680761.068,1,1,1
1746737681633.452,1746737681809.644,1,1,1
1746737682611.032,1746737682732.74,1,1,1
1746737683431.128,1746737683560.488,1,1,1
1746737685330.376,1746737685495.508,1,1,1
1746737686148.896,1746737686307.316,1,1,1
1746737686837.7,1746737686994.004,1,1,1
1746737687777.384,1746737687926.824,1,1,1
1746737688770.208,1746737688914.9438,1,1,1
1746737689462.332,1746737689628.732,1,1,1
1746737690482.124,1746737690652.652,1,1,1
1746737691160.044,1746737691376.048,1,1,1
1746737692192.432,1746737692417.688,1,1,1
1746737693171.0798,1746737693338.8,1,1,1
1746737694563.1838,1746737694738.792,1,1,1
1746737696122.18,1746737696308.372,1,1,1
1746737697436.756,1746737697614.732,1,1,1
1746737698580.12,1746737698745.268,1,1,1
1746737699516.752,1746737699685.372,1,1,1
1746737700771.848,1746737700928.984,1,1,1
1746737702085.46,1746737702240.02,1,1,1
1746737702878.4958,1746737703054.776,1,1,1
1746737704209.252,1746737704379.272,1,1,1
1746737705434.74,1746737705605.0,1,1,1
1746737707065.468,1746737707265.364,1,1,1
1746737707973.844,1746737708145.06,1,1,1
1746737708752.536,1746737708956.544,1,1,1
1746737710052.016,1746737710208.2878,1,1,1
1746737710820.764,1746737710992.2358,1,1,1
1746737712466.704,1746737712636.9438,1,1,1
1746737713991.42,1746737714166.728,1,1,1
1746737714794.2,1746737714978.356,1,1,1
1746737716444.832,1746737716635.292,1,1,1
1746737717804.764,1746737717975.972,1,1,1
1746737719399.452,1746737719538.292,1,1,1
1746737720508.78,1746737720704.084,1,1,1
1746737721793.56,1746737721985.376,1,1,1
1746737722990.852,1746737723172.448,1,1,1
1746737724630.92,1746737724814.2,1,1,1
1746737725971.672,1746737726147.536,1,1,1
1746737727465.008,1746737727636.78,1,1,1
1746737729946.692,1746737730134.308,1,1,1
1746737730733.78,1746737730907.38,1,1,1
1746737732150.86,1746737732376.516,1,1,1
1746737733585.992,1746737733779.644,1,1,1
1746737735046.128,1746737735217.988,1,1,1
1746737736553.456,1746737736688.476,1,1,1
1746737737503.956,1746737737676.64,1,1,1
1746737738600.116,1746737738761.388,1,1,1
1746737739617.876,1746737739778.68,1,1,1
1746737740956.16,1746737741098.416,1,1,1
1746737741626.9,1746737741817.416,1,1,1
1746737744697.0798,1746737744861.832,1,1,1
1746737746273.308,1746737746453.008,1,1,1
1746737747106.48,1746737747257.492,1,1,1
1746737748406.972,1746737748567.464,1,1,1
1746737749780.94,1746737749935.52,1,1,1
1746737750919.9958,1746737751092.624,1,1,1
1746737752592.108,1746737752777.732,1,1,1
1746737753799.224,1746737753977.832,1,1,1
1746737755165.312,1746737755333.276,1,1,1
1746737757812.832,1746737757973.0,1,1,1
1746737758526.468,1746737758748.036,1,1,1
1746737759802.508,1746737759957.44,1,1,1
1746737761209.912,1746737761401.9958,1,1,1
1746737762248.48,1746737762414.572,1,1,1
1746737762926.044,1746737763124.124,1,1,1
1746737764034.592,1746737764174.092,1,1,1
1746737765592.576,1746737765731.696,1,1,1
1746737767156.172,1746737767319.796,1,1,1
1746737768289.28,1746737768459.744,1,1,1
1746737769101.22,1746737769268.3,1,1,1
1746737770740.776,1746737770893.572,1,1,1
1746737771996.048,1746737772166.604,1,1,1
1746737773383.084,1746737773524.952,1,1,1
1746737774498.428,1746737774634.716,1,1,1
1746737776932.972,1746737777099.836,1,1,1
