1746712405.000,7198248
ObjShowTime,ReactionTime,StimType,Guess,Correct
60435084,60737532,1,1,1
61327928,61619712,1,1,1
62669100,62863008,1,1,1
64274396,64445836,1,1,1
65464216,65615616,1,1,1
66503004,66788172,1,1,1
67746556,67918488,1,1,1
69373872,69530236,1,1,1
70044616,70253020,1,1,1
70997400,71183432,1,1,1
72678824,72862396,1,1,1
73491776,73682312,1,1,1
75135696,75303680,1,1,1
76039064,76205872,1,1,1
77067260,77228416,1,1,1
78172800,78322184,1,1,1
79405568,79577736,1,1,1
80258124,80413376,1,1,1
81411760,81600052,1,1,1
82783440,82959316,1,1,1
83831700,84007892,1,1,1
84809280,84930988,1,1,1
85629376,85758736,1,1,1
86662128,86938236,1,1,1
87528624,87693756,1,1,1
88347144,88505564,1,1,1
89035948,89192252,1,1,1
89975632,90125072,1,1,1
90968456,91113192,1,1,1
91660580,91826980,1,1,1
92680372,92850900,1,1,1
93358292,93574296,1,1,1
94390680,94615936,1,1,1
95369328,95537048,1,1,1
96761432,96937040,1,1,1
98320428,98506620,1,1,1
99635004,99812980,1,1,1
100778368,100943516,1,1,1
101715000,101883620,1,1,1
102970096,103127232,1,1,1
104283708,104438268,1,1,1
105076744,105253024,1,1,1
106407500,106577520,1,1,1
107632988,107803248,1,1,1
109263716,109463612,1,1,1
110172092,110343308,1,1,1
110950784,111154792,1,1,1
112250264,112406536,1,1,1
113019012,113190484,1,1,1
114664952,114835192,1,1,1
116189668,116364976,1,1,1
116992448,117176604,1,1,1
118643080,118833540,1,1,1
120003012,120174220,1,1,1
121597700,121736540,1,1,1
122707028,122902332,1,1,1
123991808,124183624,1,1,1
125189100,125370696,1,1,1
126829168,127012448,1,1,1
128169920,128345784,1,1,1
129663256,129835028,1,1,1
130369500,130655468,1,1,1
132144940,132332556,1,1,1
132932028,133105628,1,1,1
134349108,134574764,1,1,1
135784240,135977892,1,1,1
137244376,137416236,1,1,1
138751704,138886724,1,1,1
139702204,139874888,1,1,1
140798364,140959636,1,1,1
141816124,141976928,1,1,1
143154408,143296664,1,1,1
143825148,144015664,1,1,1
145158136,145415860,1,1,1
146895328,147060080,1,1,1
148471556,148651256,1,1,1
149304728,149455740,1,1,1
150605220,150765712,1,1,1
151979188,152133768,1,1,1
153118244,153290872,1,1,1
154790356,154975980,1,1,1
155997472,156176080,1,1,1
157363560,157531524,1,1,1
158730996,159045604,1,1,1
160011080,160171248,1,1,1
160724716,160946284,1,1,1
162000756,162155688,1,1,1
163408160,163600244,1,1,1
164446728,164612820,1,1,1
165124292,165322372,1,1,1
166232840,166372340,1,1,1
167790824,167929944,1,1,1
169354420,169518044,1,1,1
170487528,170657992,1,1,1
171299468,171466548,1,1,1
172939024,173091820,1,1,1
174194296,174364852,1,1,1
175581332,175723200,1,1,1
176696676,176832964,1,1,1
177620436,177915748,1,1,1
179131220,179298084,1,1,1
