1746813788.000,5241288
ObjShowTime,ReactionTime,StimType,Guess,Correct
106156232,106820628,1,1,1
107528108,108003920,1,1,1
109218396,109632752,1,1,1
110628224,111295892,1,1,1
112754368,113440688,1,1,1
114576172,115006276,1,1,1
115571760,115976928,1,1,1
117389412,117601592,1,1,1
118178076,118553868,1,1,1
119500340,119792036,1,1,1
120300508,120757112,1,1,1
121912604,122306516,1,1,1
123618000,123997380,1,1,1
125189848,125367676,1,1,1
126695148,126905712,1,1,1
127799192,128009524,1,1,1
128788996,129047248,1,1,1
130166724,130436800,1,1,1
130968276,131278644,1,1,1
132759116,132958660,1,1,1
133800148,134036968,1,1,1
135110440,135448812,1,1,1
136771284,136969084,1,1,1
137545564,137922020,1,1,1
138867496,139086712,1,1,1
139998188,140209380,1,1,1
141117860,141458820,1,1,1
142253300,142432484,1,1,1
143035956,143384164,1,1,1
143961644,144319272,1,1,1
145700744,145946792,1,1,1
146534264,146759984,1,1,1
148219464,148438988,1,1,1
149707464,149928884,1,1,1
150759356,150941408,1,1,1
152201884,152383824,1,1,1
153140308,153332992,1,1,1
153855464,154121132,1,1,1
155110620,155302160,1,1,1
156412640,156575628,1,1,1
157147112,157326956,1,1,1
157850436,158015868,1,1,1
158636348,158791752,1,1,1
160051236,160233172,1,1,1
161726652,161892020,1,1,1
162968500,163141256,1,1,1
163700744,164046108,1,1,1
165397580,165566236,1,1,1
166191712,166365576,1,1,1
167385048,167532248,1,1,1
168581716,168718852,1,1,1
169285324,169472824,1,1,1
170618296,170789252,1,1,1
171410732,171595364,1,1,1
172111840,172454032,1,1,1
173371520,173523664,1,1,1
174068140,174235492,1,1,1
175279976,175443756,1,1,1
176570232,176738764,1,1,1
177339244,177536280,1,1,1
178434756,178603236,1,1,1
179965712,180138192,1,1,1
181293676,181602504,1,1,1
182819976,182990400,1,1,1
183834880,183995112,1,1,1
184755588,184907224,1,1,1
185454708,185620260,1,1,1
186264740,186421668,1,1,1
187275140,187450984,1,1,1
188221460,188371132,1,1,1
189555612,189717668,1,1,1
190241136,190446336,1,1,1
191667816,191854768,1,1,1
192669244,192842500,1,1,1
194136968,194316396,1,1,1
194865868,195252788,1,1,1
195876264,196075736,1,1,1
196896216,197058728,1,1,1
197640200,197808892,1,1,1
198734372,198928392,1,1,1
199662880,199839432,1,1,1
200651916,200837780,1,1,1
201992264,203595300,1,1,1
204618784,204976576,1,1,1
206415064,206605148,1,1,1
207642628,207803796,1,1,1
208609276,208771568,1,1,1
210166044,210321868,1,1,1
211631352,211940744,1,1,1
212878220,213081020,1,1,1
214312500,214482084,1,1,1
215871564,216050356,1,1,1
216817840,217000660,1,1,1
217795132,218127680,1,1,1
219504156,219705776,1,1,1
220672264,220840720,1,1,1
221732196,221915732,1,1,1
222674208,222845736,1,1,1
224001216,224166256,1,1,1
225246732,225424080,1,1,1
226577560,226742800,1,1,1
