171738594608.000,5804400
ObjShowTime,ReactionTime,StimType,Guess,Correct
114458056,114734656,1,1,1
115831124,116111508,1,1,1
117457984,117658708,1,1,1
118560180,118804772,1,1,1
119372244,119691444,1,1,1
120481924,120693280,1,1,1
121670752,122002144,1,1,1
123481616,123667388,1,1,1
124387872,124600088,1,1,1
125752572,125910196,1,1,1
127338684,127503672,1,1,1
128114152,128452740,1,1,1
129272216,129478248,1,1,1
130027720,130280920,1,1,1
131678404,131889680,1,1,1
132503152,132750868,1,1,1
133928340,134104784,1,1,1
134639260,134875484,1,1,1
136068956,136237528,1,1,1
137178004,137345660,1,1,1
137869128,138168720,1,1,1
139446184,139668264,1,1,1
140601744,140826488,1,1,1
141648968,141871412,1,1,1
143151888,143310760,1,1,1
144461248,144642004,1,1,1
146069484,146258624,1,1,1
146870092,147084408,1,1,1
148285884,148714188,1,1,1
149658672,149819232,1,1,1
150929708,151108616,1,1,1
152200096,152374888,1,1,1
153719364,153905140,1,1,1
155309624,155453380,1,1,1
156076872,156366012,1,1,1
157514484,157674688,1,1,1
158360160,158525816,1,1,1
159499292,159678824,1,1,1
160771304,160969932,1,1,1
161939404,162150704,1,1,1
163269180,164716524,1,1,1
166073004,166271980,1,1,1
167278468,167486188,1,1,1
168362660,168565272,1,1,1
169737744,169924844,1,1,1
170887320,171043396,1,1,1
171834872,172014864,1,1,1
173167340,173340820,1,1,1
174743292,174915648,1,1,1
175422124,175737828,1,1,1
176451312,176652200,1,1,1
177730692,177921296,1,1,1
178706768,178880404,1,1,1
179625880,179836628,1,1,1
180373104,180575132,1,1,1
182024608,182221968,1,1,1
182817448,183067384,1,1,1
183842860,184069820,1,1,1
184975292,185247008,1,1,1
186248488,186434848,1,1,1
187286320,187499884,1,1,1
188781356,188962824,1,1,1
190190292,190441052,1,1,1
191630532,191812484,1,1,1
193214972,193404476,1,1,1
193913960,194209984,1,1,1
195693464,196387028,1,1,1
197614504,197834652,1,1,1
198388140,198640700,1,1,1
199449180,199687476,1,1,1
200316952,200519236,1,1,1
201664712,201908516,1,1,1
202704992,202927880,1,1,1
203604352,203903612,1,1,1
204747084,204910544,1,1,1
205827028,206031532,1,1,1
206980004,207163100,1,1,1
208061576,208362428,1,1,1
209743916,210078148,1,1,1
211095628,211273652,1,1,1
212523140,212699600,1,1,1
213621076,213814176,1,1,1
214564648,214745268,1,1,1
215508740,215686108,1,1,1
217028584,217202796,1,1,1
218381276,218612700,1,1,1
219888180,220063348,1,1,1
221091820,221335380,1,1,1
222620864,222982956,1,1,1
224178432,224361676,1,1,1
224926144,225226780,1,1,1
226558260,226713568,1,1,1
228122056,228301732,1,1,1
229413212,229636688,1,1,1
230293156,230853884,1,1,1
231448360,231758520,1,1,1
232316004,232552012,1,1,1
233627492,233830532,1,1,1
235306016,235529872,1,1,1
236425356,236657236,1,1,1
237556712,237751672,1,1,1
