
1730809365.000,3524136
ObjShowTime,ReactionTime,StimType,Guess,Correct
53278520,53554736,1,1,1
54290120,54680232,1,1,1
55501624,55710064,1,1,1
57152448,57368412,1,1,1
58130788,58349788,1,1,1
59675168,59903160,1,1,1
60931552,61107248,1,1,1
62560632,62715500,1,1,1
63527888,63722956,1,1,1
64831336,65110544,1,1,1
65716936,65905764,1,1,1
66700144,66872500,1,1,1
68017888,68205976,1,1,1
68817364,69029524,1,1,1
70180908,70353860,1,1,1
71383260,71630144,1,1,1
72967536,73150760,1,1,1
74465144,74656612,1,1,1
75766004,75926808,1,1,1
77182200,77368820,1,1,1
78120208,78347812,1,1,1
79503204,79688176,1,1,1
80313564,80623764,1,1,1
81492156,81667432,1,1,1
83146820,83314284,1,1,1
84657668,84836540,1,1,1
85894928,86060484,1,1,1
86746864,86969328,1,1,1
88389724,88563268,1,1,1
89284656,89495328,1,1,1
90890720,91069256,1,1,1
92389656,92565492,1,1,1
93848880,94009936,1,1,1
94936332,95108356,1,1,1
96418740,96582964,1,1,1
97212344,97420928,1,1,1
98293320,98483428,1,1,1
99154816,99374092,1,1,1
100033476,100248044,1,1,1
101537520,101827360,1,1,1
103253832,103439608,1,1,1
104375084,104551952,1,1,1
105784432,105959364,1,1,1
107139848,107324528,1,1,1
108230996,108417120,1,1,1
109830592,110014128,1,1,1
111011600,111196300,1,1,1
112270772,112619240,1,1,1
113345716,113523156,1,1,1
114698628,114867692,1,1,1
116252168,116439304,1,1,1
117204768,117402204,1,1,1
118081692,118324772,1,1,1
119190248,119355884,1,1,1
120456368,120619208,1,1,1
121841692,122016660,1,1,1
122783144,122983740,1,1,1
124046212,124269928,1,1,1
124984412,125174516,1,1,1
126586000,126789268,1,1,1
127956748,128157304,1,1,1
128794780,129011256,1,1,1
130443728,130620804,1,1,1
131828276,132008780,1,1,1
133366252,133539800,1,1,1
134477276,134650416,1,1,1
135524892,135708592,1,1,1
136233080,136525756,1,1,1
137811240,137977096,1,1,1
138960560,139142464,1,1,1
139892948,140073248,1,1,1
140608736,140852868,1,1,1
142349344,142524096,1,1,1
143222572,143400472,1,1,1
144247956,144423212,1,1,1
145230684,145431316,1,1,1
146007784,146233704,1,1,1
147633184,147816628,1,1,1
148479108,148668772,1,1,1
149224256,149430124,1,1,1
150104592,150299844,1,1,1
150803324,151006492,1,1,1
151729972,151932996,1,1,1
152712484,152885312,1,1,1
154381788,154583516,1,1,1
155989996,156166004,1,1,1
157531488,157718420,1,1,1
159173904,159352332,1,1,1
159927812,160218084,1,1,1
160883568,161068412,1,1,1
161695892,161913396,1,1,1
163091868,163298468,1,1,1
164136944,164464596,1,1,1
165682072,165865352,1,1,1
167226832,167397768,1,1,1
168825248,169027364,1,1,1
169856832,170154148,1,1,1
171342616,171517228,1,1,1
172755708,172950540,1,1,1
173608020,173848700,1,1,1
175159168,175336468,1,1,1
